Time,Group,EngraulisJaponicus,ScomberJaponicus,ScomberomorusNiphonius,DecapterusMaruadsi,TrichiurusJaponicus,PennahiaArgentata,PampusArgenteus,LarimichthysPolyactis,MuraenesoxCinereus,MiichthysMiiuy,TrachurusJaponicus,TodarodesPacificus,TrachysalambriaCurvirostris,PortunusTrituberculatus
84,SSP1-2.6,123440.7088,193295.9064,36133.47145,10549.76749,225530.6551,126789.3438,8253.690575,213988.9349,155013.7,27836.4963,2000.375855,151851.4197,89666.47896,91850.85143
85,SSP1-2.6,127600.4641,191203.4742,36660.20898,10785.91755,224771.8037,132705.7765,7840.51666,213937.5963,152203.6067,28655.99451,2033.720079,156415.8497,87148.27547,90426.91744
86,SSP1-2.6,133221.5621,204999.7899,35930.3034,10365.222,227926.1843,124359.0733,7705.303862,202068.5558,145467.0439,24385.06731,2038.218832,148743.628,86076.95391,88814.32128
87,SSP1-2.6,134266.3934,196651.4549,34483.15499,9649.81665,230011.0377,122579.7473,7796.710215,207067.3685,150347.6334,25087.5513,2185.540744,154089.4003,89143.78617,92533.63465
88,SSP1-2.6,128917.9622,198390.5182,34465.50642,10233.48546,221894.9432,120903.2412,7751.512666,204183.0758,145554.7163,22599.33888,2299.879445,149646.6327,85663.18425,86473.1968
89,SSP1-2.6,124281.5738,194915.0197,35546.56992,10236.47166,224151.3039,132525.0947,7837.68101,219009.9626,153772.1467,30386.28215,2384.264177,168027.096,91397.30122,91864.57382
90,SSP1-2.6,124735.2725,192904.7649,36040.88848,10260.04766,222936.6068,129478.1672,7623.18566,215354.4087,153532.075,28096.76172,2353.508286,161116.1586,95731.536,87831.83063
91,SSP1-2.6,133669.9654,206747.1147,35679.5663,11134.99375,218636.3558,111164.1111,7181.591851,197990.8473,141421.9786,23066.07579,2390.351994,136523.7864,84802.82697,87753.89011
92,SSP1-2.6,133747.6449,207784.4469,34987.08505,11253.89698,222408.7187,111690.3574,8461.376315,208810.5021,150112.2619,26409.45027,2481.607333,146808.6781,90370.79758,98091.1683
93,SSP1-2.6,123634.8341,200788.5579,36054.36272,10600.12732,223402.6934,117203.9023,8761.645045,208075.4232,154719.1423,28131.64459,2386.159701,161746.5291,87499.985,92626.40004
94,SSP1-2.6,121439.6115,199761.954,36356.3698,10274.99053,223454.1996,120588.2316,8949.77813,207395.5727,154425.263,28069.6401,2196.119425,164297.8117,89107.75005,91957.55118
95,SSP1-2.6,125280.2907,201201.7257,36611.94677,10184.50503,222609.2726,126709.3265,8604.517902,215555.2042,158803.8225,28409.16502,2158.537675,163889.3928,89398.53176,91037.09527
96,SSP1-2.6,124632.4146,193695.6664,35933.62437,10583.35697,220912.9263,121246.8487,8088.088018,205176.222,152604.8991,25771.16442,2146.092629,150331.3648,86151.14574,92623.54089
97,SSP1-2.6,125444.1372,200469.5769,35984.62783,10778.6874,218845.4508,116458.2182,8032.440488,208333.1302,148773.1932,26935.97885,2175.816615,156653.5038,93228.00478,94680.2637
98,SSP1-2.6,131068.3632,200508.4939,35857.07411,10981.88445,222353.1829,112501.4475,8445.266712,207737.0775,145595.8298,25599.82107,2467.437324,146226.3613,89180.36631,90957.25825
99,SSP1-2.6,131244.5702,198461.9692,36218.30226,10622.62858,226470.0212,125696.4316,8475.22432,213671.0126,151696.6748,32534.5194,2348.227079,158397.6994,91069.77957,89765.68315
100,SSP1-2.6,127786.4012,195682.1108,37143.39701,11054.94783,226272.841,124912.9207,8033.443541,212237.5495,153269.1919,29009.4429,2102.41249,155087.3531,91295.71331,90836.2208
101,SSP1-2.6,130263.3395,198594.3268,36645.5731,11259.85488,228639.7532,124625.2426,7785.198638,216147.5146,154781.7429,28649.31567,1990.890568,160719.145,92519.74868,94316.96417
21,SSP5-8.5,132740.5379,202901.9602,34573.12363,10725.68216,223064.1145,107118.7201,8756.554352,203430.5971,145631.4338,23106.60897,2487.708974,151268.1465,88120.96438,90796.1838
22,SSP5-8.5,135796.9135,206433.0415,34731.25556,11342.48432,214033.5466,109320.8816,8514.783339,205965.4168,142249.1185,23478.61081,2505.913019,142627.9515,87317.25724,90127.78829
23,SSP5-8.5,141716.1233,214389.7037,34930.04902,11923.38015,209297.9839,103890.8311,7984.191046,195249.3271,136573.1486,20077.46409,2383.370536,135202.6956,79341.53745,90079.21489
24,SSP5-8.5,141969.5099,215115.5825,35371.21866,11743.25585,207386.0306,104192.2542,8394.972639,199535.1367,142389.0852,21103.7268,2500.540477,138871.9283,81913.76676,94055.33243
25,SSP5-8.5,142071.0257,212371.2599,34961.29176,11969.29141,207194.0355,98896.68592,9018.745514,189774.9142,138092.2422,20486.17078,2530.501424,138518.0252,84307.16745,94380.38146
26,SSP5-8.5,136102.4095,213871.261,34728.99884,11882.11677,218930.4425,102353.3069,9267.228503,201330.8538,143996.2084,21864.76216,2713.977504,147298.8376,86245.24614,95837.05057
27,SSP5-8.5,130114.9137,212963.1566,34832.05553,11820.29653,221105.8239,103888.3565,9115.126702,196290.0904,144897.1473,22598.50112,2689.862111,146570.1371,88097.75802,90547.84795
28,SSP5-8.5,129677.5561,207397.1365,35123.56877,11622.02045,222210.8576,111034.5806,9069.749697,202145.0974,151639.5087,26025.1799,2650.894847,152424.9474,86502.15437,93624.09697
29,SSP5-8.5,127506.0143,205485.6237,35415.86361,11306.90286,220468.1853,109314.4474,8295.716155,199701.7364,146430.8683,24533.79314,2536.684036,148929.6721,88339.47117,89741.96725
30,SSP5-8.5,132027.347,205835.4444,35489.33953,11581.8141,226004.2689,114974.5617,8142.789605,211209.0745,151932.1301,25929.78048,2491.833386,152969.6767,91632.65474,91307.54354
31,SSP5-8.5,131068.1972,207311.8032,35480.46389,10931.15601,227988.4247,110115.884,7279.420175,205091.715,144852.4191,24406.45722,2222.643397,149181.6389,90763.05056,91498.01486
32,SSP5-8.5,129559.3524,199054.0407,36040.56125,10364.6654,229282.9452,122586.541,8058.040025,219354.851,155237.8996,29189.84365,2256.254049,162445.382,91012.29045,98200.38008
33,SSP5-8.5,124272.9387,191196.2115,35840.02458,10122.77702,224145.4708,130892.9466,7845.831231,210827.4604,154939.1882,30123.87718,2241.109961,161153.2005,88637.64443,85035.71832
34,SSP5-8.5,130580.2975,202204.3703,36239.67179,10071.24807,222138.2894,130819.0013,8013.855377,213295.6747,149078.5257,26783.31037,2505.334142,151422.6897,85707.49219,89325.71425
35,SSP5-8.5,134535.0633,206026.0331,36239.78347,10413.49251,226030.2177,124959.7462,8639.077973,210174.7937,148421.4831,25523.42276,2466.137624,150004.3974,93714.03661,92891.63934
36,SSP5-8.5,131513.5835,201819.2995,36175.1617,11280.70566,217106.2898,114684.4637,7877.405625,201576.2598,146352.6392,25270.74078,2583.289552,148235.4749,90854.33589,88589.96456
37,SSP5-8.5,131652.652,204372.5139,35931.56461,11360.82851,217501.2136,105000.2177,7809.233745,196929.6937,145089.2317,24097.13485,2700.535239,148258.633,85692.27717,88277.06235
38,SSP5-8.5,130969.6337,200570.1011,35158.24393,11350.83669,219495.7392,112206.0008,8195.984879,213635.472,142823.6239,25181.57494,2608.291372,150764.0969,87689.27355,91226.13349
39,SSP5-8.5,131597.7932,198438.4682,35272.12252,11509.59749,220924.9882,119787.622,8112.257745,211437.1207,148172.2984,28453.12731,2355.329593,162304.752,93808.68338,91313.14205
40,SSP5-8.5,126937.8143,190732.9698,35868.09669,12211.64118,214686.8152,122254.8026,8542.782241,204112.6716,150375.7195,28573.67572,2402.543025,157182.4805,90774.668,91526.43808
41,SSP5-8.5,122257.6208,196961.7028,35297.18166,11500.61622,216089.4586,122196.1827,8536.66473,207885.3905,148241.5063,26941.15911,2693.313987,152132.952,85688.99408,90636.99306
42,SSP5-8.5,129588.4732,206795.4468,35530.54203,10857.88547,211935.1556,115941.7446,8193.225666,199763.2589,143912.1415,22395.25158,2755.483077,139937.6989,82590.50642,90175.40895
43,SSP5-8.5,133738.1794,207484.8315,35626.12494,11051.28648,211079.7553,116672.1265,8958.0779,204446.9684,146930.1065,24605.12833,2658.038379,146219.3056,87835.59744,90644.54879
44,SSP5-8.5,124265.3013,198150.5303,35241.4168,11030.98727,218872.9525,118213.3796,8509.061606,213090.3346,150804.2818,25028.04534,2598.140189,153844.9523,86557.52553,88552.6408
45,SSP5-8.5,125111.811,198824.5848,36026.89054,10951.77655,224065.7455,125648.1933,8655.629649,214606.4467,155076.3039,28703.6744,2334.921785,164230.1008,91565.66457,92981.73369
46,SSP5-8.5,125014.9725,197879.6651,35403.09648,11312.48764,226947.8236,123884.2929,8328.326067,209852.2345,153760.4808,27282.5329,2242.418721,157986.6955,92577.58795,89968.84391
47,SSP5-8.5,120706.7654,190543.3414,35937.43236,11581.28505,223514.9072,135049.881,8503.470761,220029.7858,155255.4542,33429.58535,2428.636956,165034.9228,91193.70595,93596.15302
48,SSP5-8.5,124302.4492,198481.0706,36612.0839,11924.573,216635.8454,125400.5098,7323.682562,199965.6114,142776.6429,25949.09106,2445.32951,148697.0577,88374.92413,89852.51561
49,SSP5-8.5,128275.9653,201190.6445,36455.58882,11897.48392,219911.7506,119273.1907,8094.028284,203147.918,145988.9966,25795.31097,2508.869138,156399.233,90933.36151,93188.4137
50,SSP5-8.5,129553.9987,206475.0782,35780.87407,11292.76829,219891.0547,112273.2352,7989.491677,196754.6779,143122.2941,23343.50258,2527.961584,145902.6388,88634.10624,89824.85301
51,SSP5-8.5,126406.625,203183.644,35717.55078,11248.8043,219273.4017,123614.6581,8100.063588,205822.4257,149794.431,27809.59432,2547.109587,158748.4602,86582.7869,94090.87125
52,SSP5-8.5,124109.4873,195401.8701,35045.97669,11040.27852,216172.0902,122551.2541,7649.380651,197910.2314,143437.2273,24242.66416,2656.147912,139636.1327,86334.59796,88791.86551
53,SSP5-8.5,120835.1551,197375.0024,34776.56196,11952.37563,216942.837,125155.6863,8056.843507,201208.4065,144534.7684,28049.28239,2511.684314,150392.0216,88430.51218,91545.38897
54,SSP5-8.5,121393.8985,194033.2351,35179.86522,11244.22491,219838.8126,125154.9017,8169.015731,207554.7538,146346.4916,27340.55516,2396.897063,160193.3168,89228.18491,91358.87887
55,SSP5-8.5,117192.7873,192101.0003,36407.71742,11383.05599,220402.0311,133964.7748,8174.828682,213410.3281,154825.8048,31349.52265,2396.608884,168552.983,90130.13683,93871.03439
56,SSP5-8.5,115141.2615,188187.4877,36186.79231,10795.01164,217113.0651,135117.7815,7745.552833,211128.227,152632.5713,29981.07534,2385.856202,159925.4658,92193.84371,90559.18373
57,SSP5-8.5,113405.3805,185542.9629,36438.82468,10570.22465,221695.5531,134938.0206,8036.237261,210894.1664,149516.9936,30596.07415,2322.025924,158492.4266,89275.39549,89328.65502
58,SSP5-8.5,115421.7241,190444.8951,35859.66057,10662.54967,224979.4574,129190.0225,7302.594336,212974.5136,150725.7886,29029.8044,2385.495796,159939.4584,90656.28942,92890.58033
59,SSP5-8.5,117892.2379,192972.318,37158.77345,10686.37985,227086.9946,138800.9031,7506.944031,215689.3265,156293.4893,35406.61008,2552.692971,176722.213,92999.32367,92105.08697
60,SSP5-8.5,112687.0288,185288.6432,36356.81752,10370.24924,228165.0577,137608.3667,7337.197908,211197.7219,154944.5976,31394.86045,2529.62955,164849.4311,90311.50164,88317.25263
61,SSP5-8.5,115965.1484,191759.2079,35591.00972,10564.12844,224742.9922,131261.5211,7403.087589,211652.1051,151652.6565,27981.52076,2464.637151,150820.028,89120.46799,89648.08888
62,SSP5-8.5,115771.7788,190467.8827,35703.58554,10573.57232,222364.573,133168.9704,7800.466318,216254.8568,152470.8637,30952.86559,2369.757583,162175.6506,92875.22434,92442.61381
63,SSP5-8.5,109779.8322,173944.0203,35228.47217,10553.82523,222528.9778,141195.006,7796.474797,221222.5227,152647.1807,32350.58288,2260.856241,166623.9888,91102.89274,91891.11428
64,SSP5-8.5,102387.4976,171308.5644,35672.83367,10953.86364,219566.634,144786.8968,7392.17661,220361.7906,152000.2955,32243.86095,2359.145492,157311.4355,93840.59676,87688.26061
65,SSP5-8.5,111120.5309,181037.7978,35136.75087,10957.35873,222020.9501,141717.9468,8209.140185,218711.39,146613.9657,29089.09224,2409.032695,148341.3889,89105.04911,85307.22063
66,SSP5-8.5,115470.813,186717.1528,34966.88182,11096.10366,225000.3382,139590.9757,8295.299564,218884.6702,147706.9478,28912.70814,2374.348279,154707.769,83289.29126,88459.28061
67,SSP5-8.5,110751.9154,182819.4452,35667.76606,11238.1545,225459.9351,146823.6293,8090.847978,213405.047,155553.3014,33975.49946,2103.457275,165118.01,91069.95597,90681.90702
68,SSP5-8.5,107203.644,176484.0409,35413.74801,10963.57283,224046.0499,150731.3899,7990.820699,214723.5298,156686.6595,34689.02076,2083.284754,163691.3067,88044.15026,88801.83196
69,SSP5-8.5,112187.1492,184175.8654,36433.45468,10701.64693,220545.8911,147995.4439,8046.042782,220149.9008,157074.7126,31417.89342,2178.357114,163721.976,90553.07787,88753.1313
70,SSP5-8.5,114452.5633,184679.5491,36357.03344,11131.77742,223342.3538,148432.5309,7974.856721,222798.7424,158368.3046,35303.83231,2142.697177,162769.2896,93585.88324,89120.03
71,SSP5-8.5,112286.1573,180181.5627,35757.51196,10247.9792,224989.5506,141402.4707,7715.259682,214787.1972,154007.5202,30012.50906,2091.109023,155763.358,93497.67001,84467.72222
72,SSP5-8.5,113323.8928,180285.4644,35979.25551,9838.372223,222535.1829,142669.1964,7838.458312,216801.8147,155064.9861,31158.6122,2163.637348,155357.318,89582.35084,86515.01796
73,SSP5-8.5,111079.9138,179048.9069,36269.81152,9745.930047,226168.092,149521.1384,7699.491069,224556.1678,154957.8406,33461.02849,2391.568644,165758.5663,93930.93272,87219.94338
