scenario,run,species,latin,group,species_order,indicator,value
Base,6,TrichiurusJaponicus,Trichiurus japonicus,Predator,3,age_mature,1.20575453
Base,7,TrichiurusJaponicus,Trichiurus japonicus,Predator,3,age_mature,1.194155781
Base,8,TrichiurusJaponicus,Trichiurus japonicus,Predator,3,age_mature,1.36225392333333
Base,9,TrichiurusJaponicus,Trichiurus japonicus,Predator,3,age_mature,1.20401560833333
Base,10,TrichiurusJaponicus,Trichiurus japonicus,Predator,3,age_mature,1.223201742
Base,11,TrichiurusJaponicus,Trichiurus japonicus,Predator,3,age_mature,1.18927723466667
Base,12,TrichiurusJaponicus,Trichiurus japonicus,Predator,3,age_mature,1.27338576866667
Base,13,TrichiurusJaponicus,Trichiurus japonicus,Predator,3,age_mature,1.24142898
Base,14,TrichiurusJaponicus,Trichiurus japonicus,Predator,3,age_mature,1.27860163766667
Base,15,TrichiurusJaponicus,Trichiurus japonicus,Predator,3,age_mature,1.25848075
Base,16,TrichiurusJaponicus,Trichiurus japonicus,Predator,3,age_mature,1.27756026
Base,17,TrichiurusJaponicus,Trichiurus japonicus,Predator,3,age_mature,1.182308199
Base,18,TrichiurusJaponicus,Trichiurus japonicus,Predator,3,age_mature,1.22464979333333
Base,19,TrichiurusJaponicus,Trichiurus japonicus,Predator,3,age_mature,1.178134769
Base,20,TrichiurusJaponicus,Trichiurus japonicus,Predator,3,age_mature,1.21620461
Base,21,TrichiurusJaponicus,Trichiurus japonicus,Predator,3,age_mature,1.21366613
Base,22,TrichiurusJaponicus,Trichiurus japonicus,Predator,3,age_mature,1.26315984333333
Base,23,TrichiurusJaponicus,Trichiurus japonicus,Predator,3,age_mature,1.23460331966667
Base,24,TrichiurusJaponicus,Trichiurus japonicus,Predator,3,age_mature,1.151788339
Base,25,TrichiurusJaponicus,Trichiurus japonicus,Predator,3,age_mature,1.16954027466667
Base,26,TrichiurusJaponicus,Trichiurus japonicus,Predator,3,age_mature,1.17351468866667
Base,27,TrichiurusJaponicus,Trichiurus japonicus,Predator,3,age_mature,1.22600429933333
Base,28,TrichiurusJaponicus,Trichiurus japonicus,Predator,3,age_mature,1.24889321
Base,29,TrichiurusJaponicus,Trichiurus japonicus,Predator,3,age_mature,1.36770110333333
Base,30,TrichiurusJaponicus,Trichiurus japonicus,Predator,3,age_mature,1.34252854333333
Base,31,TrichiurusJaponicus,Trichiurus japonicus,Predator,3,age_mature,1.155469088
Base,32,TrichiurusJaponicus,Trichiurus japonicus,Predator,3,age_mature,1.279504252
Base,33,TrichiurusJaponicus,Trichiurus japonicus,Predator,3,age_mature,1.33247904333333
Base,34,TrichiurusJaponicus,Trichiurus japonicus,Predator,3,age_mature,1.22773734066667
Base,35,TrichiurusJaponicus,Trichiurus japonicus,Predator,3,age_mature,1.295295715
Base,36,TrichiurusJaponicus,Trichiurus japonicus,Predator,3,age_mature,1.179792535
Base,37,TrichiurusJaponicus,Trichiurus japonicus,Predator,3,age_mature,1.31605621866667
Base,38,TrichiurusJaponicus,Trichiurus japonicus,Predator,3,age_mature,1.28177193
Base,39,TrichiurusJaponicus,Trichiurus japonicus,Predator,3,age_mature,1.17601834333333
Base,40,TrichiurusJaponicus,Trichiurus japonicus,Predator,3,age_mature,1.17152741233333
Base,41,TrichiurusJaponicus,Trichiurus japonicus,Predator,3,age_mature,1.296310798
Base,42,TrichiurusJaponicus,Trichiurus japonicus,Predator,3,age_mature,1.210043608
Base,43,TrichiurusJaponicus,Trichiurus japonicus,Predator,3,age_mature,1.245733835
Base,44,TrichiurusJaponicus,Trichiurus japonicus,Predator,3,age_mature,1.28133725
Base,45,TrichiurusJaponicus,Trichiurus japonicus,Predator,3,age_mature,1.232760815
Base,46,TrichiurusJaponicus,Trichiurus japonicus,Predator,3,age_mature,1.20641141466667
Base,47,TrichiurusJaponicus,Trichiurus japonicus,Predator,3,age_mature,1.15398103666667
Base,48,TrichiurusJaponicus,Trichiurus japonicus,Predator,3,age_mature,1.25873008666667
Base,49,TrichiurusJaponicus,Trichiurus japonicus,Predator,3,age_mature,1.30731138
Base,50,TrichiurusJaponicus,Trichiurus japonicus,Predator,3,age_mature,1.24125040966667
Base,51,TrichiurusJaponicus,Trichiurus japonicus,Predator,3,age_mature,1.28607498666667
Base,52,TrichiurusJaponicus,Trichiurus japonicus,Predator,3,age_mature,1.36863360666667
Base,53,TrichiurusJaponicus,Trichiurus japonicus,Predator,3,age_mature,1.25081085333333
Base,54,TrichiurusJaponicus,Trichiurus japonicus,Predator,3,age_mature,1.187733055
Base,55,TrichiurusJaponicus,Trichiurus japonicus,Predator,3,age_mature,1.21866014133333
Base,56,TrichiurusJaponicus,Trichiurus japonicus,Predator,3,age_mature,1.21750803266667
Base,57,TrichiurusJaponicus,Trichiurus japonicus,Predator,3,age_mature,1.24465567666667
Base,58,TrichiurusJaponicus,Trichiurus japonicus,Predator,3,age_mature,1.273883859
Base,59,TrichiurusJaponicus,Trichiurus japonicus,Predator,3,age_mature,1.29860899766667
Base,60,TrichiurusJaponicus,Trichiurus japonicus,Predator,3,age_mature,1.17281511466667
Base,61,TrichiurusJaponicus,Trichiurus japonicus,Predator,3,age_mature,1.26663708966667
Base,62,TrichiurusJaponicus,Trichiurus japonicus,Predator,3,age_mature,1.21438485
Base,63,TrichiurusJaponicus,Trichiurus japonicus,Predator,3,age_mature,1.27617073533333
Base,64,TrichiurusJaponicus,Trichiurus japonicus,Predator,3,age_mature,1.29617921666667
Base,65,TrichiurusJaponicus,Trichiurus japonicus,Predator,3,age_mature,1.195382712
Base,66,TrichiurusJaponicus,Trichiurus japonicus,Predator,3,age_mature,1.27485377266667
Base,67,TrichiurusJaponicus,Trichiurus japonicus,Predator,3,age_mature,1.27628388833333
Base,68,TrichiurusJaponicus,Trichiurus japonicus,Predator,3,age_mature,1.197507522
Base,69,TrichiurusJaponicus,Trichiurus japonicus,Predator,3,age_mature,1.247075999
Base,70,TrichiurusJaponicus,Trichiurus japonicus,Predator,3,age_mature,1.26683832666667
Base,71,TrichiurusJaponicus,Trichiurus japonicus,Predator,3,age_mature,1.29470603666667
Base,72,TrichiurusJaponicus,Trichiurus japonicus,Predator,3,age_mature,1.23669609333333
Base,73,TrichiurusJaponicus,Trichiurus japonicus,Predator,3,age_mature,1.24500931333333
Base,74,TrichiurusJaponicus,Trichiurus japonicus,Predator,3,age_mature,1.15259561466667
Base,75,TrichiurusJaponicus,Trichiurus japonicus,Predator,3,age_mature,1.21095324
Base,76,TrichiurusJaponicus,Trichiurus japonicus,Predator,3,age_mature,1.21675805033333
Base,77,TrichiurusJaponicus,Trichiurus japonicus,Predator,3,age_mature,1.251612327
Base,78,TrichiurusJaponicus,Trichiurus japonicus,Predator,3,age_mature,1.26496102333333
Base,79,TrichiurusJaponicus,Trichiurus japonicus,Predator,3,age_mature,1.37066625333333
Base,80,TrichiurusJaponicus,Trichiurus japonicus,Predator,3,age_mature,1.19213978
Base,81,TrichiurusJaponicus,Trichiurus japonicus,Predator,3,age_mature,1.28862736666667
Base,82,TrichiurusJaponicus,Trichiurus japonicus,Predator,3,age_mature,1.23484121333333
Base,83,TrichiurusJaponicus,Trichiurus japonicus,Predator,3,age_mature,1.31134187333333
Base,84,TrichiurusJaponicus,Trichiurus japonicus,Predator,3,age_mature,1.13279053133333
Base,85,TrichiurusJaponicus,Trichiurus japonicus,Predator,3,age_mature,1.32714235166667
Base,86,TrichiurusJaponicus,Trichiurus japonicus,Predator,3,age_mature,1.30717932
Base,87,TrichiurusJaponicus,Trichiurus japonicus,Predator,3,age_mature,1.31109195533333
Base,88,TrichiurusJaponicus,Trichiurus japonicus,Predator,3,age_mature,1.18917359766667
Base,89,TrichiurusJaponicus,Trichiurus japonicus,Predator,3,age_mature,1.25885115733333
Base,90,TrichiurusJaponicus,Trichiurus japonicus,Predator,3,age_mature,1.219568352
Base,91,TrichiurusJaponicus,Trichiurus japonicus,Predator,3,age_mature,1.25285425933333
Base,92,TrichiurusJaponicus,Trichiurus japonicus,Predator,3,age_mature,1.174584061
Base,93,TrichiurusJaponicus,Trichiurus japonicus,Predator,3,age_mature,1.269845032
