scenario,run,group,value,indicator
Base,78,Invertebrate,0.965201010917899,age_mature
Base,79,Invertebrate,0.941010362841653,age_mature
Base,80,Invertebrate,0.943313973970143,age_mature
Base,81,Invertebrate,0.954243383638169,age_mature
Base,82,Invertebrate,0.975627303680066,age_mature
Base,83,Invertebrate,0.971674674662958,age_mature
Base,84,Invertebrate,0.956486244741595,age_mature
Base,85,Invertebrate,0.988358590361477,age_mature
Base,86,Invertebrate,0.976992184582933,age_mature
Base,87,Invertebrate,0.922985547468974,age_mature
Base,88,Invertebrate,0.98302101195768,age_mature
Base,89,Invertebrate,0.956706383169138,age_mature
Base,90,Invertebrate,0.944700893685356,age_mature
Base,91,Invertebrate,0.94883886568028,age_mature
Base,92,Invertebrate,0.953731760006798,age_mature
Base,93,Invertebrate,0.982047358835148,age_mature
Base,94,Invertebrate,0.946787749743637,age_mature
Base,95,Invertebrate,1.00012664584688,age_mature
Base,96,Invertebrate,0.969890685292283,age_mature
Base,97,Invertebrate,0.965066981121493,age_mature
Base,98,Invertebrate,0.966046005159502,age_mature
Base,99,Invertebrate,0.941147742001373,age_mature
Base,100,Invertebrate,1.0031683089799,age_mature
Base,1,Mid-trophic species,0.597418077785272,age_mature
Base,2,Mid-trophic species,0.602920806003998,age_mature
Base,3,Mid-trophic species,0.599767784530584,age_mature
Base,4,Mid-trophic species,0.598842933033509,age_mature
Base,5,Mid-trophic species,0.596490928412993,age_mature
Base,6,Mid-trophic species,0.597701534942849,age_mature
Base,7,Mid-trophic species,0.595897094569443,age_mature
Base,8,Mid-trophic species,0.598469987795479,age_mature
Base,9,Mid-trophic species,0.59819984516929,age_mature
Base,10,Mid-trophic species,0.595766615187954,age_mature
Base,11,Mid-trophic species,0.600328658059136,age_mature
Base,12,Mid-trophic species,0.598838170631169,age_mature
Base,13,Mid-trophic species,0.595193938261873,age_mature
Base,14,Mid-trophic species,0.598839270013154,age_mature
Base,15,Mid-trophic species,0.596639924997898,age_mature
Base,16,Mid-trophic species,0.596140706201694,age_mature
Base,17,Mid-trophic species,0.598402564072007,age_mature
Base,18,Mid-trophic species,0.596927779703042,age_mature
Base,19,Mid-trophic species,0.598860053880476,age_mature
Base,20,Mid-trophic species,0.595546939935459,age_mature
Base,21,Mid-trophic species,0.59600128686013,age_mature
Base,22,Mid-trophic species,0.595940252941849,age_mature
Base,23,Mid-trophic species,0.598628034343831,age_mature
Base,24,Mid-trophic species,0.593959462160215,age_mature
Base,25,Mid-trophic species,0.598763870215983,age_mature
Base,26,Mid-trophic species,0.600063685896854,age_mature
Base,27,Mid-trophic species,0.601120790744076,age_mature
Base,28,Mid-trophic species,0.596283787648371,age_mature
Base,29,Mid-trophic species,0.600426930947618,age_mature
Base,30,Mid-trophic species,0.599134221547082,age_mature
Base,31,Mid-trophic species,0.596292135279019,age_mature
Base,32,Mid-trophic species,0.597447717674562,age_mature
Base,33,Mid-trophic species,0.597498434766401,age_mature
Base,34,Mid-trophic species,0.59835065586118,age_mature
Base,35,Mid-trophic species,0.598833987793528,age_mature
Base,36,Mid-trophic species,0.600741221112381,age_mature
Base,37,Mid-trophic species,0.597279386927033,age_mature
Base,38,Mid-trophic species,0.601177652886139,age_mature
Base,39,Mid-trophic species,0.597164608719263,age_mature
Base,40,Mid-trophic species,0.595744735001372,age_mature
Base,41,Mid-trophic species,0.599188356525797,age_mature
Base,42,Mid-trophic species,0.592613844033324,age_mature
Base,43,Mid-trophic species,0.593522137883483,age_mature
Base,44,Mid-trophic species,0.595927838561857,age_mature
Base,45,Mid-trophic species,0.602664667698332,age_mature
Base,46,Mid-trophic species,0.595418822689722,age_mature
Base,47,Mid-trophic species,0.595396349782955,age_mature
Base,48,Mid-trophic species,0.592485981914543,age_mature
Base,49,Mid-trophic species,0.596575696049959,age_mature
Base,50,Mid-trophic species,0.597959924480454,age_mature
Base,51,Mid-trophic species,0.594286042544297,age_mature
Base,52,Mid-trophic species,0.59746611813564,age_mature
Base,53,Mid-trophic species,0.596097398476226,age_mature
Base,54,Mid-trophic species,0.595531808988871,age_mature
Base,55,Mid-trophic species,0.595084219512952,age_mature
Base,56,Mid-trophic species,0.594726257579389,age_mature
Base,57,Mid-trophic species,0.601008585427985,age_mature
Base,58,Mid-trophic species,0.598768708127461,age_mature
Base,59,Mid-trophic species,0.59987656629505,age_mature
Base,60,Mid-trophic species,0.599082834545782,age_mature
Base,61,Mid-trophic species,0.597970346205761,age_mature
Base,62,Mid-trophic species,0.602143596737502,age_mature
Base,63,Mid-trophic species,0.600147639268306,age_mature
Base,64,Mid-trophic species,0.597676456648729,age_mature
Base,65,Mid-trophic species,0.594684711317587,age_mature
Base,66,Mid-trophic species,0.597852490803238,age_mature
Base,67,Mid-trophic species,0.597058912157874,age_mature
Base,68,Mid-trophic species,0.597563346045036,age_mature
Base,69,Mid-trophic species,0.598084842419182,age_mature
Base,70,Mid-trophic species,0.599709362037913,age_mature
Base,71,Mid-trophic species,0.602010766626553,age_mature
Base,72,Mid-trophic species,0.597301195824263,age_mature
Base,73,Mid-trophic species,0.600858228701988,age_mature
Base,74,Mid-trophic species,0.594170229907884,age_mature
Base,75,Mid-trophic species,0.598180590894768,age_mature
Base,76,Mid-trophic species,0.592447815821766,age_mature
Base,77,Mid-trophic species,0.598302290235342,age_mature
Base,78,Mid-trophic species,0.598130170794429,age_mature
Base,79,Mid-trophic species,0.596353050863544,age_mature
Base,80,Mid-trophic species,0.598395983647146,age_mature
Base,81,Mid-trophic species,0.598502941624268,age_mature
Base,82,Mid-trophic species,0.600052323402223,age_mature
Base,83,Mid-trophic species,0.599920668864975,age_mature
Base,84,Mid-trophic species,0.599738850974291,age_mature
