species,indicator,scenario,comparison,n_paired_runs,base_mean,future_mean,response_center,response_unit,pct_change,pct_ci_low,pct_ci_high,t_statistic,df,p_value,paired_effect_dz,p_fdr,significance,latin,group,species_order,cell_label,indicator_label
PortunusTrituberculatus,biomass,SSP5-8.5,SSP5-8.5 vs Base,100,467618.004616667,401960.700787654,-0.217578789093163,log2 response ratio,-13.9992461615452,-14.8590567982487,-13.1629636216236,-29.6104622790732,99,5.45514419650915e-51,-2.96104622790732,1.52744037502256e-50,***,Portunus trituberculatus,Invertebrate,8,-14.0***,Biomass
ScomberJaponicus,biomass,SSP5-8.5,SSP5-8.5 vs Base,100,1280579.16030333,1023964.86706667,-0.32240869998274,log2 response ratio,-20.0266459668131,-20.4510734373566,-19.6118284252118,-82.9519128658953,99,2.62484366797414e-93,-8.29519128658953,3.6747811351638e-92,***,Scomber japonicus,Mid-trophic species,9,-20.0***,Biomass
DecapterusMaruadsi,biomass,SSP5-8.5,SSP5-8.5 vs Base,100,54642.4884235,47404.446678642,-0.199138684229305,log2 response ratio,-12.892954665049,-15.0951560131742,-10.5606580695111,-10.4012152995469,99,1.46031514929094e-17,-1.04012152995469,1.85858291727938e-17,***,Decapterus maruadsi,Mid-trophic species,10,-12.9***,Biomass
PennahiaArgentata,biomass,SSP5-8.5,SSP5-8.5 vs Base,100,546056.966366667,849498.610628395,0.641420268529196,log2 response ratio,55.986401982759,53.0783845332221,58.8181614305557,47.8825873792496,99,2.8157954730026e-70,4.78825873792496,1.31403788740121e-69,***,Pennahia argentata,Mid-trophic species,11,+56.0***,Biomass
PampusArgenteus,biomass,SSP5-8.5,SSP5-8.5 vs Base,100,9758.29592694,13021.3386005975,0.459326852118111,log2 response ratio,37.4900153026506,28.9688116560584,46.6309123765895,9.90147849424381,99,1.79448443212766e-16,0.990147849424381,2.09356517081561e-16,***,Pampus argenteus,Mid-trophic species,12,+37.5***,Biomass
LarimichthysPolyactis,biomass,SSP5-8.5,SSP5-8.5 vs Base,100,600557.55376,681862.237333334,0.184681227620141,log2 response ratio,13.6565814252996,12.2955590096045,15.0227988131122,20.6941355990105,99,9.80460976942634e-38,2.06941355990105,1.96092195388527e-37,***,Larimichthys polyactis,Mid-trophic species,13,+13.7***,Biomass
TrachurusJaponicus,biomass,SSP5-8.5,SSP5-8.5 vs Base,100,14441.5265504667,11380.9209259963,-0.331999241447215,log2 response ratio,-20.5565182199136,-23.5597314146044,-17.2358502546641,-11.3119093072228,99,1.54424012861861e-19,-1.13119093072228,2.16193618006605e-19,***,Trachurus japonicus,Mid-trophic species,14,-20.6***,Biomass
EngraulisJaponicus,yield,SSP1-2.6,SSP1-2.6 vs Base,100,157782.221291333,128216.058161605,-0.298867439768738,log2 response ratio,-18.7109710038408,-19.4467842541834,-17.9350355208219,-42.7095250169642,99,1.38063712726044e-65,-4.27095250169642,8.96645103522559e-65,***,Engraulis japonicus,Prey,1,-18.7***,Yield
ScomberomorusNiphonius,yield,SSP1-2.6,SSP1-2.6 vs Base,100,35139.195071,35624.9109724691,0.0200024538001836,log2 response ratio,1.39612043790816,0.918959417446239,1.89247292879396,5.61305240505115,99,1.81637856316954e-07,0.561305240505115,1.95609999110566e-07,***,Scomberomorus niphonius,Predator,2,+1.4***,Yield
TrichiurusJaponicus,yield,SSP1-2.6,SSP1-2.6 vs Base,100,243152.581886667,222257.761943704,-0.128892594840581,log2 response ratio,-8.54668282498068,-9.39851678082605,-7.7088242735699,-19.0841821770916,99,6.05616985749017e-35,-1.90841821770916,1.41310630008104e-34,***,Trichiurus japonicus,Predator,3,-8.5***,Yield
MuraenesoxCinereus,yield,SSP1-2.6,SSP1-2.6 vs Base,100,128402.670783333,148645.513169259,0.211667362295676,log2 response ratio,15.8025773013888,15.0111983172638,16.5940544795302,42.559523674561,99,1.9213823646912e-65,4.2559523674561,8.96645103522559e-65,***,Muraenesox cinereus,Predator,4,+15.8***,Yield
MiichthysMiiuy,yield,SSP1-2.6,SSP1-2.6 vs Base,100,24609.5983880667,26166.6943858395,0.0910379421243323,log2 response ratio,6.51362155499393,4.76652629156073,8.2865053387906,7.52633738345948,99,2.44588896876487e-11,0.752633738345948,2.85353713022569e-11,***,Miichthys miiuy,Predator,5,+6.5***,Yield
TodarodesPacificus,yield,SSP1-2.6,SSP1-2.6 vs Base,100,144474.047185333,152892.049260988,0.0827531683836543,log2 response ratio,5.90371278440542,4.86487841760785,6.97122027061597,11.1880829061127,99,2.85938965911618e-19,1.11880829061127,4.00314552276265e-19,***,Todarodes pacificus,Invertebrate,6,+5.9***,Yield
TrachysalambriaCurvirostris,yield,SSP1-2.6,SSP1-2.6 vs Base,100,87447.440218,88699.0959138272,0.0226538961056491,log2 response ratio,1.58264160490953,0.220400148122346,3.01353297981401,2.21444345514424,99,0.0290919450212867,0.221444345514424,0.0290919450212867,*,Trachysalambria curvirostris,Invertebrate,7,+1.6*,Yield
PortunusTrituberculatus,yield,SSP1-2.6,SSP1-2.6 vs Base,100,101169.630708333,91546.2218481482,-0.143532791330528,log2 response ratio,-9.47004084060067,-10.3157396586727,-8.61921649039741,-20.6284454720195,99,1.26662552142306e-37,-2.06284454720195,3.54655145998456e-37,***,Portunus trituberculatus,Invertebrate,8,-9.5***,Yield
ScomberJaponicus,yield,SSP1-2.6,SSP1-2.6 vs Base,100,231317.594326667,200681.923766667,-0.204754204314654,log2 response ratio,-13.2313495446435,-13.6502267573367,-12.8233205528857,-57.4053583853085,99,8.33017514927871e-78,-5.74053583853085,1.16622452089902e-76,***,Scomber japonicus,Mid-trophic species,9,-13.2***,Yield
DecapterusMaruadsi,yield,SSP1-2.6,SSP1-2.6 vs Base,100,12391.0683252,10863.6007341975,-0.18431625542948,log2 response ratio,-11.9933928239474,-14.253589550418,-9.6413635093377,-9.19322058624293,99,6.29008541462863e-15,-0.919322058624293,8.00556325498189e-15,***,Decapterus maruadsi,Mid-trophic species,10,-12.0***,Yield
PennahiaArgentata,yield,SSP1-2.6,SSP1-2.6 vs Base,100,93054.3832443333,120122.335156914,0.372290035969612,log2 response ratio,29.44058525921,26.9252315745586,32.0296127616452,25.4202236963653,99,3.4682619806684e-45,2.54202236963653,1.21389169323394e-44,***,Pennahia argentata,Mid-trophic species,11,+29.4***,Yield
PampusArgenteus,yield,SSP1-2.6,SSP1-2.6 vs Base,100,5881.83694677667,8204.83856344938,0.522058945353643,log2 response ratio,43.6003181363795,35.6804611831374,52.4822713719832,11.9247880431737,99,7.43077807589902e-21,1.19247880431737,1.30038616328233e-20,***,Pampus argenteus,Mid-trophic species,12,+43.6***,Yield
LarimichthysPolyactis,yield,SSP1-2.6,SSP1-2.6 vs Base,100,186438.481960667,206166.344644198,0.146578395634566,log2 response ratio,10.6941051537607,9.39073213889028,11.9903127300574,16.6121119356483,99,2.18586392922266e-30,1.66121119356483,4.37172785844533e-30,***,Larimichthys polyactis,Mid-trophic species,13,+10.7***,Yield
TrachurusJaponicus,yield,SSP1-2.6,SSP1-2.6 vs Base,100,3124.3721494,2395.89569428284,-0.369114007043508,log2 response ratio,-22.5742159253319,-25.9803832485173,-19.00624903943,-11.1948224515842,99,2.76503443638754e-19,-1.11948224515842,4.00314552276265e-19,***,Trachurus japonicus,Mid-trophic species,14,-22.6***,Yield
EngraulisJaponicus,yield,SSP5-8.5,SSP5-8.5 vs Base,100,157782.221291333,115697.511207654,-0.447049804441423,log2 response ratio,-26.6458651527148,-27.3045307887207,-25.9943948781474,-66.4826471320238,99,5.85275051929685e-84,-6.64826471320238,4.0969253635078e-83,***,Engraulis japonicus,Prey,1,-26.6***,Yield
ScomberomorusNiphonius,yield,SSP5-8.5,SSP5-8.5 vs Base,100,35139.195071,35763.8665503704,0.0256579030562592,log2 response ratio,1.79437927165669,1.35924961126385,2.23099355472418,7.96696655429729,99,2.82477374616386e-12,0.796696655429729,3.04206403433031e-12,***,Scomberomorus niphonius,Predator,2,+1.8***,Yield
TrichiurusJaponicus,yield,SSP5-8.5,SSP5-8.5 vs Base,100,243152.581886667,223582.132728272,-0.120266309430292,log2 response ratio,-7.99821926378577,-8.87388984430067,-7.12505000751735,-17.0971246608334,99,2.62411570507444e-31,-1.70971246608334,4.08195776344912e-31,***,Trichiurus japonicus,Predator,3,-8.0***,Yield
MuraenesoxCinereus,yield,SSP5-8.5,SSP5-8.5 vs Base,100,128402.670783333,151186.145955062,0.236162234255713,log2 response ratio,17.7855234580336,16.9706047240486,18.6171814323243,46.4571757643675,99,4.94463050137291e-69,4.64571757643675,1.73062067548052e-68,***,Muraenesox cinereus,Predator,4,+17.8***,Yield
MiichthysMiiuy,yield,SSP5-8.5,SSP5-8.5 vs Base,100,24609.5983880667,31148.3678931235,0.342767274231683,log2 response ratio,26.8186807539635,24.8955190403175,28.830523727122,29.5456010857447,99,6.63131615332493e-51,2.95456010857447,1.85676852293098e-50,***,Miichthys miiuy,Predator,5,+26.8***,Yield
TodarodesPacificus,yield,SSP5-8.5,SSP5-8.5 vs Base,100,144474.047185333,157887.481234074,0.129094809153788,log2 response ratio,9.3607323385019,8.27279286842618,10.4447709607715,17.6360320261624,99,2.57787676468166e-32,1.76360320261624,4.5112843381929e-32,***,Todarodes pacificus,Invertebrate,6,+9.4***,Yield
TrachysalambriaCurvirostris,yield,SSP5-8.5,SSP5-8.5 vs Base,100,87447.440218,90421.9303118519,0.0500897834892062,log2 response ratio,3.53293536666823,1.9537476034057,5.07917293955916,4.49799789750395,99,1.86945388448442e-05,0.449799789750395,1.86945388448442e-05,***,Trachysalambria curvirostris,Invertebrate,7,+3.5***,Yield
PortunusTrituberculatus,yield,SSP5-8.5,SSP5-8.5 vs Base,100,101169.630708333,89320.7348414815,-0.179137589908557,log2 response ratio,-11.6769186308566,-12.4745783990183,-10.8820421528024,-26.2353651289135,99,2.27375648826644e-46,-2.62353651289135,5.30543180595502e-46,***,Portunus trituberculatus,Invertebrate,8,-11.7***,Yield
ScomberJaponicus,yield,SSP5-8.5,SSP5-8.5 vs Base,100,231317.594326667,185632.165157531,-0.317228014709877,log2 response ratio,-19.7389472099507,-20.1376629331229,-19.3260928098566,-85.0309265214995,99,2.34094018276707e-94,-8.50309265214995,3.2773162558739e-93,***,Scomber japonicus,Mid-trophic species,9,-19.7***,Yield
DecapterusMaruadsi,yield,SSP5-8.5,SSP5-8.5 vs Base,100,12391.0683252,10794.6768309383,-0.193176740554916,log2 response ratio,-12.5322395977366,-14.7006227639684,-10.2882059038277,-10.2915194133807,99,2.53165145892062e-17,-1.02915194133807,3.22210185680806e-17,***,Decapterus maruadsi,Mid-trophic species,10,-12.5***,Yield
PennahiaArgentata,yield,SSP5-8.5,SSP5-8.5 vs Base,100,93054.3832443333,145270.398502222,0.646567580865276,log2 response ratio,56.5439312899839,53.7060288287328,59.3756235184023,47.8400638152897,99,3.06361591776484e-70,4.78400638152897,1.42968742829026e-69,***,Pennahia argentata,Mid-trophic species,11,+56.5***,Yield
PampusArgenteus,yield,SSP5-8.5,SSP5-8.5 vs Base,100,5881.83694677667,7782.74589253827,0.445212193526957,log2 response ratio,36.1514355135942,28.4148379842723,44.7814622142208,9.9425798293586,99,1.4597188615708e-16,0.99425798293586,1.70300533849926e-16,***,Pampus argenteus,Mid-trophic species,12,+36.2***,Yield
LarimichthysPolyactis,yield,SSP5-8.5,SSP5-8.5 vs Base,100,186438.481960667,214721.496866914,0.205251894861727,log2 response ratio,15.2887623651752,13.9627025583237,16.6660232459834,22.9049366202357,99,2.36918645410729e-41,2.29049366202357,4.73837290821458e-41,***,Larimichthys polyactis,Mid-trophic species,13,+15.3***,Yield
TrachurusJaponicus,yield,SSP5-8.5,SSP5-8.5 vs Base,100,3124.3721494,2310.1102907737,-0.420295825560114,log2 response ratio,-25.2728619877816,-28.4592098864849,-21.9416390601221,-13.1305863139229,99,2.08162084506296e-23,-1.31305863139229,2.91426918308814e-23,***,Trachurus japonicus,Mid-trophic species,14,-25.3***,Yield
