species,indicator,scenario,comparison,n_paired_runs,base_mean,future_mean,response_center,response_unit,pct_change,pct_ci_low,pct_ci_high,t_statistic,df,p_value,paired_effect_dz,p_fdr,significance,latin,group,species_order,cell_label,indicator_label
LarimichthysPolyactis,age_mature,SSP1-2.6,SSP1-2.6 vs Base,100,0.862823574603333,0.872503648259259,0.016284247421702,log2 response ratio,1.13513230195312,0.712259426139306,1.57734596345475,5.1152637128048,99,1.53563219752715e-06,0.51152637128048,2.14988507653801e-06,***,Larimichthys polyactis,Mid-trophic species,13,+1.1***,Maturation age
TrachurusJaponicus,age_mature,SSP1-2.6,SSP1-2.6 vs Base,100,0.47400041339,0.46426177,-0.0299038928428546,log2 response ratio,-2.05144547805998,-2.27682303810261,-1.82874310658985,-17.6471348070519,99,2.4584929124032e-32,-1.76471348070519,8.60472519341121e-32,***,Trachurus japonicus,Mid-trophic species,14,-2.1***,Maturation age
EngraulisJaponicus,age_mature,SSP5-8.5,SSP5-8.5 vs Base,100,0.709716360073333,0.662162532030864,-0.0998902438090511,log2 response ratio,-6.68960232308579,-7.08730731391573,-6.29174145912509,-30.7462525878407,99,1.88640467128362e-52,-3.07462525878407,1.32048326989853e-51,***,Engraulis japonicus,Prey,1,-6.7***,Maturation age
ScomberomorusNiphonius,age_mature,SSP5-8.5,SSP5-8.5 vs Base,100,0.65874994576,0.668210960598766,0.0205774139664283,log2 response ratio,1.43653809175019,1.36777986708803,1.50525527572423,41.2140952180748,99,3.90564259615148e-64,4.12140952180748,5.46789963461207e-63,***,Scomberomorus niphonius,Predator,2,+1.4***,Maturation age
TrichiurusJaponicus,age_mature,SSP5-8.5,SSP5-8.5 vs Base,100,1.24388645940667,1.14419662502099,-0.119673480280879,log2 response ratio,-7.96040632105568,-8.90986193676891,-7.01523554458992,-15.5309739829936,99,2.74373900872882e-28,-1.55309739829936,5.48747801745763e-28,***,Trichiurus japonicus,Predator,3,-8.0***,Maturation age
MuraenesoxCinereus,age_mature,SSP5-8.5,SSP5-8.5 vs Base,100,0.68802243502,0.700287359222222,0.0255116964190264,log2 response ratio,1.78406367525992,1.64444355694532,1.92508738971718,25.1182373409,99,9.67493807894335e-45,2.51182373409,4.5149711035069e-44,***,Muraenesox cinereus,Predator,4,+1.8***,Maturation age
MiichthysMiiuy,age_mature,SSP5-8.5,SSP5-8.5 vs Base,100,0.583335379216667,0.582886543461728,-0.000979533173056077,log2 response ratio,-0.0678730215538326,-0.428245622257015,0.290885331860759,-0.373793162967958,99,0.709357515047964,-0.0373793162967958,0.709357515047964,ns,Miichthys miiuy,Predator,5,-0.1,Maturation age
TodarodesPacificus,age_mature,SSP5-8.5,SSP5-8.5 vs Base,100,1.00903498482333,1.00590842103086,-0.00423539277696089,log2 response ratio,-0.293144546016555,-0.782129049792498,0.179758673239301,-1.16966947933127,99,0.244942330364739,-0.116966947933127,0.282042907642325,ns,Todarodes pacificus,Invertebrate,6,-0.3,Maturation age
TrachysalambriaCurvirostris,age_mature,SSP5-8.5,SSP5-8.5 vs Base,100,0.877772768236667,0.85868490368642,-0.0304453742479943,log2 response ratio,-2.08820124939432,-3.21681937948069,-0.977983385620781,-3.5734208004834,99,0.000546318117021926,-0.35734208004834,0.000695313967118815,***,Trachysalambria curvirostris,Invertebrate,7,-2.1***,Maturation age
PortunusTrituberculatus,age_mature,SSP5-8.5,SSP5-8.5 vs Base,100,0.998669497586667,0.994922924444445,-0.00506187140612185,log2 response ratio,-0.350247387217717,-0.959156175861008,0.249524412251742,-1.12835511092909,99,0.261896985667873,-0.112835511092909,0.282042907642325,ns,Portunus trituberculatus,Invertebrate,8,-0.4,Maturation age
ScomberJaponicus,age_mature,SSP5-8.5,SSP5-8.5 vs Base,100,0.79838711804,0.788570212862963,-0.0178380936946287,log2 response ratio,-1.22882989282509,-1.34306497978693,-1.12041509173065,-21.2440453470442,99,1.17233126574726e-38,-2.12440453470442,3.28252754409233e-38,***,Scomber japonicus,Mid-trophic species,9,-1.2***,Maturation age
DecapterusMaruadsi,age_mature,SSP5-8.5,SSP5-8.5 vs Base,100,0.54233692213,0.533913964532099,-0.0225572434390998,log2 response ratio,-1.55138900038588,-1.69925715256161,-1.40310182986129,-20.2151182305779,99,6.42034971771663e-37,-2.02151182305779,1.49808160080055e-36,***,Decapterus maruadsi,Mid-trophic species,10,-1.6***,Maturation age
PennahiaArgentata,age_mature,SSP5-8.5,SSP5-8.5 vs Base,100,0.5900092357,0.607783074754321,0.0429719469766604,log2 response ratio,3.02339206564932,2.57248167227389,3.49829894411833,12.9476390750769,99,5.03298014284686e-23,1.29476390750769,8.80771524998201e-23,***,Pennahia argentata,Mid-trophic species,11,+3.0***,Maturation age
PampusArgenteus,age_mature,SSP5-8.5,SSP5-8.5 vs Base,100,0.437893587123333,0.435523906441975,-0.00781673049319435,log2 response ratio,-0.540349303011622,-0.643080854422805,-0.435413655821191,-10.0409234430297,99,8.90725279666104e-17,-1.00409234430297,1.38557265725838e-16,***,Pampus argenteus,Mid-trophic species,12,-0.5***,Maturation age
LarimichthysPolyactis,age_mature,SSP5-8.5,SSP5-8.5 vs Base,100,0.862823574603333,0.870308728104938,0.0126292910191191,log2 response ratio,0.87923853983245,0.430558932558038,1.34606171374166,3.69588067319774,99,0.000359446393431146,0.369588067319774,0.000503224950803605,***,Larimichthys polyactis,Mid-trophic species,13,+0.9***,Maturation age
TrachurusJaponicus,age_mature,SSP5-8.5,SSP5-8.5 vs Base,100,0.47400041339,0.462421820717284,-0.0356287210320593,log2 response ratio,-2.43934974969721,-2.65918396203769,-2.22515426543376,-21.6691085337812,99,2.32568240733512e-39,-2.16691085337812,8.1398884256729e-39,***,Trachurus japonicus,Mid-trophic species,14,-2.4***,Maturation age
EngraulisJaponicus,mean_tl,SSP1-2.6,SSP1-2.6 vs Base,100,2.3345905394,2.3261595661358,-0.00843097326419737,absolute difference,-0.361132846291934,-0.401147619340984,-0.320891412810316,-17.4956679636729,99,4.70101515604027e-32,-1.74956679636729,2.48421670556436e-31,***,Engraulis japonicus,Prey,1,-0.4***,Mean trophic level
ScomberomorusNiphonius,mean_tl,SSP1-2.6,SSP1-2.6 vs Base,100,3.09354402646667,3.0826207861358,-0.0109232403308638,absolute difference,-0.353097943246028,-0.392671146978331,-0.315117531637777,-17.4666967848995,99,5.32332151192363e-32,-1.74666967848995,2.48421670556436e-31,***,Scomberomorus niphonius,Predator,2,-0.4***,Mean trophic level
TrichiurusJaponicus,mean_tl,SSP1-2.6,SSP1-2.6 vs Base,100,2.7845686527,2.78350321376543,-0.00106543893456761,absolute difference,-0.0382622613213313,-0.0796589328248509,0.00345918248252641,-1.82650241917395,99,0.0707881722433555,-0.182650241917395,0.0825862009505814,ns,Trichiurus japonicus,Predator,3,-0.0,Mean trophic level
MuraenesoxCinereus,mean_tl,SSP1-2.6,SSP1-2.6 vs Base,100,3.11356910333333,3.1105703947037,-0.00299870862963023,absolute difference,-0.096310970789748,-0.131430794013124,-0.0613944548631268,-5.26968530146186,99,8.00307902519287e-07,-0.526968530146186,1.24492340391889e-06,***,Muraenesox cinereus,Predator,4,-0.1***,Mean trophic level
MiichthysMiiuy,mean_tl,SSP1-2.6,SSP1-2.6 vs Base,100,3.0251973754,3.01007421882716,-0.0151231565728392,absolute difference,-0.499906442330544,-0.554899446888798,-0.443593475977305,-17.2981161704898,99,1.09968824252783e-31,-1.72981161704898,3.8489088488474e-31,***,Miichthys miiuy,Predator,5,-0.5***,Mean trophic level
TodarodesPacificus,mean_tl,SSP1-2.6,SSP1-2.6 vs Base,100,2.43184867786667,2.42552798750617,-0.00632069036049419,absolute difference,-0.259912979702304,-0.308982716044804,-0.211857758295372,-10.4633982036739,99,1.06919571248469e-17,-1.04633982036739,2.49478999579761e-17,***,Todarodes pacificus,Invertebrate,6,-0.3***,Mean trophic level
TrachysalambriaCurvirostris,mean_tl,SSP1-2.6,SSP1-2.6 vs Base,100,2.2742195104,2.27342538946914,-0.000794120930864013,absolute difference,-0.0349183940790421,-0.111625313514238,0.0423886895016872,-0.888611672989788,99,0.376365815392839,-0.0888611672989788,0.376365815392839,ns,Trachysalambria curvirostris,Invertebrate,7,-0.0,Mean trophic level
