scenario,species,latin,group,species_order,ingestion_response,maintenance_response,burden_response,ingestion_lo,ingestion_hi,maintenance_lo,maintenance_hi,n_runs,balance_projection,projection_x,projection_y,short_label,label_side,label_hjust,label_x,label_y,label_line_x
SSP5-8.5,PennahiaArgentata,Pennahia argentata,Mid-trophic species,11,-0.0455024077878467,0.55446432650383,0.599966734291676,-0.0696855035110156,-0.024722838208157,0.464800741259025,0.643695297155668,100,0.254480959357991,0.254480959357991,0.254480959357991,P. argentata,right,0,0.18,0.707488348998783,0.17
SSP1-2.6,PortunusTrituberculatus,Portunus trituberculatus,Invertebrate,8,-0.36684861561513,0.479918372992468,0.846766988607598,-0.660763757783578,-0.0589800682925663,0.23568194786612,0.741871677584216,100,0.0565348786886692,0.0565348786886692,0.0565348786886692,P. trituberculatus,left,0,-0.33184861561513,0.424918372992468,-0.34184861561513
SSP5-8.5,PortunusTrituberculatus,Portunus trituberculatus,Invertebrate,8,-0.330542257421199,0.632859462505787,0.963401719926986,-0.604271584477409,-0.0399636874523966,0.390234906576843,0.913212886736015,100,0.151158602542294,0.151158602542294,0.151158602542294,P. trituberculatus,left,0,-0.295542257421199,0.577859462505787,-0.305542257421199
SSP1-2.6,ScomberJaponicus,Scomber japonicus,Mid-trophic species,9,0.0452687912964489,0.229707665049185,0.184438873752736,0.022375907145247,0.069689885982466,0.132591748930886,0.310480202087503,100,0.137488228172817,0.137488228172817,0.137488228172817,S. japonicus,right,0,0.18,0.27590583802193,0.17
SSP5-8.5,ScomberJaponicus,Scomber japonicus,Mid-trophic species,9,0.0763974656310859,0.53842166246847,0.462024196837384,0.0507774106064548,0.103842432758897,0.431638522540892,0.608060248330336,100,0.307409564049778,0.307409564049778,0.307409564049778,S. japonicus,right,0,0.18,0.655488348998783,0.17
SSP1-2.6,ScomberomorusNiphonius,Scomberomorus niphonius,Predator,2,-0.0118751075790839,0.15789312070593,0.169768228285014,-0.0165772052146073,-0.00637444801320757,0.108031874960204,0.203859938180646,100,0.0730090065634231,0.0730090065634231,0.0730090065634231,S. niphonius,right,0,0.18,0.22390583802193,0.17
SSP5-8.5,ScomberomorusNiphonius,Scomberomorus niphonius,Predator,2,-0.0192503321646717,0.412123028464901,0.431373360629573,-0.0226311210743523,-0.0141899003725129,0.362600087084492,0.456925839233504,100,0.196436348150115,0.196436348150115,0.196436348150115,S. niphonius,right,0,0.18,0.447488348998783,0.17
SSP1-2.6,TodarodesPacificus,Todarodes pacificus,Invertebrate,6,-0.247207992053017,0.667630898748747,0.914838890801764,-0.781363081178164,0.0869483179284958,0.225706401043206,1.10218449994867,100,0.210211453347865,0.210211453347865,0.210211453347865,T. pacificus,left,1,-0.272207992053017,0.712630898748747,-0.262207992053017
SSP5-8.5,TodarodesPacificus,Todarodes pacificus,Invertebrate,6,-0.257036566124921,0.942293117644072,1.19932968376899,-0.832936822182506,0.0979558527188928,0.457357688357193,1.39197155949178,100,0.342628275759576,0.342628275759576,0.342628275759576,T. pacificus,left,1,-0.282036566124921,0.987293117644072,-0.272036566124921
SSP1-2.6,TrachurusJaponicus,Trachurus japonicus,Mid-trophic species,14,0.0505611296939892,0.148058735902154,0.0974976062081652,-0.03097491949531,0.120255890836827,0.0506770155231365,0.279928977234543,100,0.0993099327980718,0.0993099327980718,0.0993099327980718,T. japonicus,right,0,0.18,0.17190583802193,0.17
SSP5-8.5,TrachurusJaponicus,Trachurus japonicus,Mid-trophic species,14,0.0685077908295649,0.395488348998783,0.326980558169218,-0.02028365334183,0.162752095701587,0.265363768537868,0.499835746029234,100,0.231998069914174,0.231998069914174,0.231998069914174,T. japonicus,right,0,0.18,0.395488348998783,0.17
SSP1-2.6,TrachysalambriaCurvirostris,Trachysalambria curvirostris,Invertebrate,7,-0.04392631481963,0.527544744001314,0.571471058820944,-0.289649106375076,0.276758164623715,0.161928564050703,0.929322972337863,100,0.241809214590842,0.241809214590842,0.241809214590842,T. curvirostris,right,0,0.18,0.639905838021931,0.17
SSP5-8.5,TrachysalambriaCurvirostris,Trachysalambria curvirostris,Invertebrate,7,-0.0430765296510065,0.757741778688855,0.800818308339861,-0.341395093553205,0.285057009559723,0.302187049683996,1.10821350299168,100,0.357332624518924,0.357332624518924,0.357332624518924,T. curvirostris,right,0,0.18,0.811488348998783,0.17
SSP1-2.6,TrichiurusJaponicus,Trichiurus japonicus,Predator,3,0.0114425124734741,0.344765021669443,0.333322509195969,-0.017752578649175,0.0433782196287584,0.219013150862196,0.433052909183555,100,0.178103767071459,0.178103767071459,0.178103767071459,T. japonicus,right,0,0.18,0.48390583802193,0.17
SSP5-8.5,TrichiurusJaponicus,Trichiurus japonicus,Predator,3,0.0159105851738685,0.481631699891228,0.465721114717359,-0.0127997358369154,0.050857285034513,0.367694690744051,0.576085770645457,100,0.248771142532548,0.248771142532548,0.248771142532548,T. japonicus,right,0,0.18,0.499488348998783,0.17
