scenario,run,group,ingestion_log2,maintenance_log2,burden_log2
SSP1-2.6,32,Mid-trophic species,0.00117149933930155,0.248999921605812,0.247828422266511
SSP5-8.5,32,Mid-trophic species,-0.00660714156997877,0.484068906263825,0.490676047833804
SSP1-2.6,33,Mid-trophic species,0.0252577415960351,0.238108788602465,0.21285104700643
SSP5-8.5,33,Mid-trophic species,0.0244357333467059,0.462480135688836,0.43804440234213
SSP1-2.6,34,Mid-trophic species,0.0130866549616048,0.201701414495918,0.188614759534313
SSP5-8.5,34,Mid-trophic species,0.00164547640226958,0.435066678053863,0.433421201651593
SSP1-2.6,35,Mid-trophic species,0.0145643250119708,0.24986495398808,0.235300628976109
SSP5-8.5,35,Mid-trophic species,0.0105925816990191,0.481827297009722,0.471234715310703
SSP1-2.6,36,Mid-trophic species,0.00408709233250443,0.261746818752049,0.257659726419545
SSP5-8.5,36,Mid-trophic species,0.00523454150597456,0.51079645314501,0.505561911639035
SSP1-2.6,37,Mid-trophic species,0.002928109402272,0.247976589535354,0.245048480133082
SSP5-8.5,37,Mid-trophic species,0.00736865810791653,0.449458931639644,0.442090273531727
SSP1-2.6,38,Mid-trophic species,0.0139943348362031,0.236593492572282,0.222599157736079
SSP5-8.5,38,Mid-trophic species,0.00234897225445403,0.466072458002447,0.463723485747993
SSP1-2.6,39,Mid-trophic species,0.00143596502188678,0.197431639804699,0.195995674782812
SSP5-8.5,39,Mid-trophic species,0.0214422142924691,0.431510999349332,0.410068785056863
SSP1-2.6,40,Mid-trophic species,-0.00745249088738982,0.226955455186745,0.234407946074135
SSP5-8.5,40,Mid-trophic species,0.00267955265399843,0.443087451798368,0.440407899144369
SSP1-2.6,41,Mid-trophic species,0.00330403488723198,0.205092004201049,0.201787969313817
SSP5-8.5,41,Mid-trophic species,-0.00311687245904158,0.452374590202086,0.455491462661127
SSP1-2.6,42,Mid-trophic species,-0.00916159245190979,0.272411334075085,0.281572926526994
SSP5-8.5,42,Mid-trophic species,-0.00356319715923441,0.494323467952356,0.49788666511159
SSP1-2.6,43,Mid-trophic species,-0.0100498629100001,0.237494890001435,0.247544752911436
SSP5-8.5,43,Mid-trophic species,-0.0098662742452655,0.48602484607006,0.495891120315325
SSP1-2.6,44,Mid-trophic species,0.0079526749657985,0.244959764126585,0.237007089160786
SSP5-8.5,44,Mid-trophic species,0.00501459168723208,0.460412931832151,0.455398340144919
SSP1-2.6,45,Mid-trophic species,-0.000916741894874085,0.263813723674026,0.2647304655689
SSP5-8.5,45,Mid-trophic species,0.0096037750877594,0.475581463192215,0.465977688104456
SSP1-2.6,46,Mid-trophic species,-0.00543724690171099,0.216327602715414,0.221764849617125
SSP5-8.5,46,Mid-trophic species,-0.00014648576141635,0.444858149880545,0.445004635641961
SSP1-2.6,47,Mid-trophic species,0.000633503926188803,0.228153891812463,0.227520387886274
SSP5-8.5,47,Mid-trophic species,-0.00122243294072314,0.463578336447379,0.464800769388102
SSP1-2.6,48,Mid-trophic species,0.00893570752626294,0.261123862389686,0.252188154863423
SSP5-8.5,48,Mid-trophic species,0.0121866167831701,0.489324534273155,0.477137917489985
SSP1-2.6,49,Mid-trophic species,0.0211927292245315,0.246887634881649,0.225694905657117
SSP5-8.5,49,Mid-trophic species,0.00967938479746219,0.473411920709572,0.463732535912109
SSP1-2.6,50,Mid-trophic species,0.0111808602134492,0.223696184596251,0.212515324382801
SSP5-8.5,50,Mid-trophic species,0.0210321695433631,0.471776200306206,0.450744030762843
SSP1-2.6,51,Mid-trophic species,0.00126087696312901,0.256568999867018,0.255308122903889
SSP5-8.5,51,Mid-trophic species,0.0213597785254286,0.469844324916014,0.448484546390585
SSP1-2.6,52,Mid-trophic species,0.00152773011688584,0.255237646447074,0.253709916330188
SSP5-8.5,52,Mid-trophic species,-0.00252352409296001,0.509486959553761,0.512010483646721
SSP1-2.6,53,Mid-trophic species,0.00236217329702327,0.249786764496145,0.247424591199122
SSP5-8.5,53,Mid-trophic species,0.00746183173396507,0.456344797312061,0.448882965578096
SSP1-2.6,54,Mid-trophic species,0.00205507198496841,0.259786947457939,0.257731875472971
SSP5-8.5,54,Mid-trophic species,0.0226275808492024,0.494536062910793,0.47190848206159
SSP1-2.6,55,Mid-trophic species,0.0158286233561619,0.204350003845024,0.188521380488862
SSP5-8.5,55,Mid-trophic species,0.00105847899468074,0.443692502601784,0.442634023607103
SSP1-2.6,56,Mid-trophic species,0.00361039693768718,0.240880575329791,0.237270178392104
SSP5-8.5,56,Mid-trophic species,-0.000424315530573137,0.487530830559797,0.48795514609037
SSP1-2.6,57,Mid-trophic species,0.00799270582318532,0.263094763993257,0.255102058170072
SSP5-8.5,57,Mid-trophic species,0.014718681387772,0.487566184553261,0.472847503165489
SSP1-2.6,58,Mid-trophic species,0.000295637010593599,0.237242839885793,0.236947202875199
SSP5-8.5,58,Mid-trophic species,0.00212151676464313,0.45606722701308,0.453945710248437
SSP1-2.6,59,Mid-trophic species,0.0114810012489602,0.225898433158098,0.214417431909138
SSP5-8.5,59,Mid-trophic species,0.0219991032914567,0.453502580002348,0.431503476710891
SSP1-2.6,60,Mid-trophic species,0.0197530555856901,0.236991449767466,0.217238394181776
SSP5-8.5,60,Mid-trophic species,0.014385294335629,0.429709797216229,0.4153245028806
SSP1-2.6,61,Mid-trophic species,0.0020985960492033,0.214590484776519,0.212491888727316
SSP5-8.5,61,Mid-trophic species,0.00543525471463475,0.452622894307993,0.447187639593359
SSP1-2.6,62,Mid-trophic species,-0.00192887977345485,0.232472940788812,0.234401820562267
SSP5-8.5,62,Mid-trophic species,0.00908838057172804,0.470071883970944,0.460983503399216
SSP1-2.6,63,Mid-trophic species,0.00396323055994892,0.231628059168399,0.22766482860845
SSP5-8.5,63,Mid-trophic species,-0.00635480427211107,0.438355811777161,0.444710616049272
SSP1-2.6,64,Mid-trophic species,0.00499247563060802,0.263823729561618,0.25883125393101
SSP5-8.5,64,Mid-trophic species,0.0178772077843224,0.486817806396635,0.468940598612313
SSP1-2.6,65,Mid-trophic species,0.00522596237914319,0.250247876794334,0.245021914415191
SSP5-8.5,65,Mid-trophic species,0.0251637400002271,0.4622471358407,0.437083395840473
SSP1-2.6,66,Mid-trophic species,-0.0035357142028813,0.211428206472342,0.214963920675224
SSP5-8.5,66,Mid-trophic species,0.00746124734490467,0.451566585940886,0.444105338595981
SSP1-2.6,67,Mid-trophic species,0.00320221132487173,0.219983728549993,0.216781517225121
SSP5-8.5,67,Mid-trophic species,0.00582938184342652,0.428946618097268,0.423117236253841
SSP1-2.6,68,Mid-trophic species,-0.0117964513468019,0.23145826555161,0.243254716898411
SSP5-8.5,68,Mid-trophic species,-0.00787686783452586,0.438447444251827,0.446324312086352
