species,scenario,run,latin,species_order,maintenance,base_mean,maintenance_index,scenario_x,point_x,species_label
DecapterusMaruadsi,Base,51,Decapterus maruadsi,10,0.407302270777778,0.411889757907778,98.8862342309014,1,1.12936072255671,bolditalic('Decapterus maruadsi')
DecapterusMaruadsi,Base,52,Decapterus maruadsi,10,0.410558343555556,0.411889757907778,99.6767546833442,1,1.12318762132525,bolditalic('Decapterus maruadsi')
DecapterusMaruadsi,Base,53,Decapterus maruadsi,10,0.417823968222222,0.411889757907778,101.440727816246,1,1.11385706152022,bolditalic('Decapterus maruadsi')
DecapterusMaruadsi,Base,54,Decapterus maruadsi,10,0.412560561111111,0.411889757907778,100.162859889195,1,1.14310121189058,bolditalic('Decapterus maruadsi')
DecapterusMaruadsi,Base,55,Decapterus maruadsi,10,0.405883407222222,0.411889757907778,98.5417576984518,1,1.14235099835694,bolditalic('Decapterus maruadsi')
DecapterusMaruadsi,Base,56,Decapterus maruadsi,10,0.408788811444444,0.411889757907778,99.2471416431704,1,1.13154196026921,bolditalic('Decapterus maruadsi')
DecapterusMaruadsi,Base,57,Decapterus maruadsi,10,0.418860526666667,0.411889757907778,101.692387010131,1,1.15654421004653,bolditalic('Decapterus maruadsi')
DecapterusMaruadsi,Base,58,Decapterus maruadsi,10,0.416330545555556,0.411889757907778,101.078149568549,1,1.11525295478106,bolditalic('Decapterus maruadsi')
DecapterusMaruadsi,Base,59,Decapterus maruadsi,10,0.409521139333333,0.411889757907778,99.4249387053283,1,1.1569386177808,bolditalic('Decapterus maruadsi')
DecapterusMaruadsi,Base,60,Decapterus maruadsi,10,0.411052924,0.411889757907778,99.7968306102029,1,1.15633069215715,bolditalic('Decapterus maruadsi')
DecapterusMaruadsi,Base,61,Decapterus maruadsi,10,0.411485900777778,0.411889757907778,99.9019501887954,1,1.14772067308426,bolditalic('Decapterus maruadsi')
DecapterusMaruadsi,Base,62,Decapterus maruadsi,10,0.411425872,0.411889757907778,99.8873761974238,1,1.12168527421355,bolditalic('Decapterus maruadsi')
DecapterusMaruadsi,Base,63,Decapterus maruadsi,10,0.414203257,0.411889757907778,100.561679198816,1,1.09959415529668,bolditalic('Decapterus maruadsi')
DecapterusMaruadsi,Base,64,Decapterus maruadsi,10,0.408222088,0.411889757907778,99.1095505927586,1,1.103811726138,bolditalic('Decapterus maruadsi')
DecapterusMaruadsi,Base,65,Decapterus maruadsi,10,0.419193573555556,0.411889757907778,101.77324526953,1,1.14931087143719,bolditalic('Decapterus maruadsi')
DecapterusMaruadsi,Base,66,Decapterus maruadsi,10,0.415233064888889,0.411889757907778,100.811699469803,1,1.11590433464944,bolditalic('Decapterus maruadsi')
DecapterusMaruadsi,Base,67,Decapterus maruadsi,10,0.409852028444444,0.411889757907778,99.5052730920806,1,1.13539668484032,bolditalic('Decapterus maruadsi')
DecapterusMaruadsi,Base,68,Decapterus maruadsi,10,0.407713366666667,0.411889757907778,98.9860414926739,1,1.1173542688489,bolditalic('Decapterus maruadsi')
DecapterusMaruadsi,Base,69,Decapterus maruadsi,10,0.425996886333333,0.411889757907778,103.424976745529,1,1.11614875608683,bolditalic('Decapterus maruadsi')
DecapterusMaruadsi,Base,70,Decapterus maruadsi,10,0.415467998,0.411889757907778,100.868737331658,1,1.10432045999169,bolditalic('Decapterus maruadsi')
DecapterusMaruadsi,Base,71,Decapterus maruadsi,10,0.407208917777778,0.411889757907778,98.8635696712207,1,1.14346984621882,bolditalic('Decapterus maruadsi')
DecapterusMaruadsi,Base,72,Decapterus maruadsi,10,0.407469218,0.411889757907778,98.9267662468151,1,1.11092730979621,bolditalic('Decapterus maruadsi')
DecapterusMaruadsi,Base,73,Decapterus maruadsi,10,0.408376350444444,0.411889757907778,99.1470029550673,1,1.10773524525762,bolditalic('Decapterus maruadsi')
DecapterusMaruadsi,Base,74,Decapterus maruadsi,10,0.423236062888889,0.411889757907778,102.75469461507,1,1.09434820477664,bolditalic('Decapterus maruadsi')
DecapterusMaruadsi,Base,75,Decapterus maruadsi,10,0.410774011222222,0.411889757907778,99.7291152149004,1,1.11307683548331,bolditalic('Decapterus maruadsi')
DecapterusMaruadsi,Base,76,Decapterus maruadsi,10,0.405002620444444,0.411889757907778,98.3279172809935,1,1.12735453765094,bolditalic('Decapterus maruadsi')
DecapterusMaruadsi,Base,77,Decapterus maruadsi,10,0.401938604777778,0.411889757907778,97.5840251089157,1,1.15432459114492,bolditalic('Decapterus maruadsi')
DecapterusMaruadsi,Base,78,Decapterus maruadsi,10,0.406737733666667,0.411889757907778,98.7491739859518,1,1.0950145419538,bolditalic('Decapterus maruadsi')
DecapterusMaruadsi,Base,79,Decapterus maruadsi,10,0.416342911555556,0.411889757907778,101.081151828197,1,1.11834724368155,bolditalic('Decapterus maruadsi')
DecapterusMaruadsi,Base,80,Decapterus maruadsi,10,0.410841305444444,0.411889757907778,99.7454531356498,1,1.11472567088902,bolditalic('Decapterus maruadsi')
DecapterusMaruadsi,Base,81,Decapterus maruadsi,10,0.410714747555556,0.411889757907778,99.7147269798136,1,1.14372390511632,bolditalic('Decapterus maruadsi')
DecapterusMaruadsi,Base,82,Decapterus maruadsi,10,0.404051382777778,0.411889757907778,98.0969725564881,1,1.1418685773313,bolditalic('Decapterus maruadsi')
DecapterusMaruadsi,Base,83,Decapterus maruadsi,10,0.417108159444445,0.411889757907778,101.266941320215,1,1.13037298928201,bolditalic('Decapterus maruadsi')
DecapterusMaruadsi,Base,84,Decapterus maruadsi,10,0.415995249444444,0.411889757907778,100.996745235308,1,1.12969535593689,bolditalic('Decapterus maruadsi')
DecapterusMaruadsi,Base,85,Decapterus maruadsi,10,0.417737414555556,0.411889757907778,101.419714021898,1,1.13489065800607,bolditalic('Decapterus maruadsi')
DecapterusMaruadsi,Base,86,Decapterus maruadsi,10,0.405108386666667,0.411889757907778,98.3535955650956,1,1.13889689871669,bolditalic('Decapterus maruadsi')
DecapterusMaruadsi,Base,87,Decapterus maruadsi,10,0.404269331666667,0.411889757907778,98.1498869309547,1,1.1007139018625,bolditalic('Decapterus maruadsi')
DecapterusMaruadsi,Base,88,Decapterus maruadsi,10,0.412800289222222,0.411889757907778,100.221061897501,1,1.11832422064245,bolditalic('Decapterus maruadsi')
DecapterusMaruadsi,Base,89,Decapterus maruadsi,10,0.408881157888889,0.411889757907778,99.2695618278611,1,1.10920870903134,bolditalic('Decapterus maruadsi')
DecapterusMaruadsi,Base,90,Decapterus maruadsi,10,0.409574501777778,0.411889757907778,99.4378942215606,1,1.14368599659204,bolditalic('Decapterus maruadsi')
DecapterusMaruadsi,Base,91,Decapterus maruadsi,10,0.413516324666667,0.411889757907778,100.394903424438,1,1.11472201509774,bolditalic('Decapterus maruadsi')
DecapterusMaruadsi,Base,92,Decapterus maruadsi,10,0.410803415666667,0.411889757907778,99.7362541261941,1,1.14634800086916,bolditalic('Decapterus maruadsi')
DecapterusMaruadsi,Base,93,Decapterus maruadsi,10,0.415662251111111,0.411889757907778,100.915898764392,1,1.13195984511077,bolditalic('Decapterus maruadsi')
DecapterusMaruadsi,Base,94,Decapterus maruadsi,10,0.410468578,0.411889757907778,99.654961095659,1,1.0966814186424,bolditalic('Decapterus maruadsi')
DecapterusMaruadsi,Base,95,Decapterus maruadsi,10,0.411381244333333,0.411889757907778,99.8765413403266,1,1.10624818313122,bolditalic('Decapterus maruadsi')
DecapterusMaruadsi,Base,96,Decapterus maruadsi,10,0.401845873111111,0.411889757907778,97.5615113986603,1,1.15594453218579,bolditalic('Decapterus maruadsi')
DecapterusMaruadsi,Base,97,Decapterus maruadsi,10,0.407077108222222,0.411889757907778,98.8315684978422,1,1.12326814959943,bolditalic('Decapterus maruadsi')
DecapterusMaruadsi,Base,98,Decapterus maruadsi,10,0.405842598111111,0.411889757907778,98.5318499232941,1,1.15182183933258,bolditalic('Decapterus maruadsi')
DecapterusMaruadsi,Base,99,Decapterus maruadsi,10,0.413819758888889,0.411889757907778,100.468572219643,1,1.14385936354101,bolditalic('Decapterus maruadsi')
DecapterusMaruadsi,Base,100,Decapterus maruadsi,10,0.40499641,0.411889757907778,98.3264094881133,1,1.13001963661611,bolditalic('Decapterus maruadsi')
DecapterusMaruadsi,SSP1-2.6,1,Decapterus maruadsi,10,0.452212927119342,0.411889757907778,109.789796526233,2,2.1494370021224,bolditalic('Decapterus maruadsi')
DecapterusMaruadsi,SSP1-2.6,2,Decapterus maruadsi,10,0.446229914444444,0.411889757907778,108.337220306496,2,2.13007636271417,bolditalic('Decapterus maruadsi')
DecapterusMaruadsi,SSP1-2.6,3,Decapterus maruadsi,10,0.443821167572016,0.411889757907778,107.7524165268,2,2.10793756245077,bolditalic('Decapterus maruadsi')
DecapterusMaruadsi,SSP1-2.6,4,Decapterus maruadsi,10,0.447058479465021,0.411889757907778,108.538382147661,2,2.11910467790067,bolditalic('Decapterus maruadsi')
DecapterusMaruadsi,SSP1-2.6,5,Decapterus maruadsi,10,0.450277135308642,0.411889757907778,109.319818389235,2,2.14121946804225,bolditalic('Decapterus maruadsi')
DecapterusMaruadsi,SSP1-2.6,6,Decapterus maruadsi,10,0.447099091769547,0.411889757907778,108.548242141445,2,2.15199880164862,bolditalic('Decapterus maruadsi')
DecapterusMaruadsi,SSP1-2.6,7,Decapterus maruadsi,10,0.444153193621399,0.411889757907778,107.833026943303,2,2.12013087540865,bolditalic('Decapterus maruadsi')
DecapterusMaruadsi,SSP1-2.6,8,Decapterus maruadsi,10,0.450256016872428,0.411889757907778,109.314691183275,2,2.15587595620751,bolditalic('Decapterus maruadsi')
DecapterusMaruadsi,SSP1-2.6,9,Decapterus maruadsi,10,0.451273516008231,0.411889757907778,109.561723093214,2,2.15400885595381,bolditalic('Decapterus maruadsi')
DecapterusMaruadsi,SSP1-2.6,10,Decapterus maruadsi,10,0.44714794218107,0.411889757907778,108.560102210938,2,2.12216381715238,bolditalic('Decapterus maruadsi')
DecapterusMaruadsi,SSP1-2.6,11,Decapterus maruadsi,10,0.448849601851852,0.411889757907778,108.973236948599,2,2.14026334708929,bolditalic('Decapterus maruadsi')
DecapterusMaruadsi,SSP1-2.6,12,Decapterus maruadsi,10,0.447382211481481,0.411889757907778,108.616978910568,2,2.14619681963325,bolditalic('Decapterus maruadsi')
DecapterusMaruadsi,SSP1-2.6,13,Decapterus maruadsi,10,0.453831268312757,0.411889757907778,110.182702919836,2,2.11502413412929,bolditalic('Decapterus maruadsi')
DecapterusMaruadsi,SSP1-2.6,14,Decapterus maruadsi,10,0.450493252222222,0.411889757907778,109.372287990489,2,2.11281817288697,bolditalic('Decapterus maruadsi')
DecapterusMaruadsi,SSP1-2.6,15,Decapterus maruadsi,10,0.445911571604938,0.411889757907778,108.259931946348,2,2.09998176452518,bolditalic('Decapterus maruadsi')
DecapterusMaruadsi,SSP1-2.6,16,Decapterus maruadsi,10,0.449238185432099,0.411889757907778,109.06757859531,2,2.12910935848951,bolditalic('Decapterus maruadsi')
DecapterusMaruadsi,SSP1-2.6,17,Decapterus maruadsi,10,0.448025421234568,0.411889757907778,108.773139567816,2,2.13904219567776,bolditalic('Decapterus maruadsi')
DecapterusMaruadsi,SSP1-2.6,18,Decapterus maruadsi,10,0.446644803744856,0.411889757907778,108.437948545654,2,2.15307881607115,bolditalic('Decapterus maruadsi')
DecapterusMaruadsi,SSP1-2.6,19,Decapterus maruadsi,10,0.448605819135803,0.411889757907778,108.914050549479,2,2.1566057896018,bolditalic('Decapterus maruadsi')
DecapterusMaruadsi,SSP1-2.6,20,Decapterus maruadsi,10,0.445339839300412,0.411889757907778,108.121124827805,2,2.11764671166241,bolditalic('Decapterus maruadsi')
DecapterusMaruadsi,SSP1-2.6,21,Decapterus maruadsi,10,0.447520906707819,0.411889757907778,108.65065181058,2,2.13795211967826,bolditalic('Decapterus maruadsi')
DecapterusMaruadsi,SSP1-2.6,22,Decapterus maruadsi,10,0.443730842304527,0.411889757907778,107.730487050343,2,2.13478851819038,bolditalic('Decapterus maruadsi')
DecapterusMaruadsi,SSP1-2.6,23,Decapterus maruadsi,10,0.455259963744856,0.411889757907778,110.5295664688,2,2.13192245092988,bolditalic('Decapterus maruadsi')
DecapterusMaruadsi,SSP1-2.6,24,Decapterus maruadsi,10,0.447493690946502,0.411889757907778,108.644044275239,2,2.13069434720278,bolditalic('Decapterus maruadsi')
DecapterusMaruadsi,SSP1-2.6,25,Decapterus maruadsi,10,0.450533673950617,0.411889757907778,109.38210171555,2,2.10987964138389,bolditalic('Decapterus maruadsi')
DecapterusMaruadsi,SSP1-2.6,26,Decapterus maruadsi,10,0.44008118473251,0.411889757907778,106.844410739401,2,2.13894963411987,bolditalic('Decapterus maruadsi')
DecapterusMaruadsi,SSP1-2.6,27,Decapterus maruadsi,10,0.449073098436214,0.411889757907778,109.02749821149,2,2.10542330893874,bolditalic('Decapterus maruadsi')
DecapterusMaruadsi,SSP1-2.6,28,Decapterus maruadsi,10,0.448033986090535,0.411889757907778,108.775218972755,2,2.11686644698679,bolditalic('Decapterus maruadsi')
DecapterusMaruadsi,SSP1-2.6,29,Decapterus maruadsi,10,0.455926928477366,0.411889757907778,110.691494440959,2,2.13146947570145,bolditalic('Decapterus maruadsi')
DecapterusMaruadsi,SSP1-2.6,30,Decapterus maruadsi,10,0.439061671316872,0.411889757907778,106.596889795735,2,2.13270968359709,bolditalic('Decapterus maruadsi')
DecapterusMaruadsi,SSP1-2.6,31,Decapterus maruadsi,10,0.445621562633745,0.411889757907778,108.189522579369,2,2.13024820321798,bolditalic('Decapterus maruadsi')
DecapterusMaruadsi,SSP1-2.6,32,Decapterus maruadsi,10,0.445860059218107,0.411889757907778,108.247425593412,2,2.14168599766493,bolditalic('Decapterus maruadsi')
DecapterusMaruadsi,SSP1-2.6,33,Decapterus maruadsi,10,0.443694556625514,0.411889757907778,107.721677489455,2,2.12906742353737,bolditalic('Decapterus maruadsi')
DecapterusMaruadsi,SSP1-2.6,34,Decapterus maruadsi,10,0.450485542304527,0.411889757907778,109.370416150379,2,2.09932285687327,bolditalic('Decapterus maruadsi')
DecapterusMaruadsi,SSP1-2.6,35,Decapterus maruadsi,10,0.448993141399177,0.411889757907778,109.008085969379,2,2.13140517865121,bolditalic('Decapterus maruadsi')
DecapterusMaruadsi,SSP1-2.6,36,Decapterus maruadsi,10,0.441264877037037,0.411889757907778,107.131791593574,2,2.13304238897562,bolditalic('Decapterus maruadsi')
DecapterusMaruadsi,SSP1-2.6,37,Decapterus maruadsi,10,0.457375217078189,0.411889757907778,111.04311488624,2,2.12896307101846,bolditalic('Decapterus maruadsi')
DecapterusMaruadsi,SSP1-2.6,38,Decapterus maruadsi,10,0.445978070288066,0.411889757907778,108.276076723403,2,2.14479714313149,bolditalic('Decapterus maruadsi')
DecapterusMaruadsi,SSP1-2.6,39,Decapterus maruadsi,10,0.446511894279835,0.411889757907778,108.405680332505,2,2.13063428647816,bolditalic('Decapterus maruadsi')
DecapterusMaruadsi,SSP1-2.6,40,Decapterus maruadsi,10,0.443568315843621,0.411889757907778,107.691028321937,2,2.09390505544841,bolditalic('Decapterus maruadsi')
DecapterusMaruadsi,SSP1-2.6,41,Decapterus maruadsi,10,0.45229379090535,0.411889757907778,109.809428911951,2,2.10201912687719,bolditalic('Decapterus maruadsi')
DecapterusMaruadsi,SSP1-2.6,42,Decapterus maruadsi,10,0.444036403827161,0.411889757907778,107.804672318796,2,2.12595484350622,bolditalic('Decapterus maruadsi')
DecapterusMaruadsi,SSP1-2.6,43,Decapterus maruadsi,10,0.442278781481481,0.411889757907778,107.377950772087,2,2.09852742788196,bolditalic('Decapterus maruadsi')
DecapterusMaruadsi,SSP1-2.6,44,Decapterus maruadsi,10,0.451581177942387,0.411889757907778,109.636418306739,2,2.11738855288923,bolditalic('Decapterus maruadsi')
