scenario,species,latin,group,species_order,mean,lo,hi,n_runs,metric,metric_label
Base,ScomberomorusNiphonius,Scomberomorus niphonius,Predator,2,1.06697425099333,1.03822378202083,1.10301234227917,100,maintenance_age_standardized,maintenance
SSP1-2.6,ScomberomorusNiphonius,Scomberomorus niphonius,Predator,2,1.19027660174938,1.17187714018827,1.21179097876698,100,maintenance_age_standardized,maintenance
SSP5-8.5,ScomberomorusNiphonius,Scomberomorus niphonius,Predator,2,1.41964173404136,1.39120920524228,1.44447367408951,100,maintenance_age_standardized,maintenance
Base,TrichiurusJaponicus,Trichiurus japonicus,Predator,3,0.682059486021191,0.644384462493452,0.73458025235881,100,maintenance_age_standardized,maintenance
SSP1-2.6,TrichiurusJaponicus,Trichiurus japonicus,Predator,3,0.865956163621975,0.824013420264551,0.900111813938272,100,maintenance_age_standardized,maintenance
SSP5-8.5,TrichiurusJaponicus,Trichiurus japonicus,Predator,3,0.952121321634644,0.91582413393448,0.994480310583848,100,maintenance_age_standardized,maintenance
Base,MuraenesoxCinereus,Muraenesox cinereus,Predator,4,0.0256333098057267,0.02450986874125,0.0271899033323333,100,maintenance_age_standardized,maintenance
SSP1-2.6,MuraenesoxCinereus,Muraenesox cinereus,Predator,4,0.0360274095862099,0.0347983194537037,0.0369306091062345,100,maintenance_age_standardized,maintenance
SSP5-8.5,MuraenesoxCinereus,Muraenesox cinereus,Predator,4,0.045118600314642,0.0437529943785494,0.0465343163211111,100,maintenance_age_standardized,maintenance
Base,MiichthysMiiuy,Miichthys miiuy,Predator,5,0.37506727196,0.342535707658333,0.4172810068875,100,maintenance_age_standardized,maintenance
SSP1-2.6,MiichthysMiiuy,Miichthys miiuy,Predator,5,0.603686220574074,0.565374769262346,0.639087648493827,100,maintenance_age_standardized,maintenance
SSP5-8.5,MiichthysMiiuy,Miichthys miiuy,Predator,5,0.751206384027222,0.709476039610339,0.806018931703703,100,maintenance_age_standardized,maintenance
Base,TodarodesPacificus,Todarodes pacificus,Invertebrate,6,0.536807548260333,0.416842244855,0.7044654088,100,maintenance_age_standardized,maintenance
SSP1-2.6,TodarodesPacificus,Todarodes pacificus,Invertebrate,6,0.847722851344815,0.709325317185185,0.984247061621605,100,maintenance_age_standardized,maintenance
