species,run,latin,group,species_order,scenario,ingestion,maintenance,ingestion_base,maintenance_base,ingestion_log2,maintenance_log2,burden_log2
DecapterusMaruadsi,11,Decapterus maruadsi,Mid-trophic species,10,SSP1-2.6,38.5938610617284,0.448849601851852,38.8535315333333,0.416984649,-0.00967435294884235,0.106237842489275,0.115912195438118
DecapterusMaruadsi,11,Decapterus maruadsi,Mid-trophic species,10,SSP5-8.5,38.7996143209877,0.50690516600823,38.8535315333333,0.416984649,-0.00200342449784861,0.281721594066867,0.283725018564716
DecapterusMaruadsi,12,Decapterus maruadsi,Mid-trophic species,10,SSP1-2.6,38.7305745390947,0.447382211481481,38.2242511666667,0.417836847777778,0.0189846641238256,0.0985681690802688,0.0795835049564432
DecapterusMaruadsi,12,Decapterus maruadsi,Mid-trophic species,10,SSP5-8.5,39.0899927366255,0.495817096584362,38.2242511666667,0.417836847777778,0.0323110778550747,0.246868293805046,0.214557215949971
DecapterusMaruadsi,13,Decapterus maruadsi,Mid-trophic species,10,SSP1-2.6,38.2968076049383,0.453831268312757,39.1169662333333,0.407247292444445,-0.0305703494437288,0.156250904895564,0.186821254339293
DecapterusMaruadsi,13,Decapterus maruadsi,Mid-trophic species,10,SSP5-8.5,38.6053355144033,0.497065451728395,39.1169662333333,0.407247292444445,-0.0189942332246212,0.287530725884373,0.306524959108995
DecapterusMaruadsi,14,Decapterus maruadsi,Mid-trophic species,10,SSP1-2.6,38.9079788271605,0.450493252222222,38.9789813,0.415714057,-0.00263034899974842,0.115913964353164,0.118544313352912
DecapterusMaruadsi,14,Decapterus maruadsi,Mid-trophic species,10,SSP5-8.5,38.5949376131687,0.494625886255144,38.9789813,0.415714057,-0.0142847610851101,0.25074621294306,0.26503097402817
DecapterusMaruadsi,15,Decapterus maruadsi,Mid-trophic species,10,SSP1-2.6,38.9550266131687,0.445911571604938,39.0196200333333,0.408992348,-0.00239022893388101,0.124683787253882,0.127074016187763
DecapterusMaruadsi,15,Decapterus maruadsi,Mid-trophic species,10,SSP5-8.5,38.4473459012346,0.506443694897119,39.0196200333333,0.408992348,-0.0213157198464106,0.308328031364833,0.329643751211243
DecapterusMaruadsi,16,Decapterus maruadsi,Mid-trophic species,10,SSP1-2.6,38.8055186255144,0.449238185432099,38.8343996,0.426300592,-0.00107332520539833,0.0756095038659282,0.0766828290713265
DecapterusMaruadsi,16,Decapterus maruadsi,Mid-trophic species,10,SSP5-8.5,38.6386864979424,0.496381560946502,38.8343996,0.426300592,-0.0072891099770238,0.219578466003405,0.226867575980429
DecapterusMaruadsi,17,Decapterus maruadsi,Mid-trophic species,10,SSP1-2.6,38.880573617284,0.448025421234568,38.7634068222222,0.417168867888889,0.00435413232405511,0.102949096299317,0.0985949639752618
DecapterusMaruadsi,17,Decapterus maruadsi,Mid-trophic species,10,SSP5-8.5,38.5571072345679,0.493707740082305,38.7634068222222,0.417168867888889,-0.0076985545668107,0.243025765348001,0.250724319914812
DecapterusMaruadsi,18,Decapterus maruadsi,Mid-trophic species,10,SSP1-2.6,38.673437090535,0.446644803744856,38.8409956555556,0.413812031333333,-0.00623719425585094,0.110152386468567,0.116389580724418
DecapterusMaruadsi,18,Decapterus maruadsi,Mid-trophic species,10,SSP5-8.5,38.7507010164609,0.493130570205761,38.8409956555556,0.413812031333333,-0.0033577738967541,0.252994100035231,0.256351873931985
DecapterusMaruadsi,19,Decapterus maruadsi,Mid-trophic species,10,SSP1-2.6,38.7423896872428,0.448605819135803,39.345975,0.411598490777778,-0.0223031147719711,0.124210642347877,0.146513757119849
DecapterusMaruadsi,19,Decapterus maruadsi,Mid-trophic species,10,SSP5-8.5,38.4726010288066,0.505090348888889,39.345975,0.411598490777778,-0.0323846893442624,0.295303783196677,0.327688472540939
DecapterusMaruadsi,20,Decapterus maruadsi,Mid-trophic species,10,SSP1-2.6,38.922697962963,0.445339839300412,39.2848123444445,0.393242880555556,-0.0133599536335907,0.179486031772321,0.192845985405912
DecapterusMaruadsi,20,Decapterus maruadsi,Mid-trophic species,10,SSP5-8.5,38.8547019176955,0.502025554938272,39.2848123444445,0.393242880555556,-0.0158824751488332,0.352340157820297,0.36822263296913
DecapterusMaruadsi,21,Decapterus maruadsi,Mid-trophic species,10,SSP1-2.6,38.6225818518519,0.447520906707819,38.7250606,0.391684659444444,-0.00382288751336541,0.192262456516143,0.196085344029508
DecapterusMaruadsi,21,Decapterus maruadsi,Mid-trophic species,10,SSP5-8.5,38.3061932510288,0.498529188353909,38.7250606,0.391684659444444,-0.0156898342676765,0.347985349945092,0.363675184212768
DecapterusMaruadsi,22,Decapterus maruadsi,Mid-trophic species,10,SSP1-2.6,39.0552103909465,0.443730842304527,38.4854154555556,0.410979937,0.0212032109703899,0.110616866831467,0.0894136558610772
DecapterusMaruadsi,22,Decapterus maruadsi,Mid-trophic species,10,SSP5-8.5,38.3170369423868,0.495845297860082,38.4854154555556,0.410979937,-0.00632581975051123,0.270822107690464,0.277147927440976
DecapterusMaruadsi,23,Decapterus maruadsi,Mid-trophic species,10,SSP1-2.6,38.9043599506173,0.455259963744856,38.5919866555556,0.418034947222222,0.0116305313512417,0.123067037204744,0.111436505853503
DecapterusMaruadsi,23,Decapterus maruadsi,Mid-trophic species,10,SSP5-8.5,38.3805261234568,0.509027316666667,38.5919866555556,0.418034947222222,-0.00792682523869435,0.284119524872282,0.292046350110977
DecapterusMaruadsi,24,Decapterus maruadsi,Mid-trophic species,10,SSP1-2.6,38.7559045720165,0.447493690946502,39.0117266333333,0.420564088333333,-0.00949172669349259,0.0895416778474736,0.0990334045409662
DecapterusMaruadsi,24,Decapterus maruadsi,Mid-trophic species,10,SSP5-8.5,38.2344665473251,0.49569263835391,39.0117266333333,0.420564088333333,-0.0290341069713057,0.237120168537988,0.266154275509294
DecapterusMaruadsi,25,Decapterus maruadsi,Mid-trophic species,10,SSP1-2.6,38.7868281954733,0.450533673950617,38.8696570444444,0.415096512222222,-0.00307757464425735,0.118188130509726,0.121265705153983
DecapterusMaruadsi,25,Decapterus maruadsi,Mid-trophic species,10,SSP5-8.5,38.6386133374486,0.504160752263375,38.8696570444444,0.415096512222222,-0.00860105885353268,0.280437002136638,0.289038060990171
DecapterusMaruadsi,26,Decapterus maruadsi,Mid-trophic species,10,SSP1-2.6,38.8417504650206,0.44008118473251,39.1204723222222,0.416058758888889,-0.0103155692582715,0.0809824011500575,0.091297970408329
DecapterusMaruadsi,26,Decapterus maruadsi,Mid-trophic species,10,SSP5-8.5,38.5248784197531,0.495900874115226,39.1204723222222,0.416058758888889,-0.0221333850565366,0.253264477567847,0.275397862624384
