species,latin,group,species_order,scenario,metric,estimate,lo,hi,pct,pct_lo,pct_hi
PennahiaArgentata,Pennahia argentata,Mid-trophic species,11,SSP1-2.6,ingestion_age_standardized,-0.0185626465140189,-0.0202796236178421,-0.0168425658647362,-1.83914216900144,-2.00753750754931,-1.6701522804763
PennahiaArgentata,Pennahia argentata,Mid-trophic species,11,SSP5-8.5,ingestion_age_standardized,-0.0315518041880612,-0.0332114816785478,-0.0299267417559121,-3.10592400357926,-3.26660354547954,-2.94833707115784
PampusArgenteus,Pampus argenteus,Mid-trophic species,12,SSP1-2.6,ingestion_age_standardized,-0.0104111025976054,-0.013297100329539,-0.00761646415153239,-1.03570946588512,-1.32090844415534,-0.758753238762455
PampusArgenteus,Pampus argenteus,Mid-trophic species,12,SSP5-8.5,ingestion_age_standardized,-0.0103436063680227,-0.0132858979980473,-0.00757816128712408,-1.02902952397782,-1.31980300206869,-0.754951941944237
LarimichthysPolyactis,Larimichthys polyactis,Mid-trophic species,13,SSP1-2.6,ingestion_age_standardized,-0.020139240762309,-0.0218307884944466,-0.0183673584587427,-1.99378008021303,-2.15942214402858,-1.81997065404838
LarimichthysPolyactis,Larimichthys polyactis,Mid-trophic species,13,SSP5-8.5,ingestion_age_standardized,-0.0264374749410682,-0.0280900848713645,-0.0246913797363498,-2.60910643545214,-2.76992267342073,-2.43890411172862
TrachurusJaponicus,Trachurus japonicus,Mid-trophic species,14,SSP1-2.6,ingestion_age_standardized,0.0350359162571583,0.029561856951877,0.0406811918811953,3.56569050513738,3.00031463564483,4.1520007576215
TrachurusJaponicus,Trachurus japonicus,Mid-trophic species,14,SSP5-8.5,ingestion_age_standardized,0.0476082643668178,0.0413601192308478,0.0540718324851656,4.87597382841691,4.22273640892392,5.55604229602726
EngraulisJaponicus,Engraulis japonicus,Prey,1,SSP1-2.6,maintenance_age_standardized,0.243252796163937,0.236661535141782,0.249826739326742,27.5390997321031,26.7012206086918,28.3802964851199
EngraulisJaponicus,Engraulis japonicus,Prey,1,SSP5-8.5,maintenance_age_standardized,0.449243878901282,0.442519496906592,0.456062579958058,56.7126799761399,55.662419187432,57.7849083406377
ScomberomorusNiphonius,Scomberomorus niphonius,Predator,2,SSP1-2.6,maintenance_age_standardized,0.109358878682689,0.105554103771782,0.112956332375326,11.5562630158373,11.1326229837049,11.9583042349041
ScomberomorusNiphonius,Scomberomorus niphonius,Predator,2,SSP5-8.5,maintenance_age_standardized,0.285577699933324,0.281739503150724,0.289318487570866,33.0530453494728,32.5433403786241,33.5517006369269
TrichiurusJaponicus,Trichiurus japonicus,Predator,3,SSP1-2.6,maintenance_age_standardized,0.238717410962332,0.230830253268863,0.245989491680507,26.9619705274609,25.9645400611378,27.888613452703
TrichiurusJaponicus,Trichiurus japonicus,Predator,3,SSP5-8.5,maintenance_age_standardized,0.333575588418861,0.325849473577168,0.341241879126647,39.595056024932,38.5206842947896,40.6693449498851
MuraenesoxCinereus,Muraenesox cinereus,Predator,4,SSP1-2.6,maintenance_age_standardized,0.340387356159047,0.334595494727274,0.345924634656865,40.5491911082083,39.7375025318928,41.3296098258465
MuraenesoxCinereus,Muraenesox cinereus,Predator,4,SSP5-8.5,maintenance_age_standardized,0.565401915322232,0.559824803569721,0.570896153080376,76.0155073870412,75.0365815589279,76.985239965005
MiichthysMiiuy,Miichthys miiuy,Predator,5,SSP1-2.6,maintenance_age_standardized,0.475949158810963,0.463631301521095,0.488370713861502,60.9541182890667,58.9836691996649,62.9658875139939
MiichthysMiiuy,Miichthys miiuy,Predator,5,SSP5-8.5,maintenance_age_standardized,0.694575024521793,0.681932188700644,0.707327629783356,100.285772763276,97.769532344672,102.856293745872
TodarodesPacificus,Todarodes pacificus,Invertebrate,6,SSP1-2.6,maintenance_age_standardized,0.456914108981831,0.424887662800151,0.488792578189187,57.9193239908948,52.9418599409801,63.0346515120847
TodarodesPacificus,Todarodes pacificus,Invertebrate,6,SSP5-8.5,maintenance_age_standardized,0.646494601654136,0.615529953287832,0.67735088421738,90.8837850529028,85.0637090938992,96.8655621618838
TrachysalambriaCurvirostris,Trachysalambria curvirostris,Invertebrate,7,SSP1-2.6,maintenance_age_standardized,0.362959093317457,0.340086794160032,0.38780990272695,43.7577051530325,40.5069537101653,47.3749601877554
TrachysalambriaCurvirostris,Trachysalambria curvirostris,Invertebrate,7,SSP5-8.5,maintenance_age_standardized,0.522988354633608,0.49768035600248,0.547097510746975,68.7061662781627,64.490125655029,72.8229563398218
PortunusTrituberculatus,Portunus trituberculatus,Invertebrate,8,SSP1-2.6,maintenance_age_standardized,0.330985414226454,0.312803322861518,0.34944954401759,39.2339483811677,36.7252597253499,41.8286629322251
PortunusTrituberculatus,Portunus trituberculatus,Invertebrate,8,SSP5-8.5,maintenance_age_standardized,0.437495522673697,0.418423157682923,0.456404140647115,54.8823364031022,51.9563553365357,57.8388106675872
ScomberJaponicus,Scomber japonicus,Mid-trophic species,9,SSP1-2.6,maintenance_age_standardized,0.159082582204754,0.152324728641105,0.165343720567827,17.2434764930749,16.4538333989948,17.9798570060837
ScomberJaponicus,Scomber japonicus,Mid-trophic species,9,SSP5-8.5,maintenance_age_standardized,0.3730134839738,0.366880855429229,0.379412021567579,45.2103919831976,44.3225956334073,46.1425050353559
DecapterusMaruadsi,Decapterus maruadsi,Mid-trophic species,10,SSP1-2.6,maintenance_age_standardized,0.0830332360148285,0.0797090192631603,0.0866043134968076,8.65779214680202,8.29718978621936,9.04651120141244
DecapterusMaruadsi,Decapterus maruadsi,Mid-trophic species,10,SSP5-8.5,maintenance_age_standardized,0.190954813456563,0.187366295626816,0.194501692603784,21.0404756838444,20.606898194289,21.4705538898496
PennahiaArgentata,Pennahia argentata,Mid-trophic species,11,SSP1-2.6,maintenance_age_standardized,0.234563875396786,0.228444888506601,0.240440841316713,26.4357231176318,25.6644267681212,27.1809693016815
PennahiaArgentata,Pennahia argentata,Mid-trophic species,11,SSP5-8.5,maintenance_age_standardized,0.384139860173216,0.378129042746727,0.390121296181319,46.8350791117539,45.9551275229618,47.7159956878496
PampusArgenteus,Pampus argenteus,Mid-trophic species,12,SSP1-2.6,maintenance_age_standardized,0.197819379765105,0.190341721301293,0.205089484169181,21.8742244430058,20.9662894615517,22.7634913938563
PampusArgenteus,Pampus argenteus,Mid-trophic species,12,SSP5-8.5,maintenance_age_standardized,0.34141549872697,0.33402714570948,0.348768830569462,40.6937700256076,39.6581054243511,41.7321511062127
LarimichthysPolyactis,Larimichthys polyactis,Mid-trophic species,13,SSP1-2.6,maintenance_age_standardized,0.207861694892244,0.19825330972543,0.217244569860414,23.1042898253749,21.9271207962092,24.2647979219484
LarimichthysPolyactis,Larimichthys polyactis,Mid-trophic species,13,SSP5-8.5,maintenance_age_standardized,0.364535994948414,0.355429502831969,0.374337520140462,43.9845757420402,42.6793334475913,45.402783132272
TrachurusJaponicus,Trachurus japonicus,Mid-trophic species,14,SSP1-2.6,maintenance_age_standardized,0.10226281862434,0.0940768318206796,0.110480529086798,10.7674550977438,9.86441535051308,11.6814603440209
TrachurusJaponicus,Trachurus japonicus,Mid-trophic species,14,SSP5-8.5,maintenance_age_standardized,0.27388564783535,0.265122228947756,0.282530886949287,31.506441317793,30.3590302511982,32.648274546931
EngraulisJaponicus,Engraulis japonicus,Prey,1,SSP1-2.6,mbi_age_standardized,0.190137602183908,0.179752307889018,0.199656228212695,20.9416004491488,19.6920858548272,22.0982946514813
EngraulisJaponicus,Engraulis japonicus,Prey,1,SSP5-8.5,mbi_age_standardized,0.362233313475306,0.351992181170713,0.372076873375593,43.6534065619644,42.1897406102033,45.0744500633556
ScomberomorusNiphonius,Scomberomorus niphonius,Predator,2,SSP1-2.6,mbi_age_standardized,0.117582115632438,0.113906441660051,0.121428772205393,12.4773987679023,12.0647274080764,12.9108939121275
ScomberomorusNiphonius,Scomberomorus niphonius,Predator,2,SSP5-8.5,mbi_age_standardized,0.298911504630843,0.295108322691232,0.302581447066549,34.8390291896194,34.3271857628391,35.3347898148817
TrichiurusJaponicus,Trichiurus japonicus,Predator,3,SSP1-2.6,mbi_age_standardized,0.230724535257608,0.223172937958933,0.238330782426931,25.9512240443577,25.0036733845644,26.9128928947622
