scenario,run,group,indicator,value
Base,34,Invertebrate,biomass,1597844.14433333
Base,35,Invertebrate,biomass,1605975.51233333
Base,36,Invertebrate,biomass,1598705.01033333
Base,37,Invertebrate,biomass,1603507.7692
Base,38,Invertebrate,biomass,1569581.701
Base,39,Invertebrate,biomass,1588509.64433333
Base,40,Invertebrate,biomass,1578898.81233333
Base,41,Invertebrate,biomass,1604417.4675
Base,42,Invertebrate,biomass,1595812.764
Base,43,Invertebrate,biomass,1486349.708
Base,44,Invertebrate,biomass,1523857.6478
Base,45,Invertebrate,biomass,1517818.01866667
Base,46,Invertebrate,biomass,1655269.879
Base,47,Invertebrate,biomass,1494082.97133333
Base,48,Invertebrate,biomass,1552085.058
Base,49,Invertebrate,biomass,1536467.38133333
Base,50,Invertebrate,biomass,1652189.25233333
Base,51,Invertebrate,biomass,1600607.08666667
Base,52,Invertebrate,biomass,1724632.29386667
Base,53,Invertebrate,biomass,1579249.4505
Base,54,Invertebrate,biomass,1624818.39233333
Base,55,Invertebrate,biomass,1691296.75166667
Base,56,Invertebrate,biomass,1577604.74833333
Base,57,Invertebrate,biomass,1561542.36433333
Base,58,Invertebrate,biomass,1577683.46683333
Base,59,Invertebrate,biomass,1575386.49086667
Base,60,Invertebrate,biomass,1538811.713
Base,61,Invertebrate,biomass,1571270.681
Base,62,Invertebrate,biomass,1561278.84433333
Base,63,Invertebrate,biomass,1601227.38333333
Base,64,Invertebrate,biomass,1665151.59233333
Base,65,Invertebrate,biomass,1706550.41533333
Base,66,Invertebrate,biomass,1506207.652
Base,67,Invertebrate,biomass,1607301.72833333
Base,68,Invertebrate,biomass,1554357.557
Base,69,Invertebrate,biomass,1549563.394
Base,70,Invertebrate,biomass,1605423.43533333
Base,71,Invertebrate,biomass,1554483.1822
Base,72,Invertebrate,biomass,1606736.49666667
Base,73,Invertebrate,biomass,1538283.41133333
Base,74,Invertebrate,biomass,1649383.58466667
Base,75,Invertebrate,biomass,1566673.1085
Base,76,Invertebrate,biomass,1598282.02453333
Base,77,Invertebrate,biomass,1623217.70733333
Base,78,Invertebrate,biomass,1520102.60266667
Base,79,Invertebrate,biomass,1597706.70633333
Base,80,Invertebrate,biomass,1554733.90766667
Base,81,Invertebrate,biomass,1664514.14966667
Base,82,Invertebrate,biomass,1534651.42733333
Base,83,Invertebrate,biomass,1634358.64333333
Base,84,Invertebrate,biomass,1603410.32266667
Base,85,Invertebrate,biomass,1594867.316
Base,86,Invertebrate,biomass,1579095.97086667
Base,87,Invertebrate,biomass,1526603.27233333
Base,88,Invertebrate,biomass,1563178.481
Base,89,Invertebrate,biomass,1596691.00833333
Base,90,Invertebrate,biomass,1524855.634
Base,91,Invertebrate,biomass,1471125.42983333
Base,92,Invertebrate,biomass,1513068.76966667
Base,93,Invertebrate,biomass,1522204.63933333
Base,94,Invertebrate,biomass,1616829.60733333
Base,95,Invertebrate,biomass,1604540.043
Base,96,Invertebrate,biomass,1592593.60366667
Base,97,Invertebrate,biomass,1624250.73833333
Base,98,Invertebrate,biomass,1580296.86666667
Base,99,Invertebrate,biomass,1570395.82433333
Base,100,Invertebrate,biomass,1563433.696
Base,1,Mid-trophic species,biomass,2519282.90155
Base,2,Mid-trophic species,biomass,2658235.33805
Base,3,Mid-trophic species,biomass,2528131.14297
Base,4,Mid-trophic species,biomass,2480454.27662333
Base,5,Mid-trophic species,biomass,2514864.89643333
Base,6,Mid-trophic species,biomass,2462668.34956333
Base,7,Mid-trophic species,biomass,2495053.25222333
Base,8,Mid-trophic species,biomass,2413635.14813333
Base,9,Mid-trophic species,biomass,2435086.26676
Base,10,Mid-trophic species,biomass,2467714.75887333
Base,11,Mid-trophic species,biomass,2457461.61707
