scenario,run,indicator,value
SSP1-2.6,82,yield,102080.673956631
SSP1-2.6,83,yield,102697.301650617
SSP1-2.6,84,yield,103188.702708677
SSP1-2.6,85,yield,102898.594708598
SSP1-2.6,86,yield,102759.058521429
SSP1-2.6,87,yield,103580.735966931
SSP1-2.6,88,yield,103157.811284206
SSP1-2.6,89,yield,103185.515134674
SSP1-2.6,90,yield,102063.285317751
SSP1-2.6,91,yield,101376.605576993
SSP1-2.6,92,yield,103941.616616226
SSP1-2.6,93,yield,103040.228703192
SSP1-2.6,94,yield,102669.506270476
SSP1-2.6,95,yield,102614.720105079
SSP1-2.6,96,yield,104624.604733369
SSP1-2.6,97,yield,102922.745921226
SSP1-2.6,98,yield,102865.962269868
SSP1-2.6,99,yield,102726.187236649
SSP1-2.6,100,yield,102960.975731702
SSP5-8.5,1,yield,104131.372529559
SSP5-8.5,2,yield,104040.962277549
SSP5-8.5,3,yield,103190.336720556
SSP5-8.5,4,yield,105426.809056711
SSP5-8.5,5,yield,104523.146880538
SSP5-8.5,6,yield,104073.102836217
SSP5-8.5,7,yield,104693.925289744
SSP5-8.5,8,yield,104739.072050608
SSP5-8.5,9,yield,104620.835959559
SSP5-8.5,10,yield,104750.62572448
SSP5-8.5,11,yield,104510.947881896
SSP5-8.5,12,yield,104593.717898871
SSP5-8.5,13,yield,105878.497027619
SSP5-8.5,14,yield,103929.171360485
SSP5-8.5,15,yield,104416.338924771
SSP5-8.5,16,yield,104959.194512619
SSP5-8.5,17,yield,104580.663701332
SSP5-8.5,18,yield,103650.821083148
SSP5-8.5,19,yield,104599.86441642
SSP5-8.5,20,yield,104251.40852351
SSP5-8.5,21,yield,104077.745357055
SSP5-8.5,22,yield,104791.503162681
SSP5-8.5,23,yield,105362.130587725
SSP5-8.5,24,yield,102792.024089674
SSP5-8.5,25,yield,104803.171606975
SSP5-8.5,26,yield,103871.130269568
SSP5-8.5,27,yield,104186.941233122
SSP5-8.5,28,yield,104276.525315926
SSP5-8.5,29,yield,104612.64720784
SSP5-8.5,30,yield,105614.220612795
SSP5-8.5,31,yield,103622.303797266
SSP5-8.5,32,yield,104839.955861772
SSP5-8.5,33,yield,103899.724902945
SSP5-8.5,34,yield,103437.757992108
SSP5-8.5,35,yield,103419.277858263
SSP5-8.5,36,yield,104166.572349065
SSP5-8.5,37,yield,105033.595120996
SSP5-8.5,38,yield,104561.449609259
SSP5-8.5,39,yield,104578.936419131
SSP5-8.5,40,yield,103827.632950467
SSP5-8.5,41,yield,103670.005563104
SSP5-8.5,42,yield,104300.564892143
SSP5-8.5,43,yield,105668.503718272
SSP5-8.5,44,yield,104699.774770511
SSP5-8.5,45,yield,104107.844100062
SSP5-8.5,46,yield,103574.40419918
SSP5-8.5,47,yield,104975.45358634
SSP5-8.5,48,yield,104403.950354224
SSP5-8.5,49,yield,104441.58620575
SSP5-8.5,50,yield,104000.423998254
SSP5-8.5,51,yield,105000.385817522
SSP5-8.5,52,yield,103795.075248236
SSP5-8.5,53,yield,104925.239587742
SSP5-8.5,54,yield,103406.701486795
SSP5-8.5,55,yield,104472.781705185
SSP5-8.5,56,yield,103202.775800556
SSP5-8.5,57,yield,104556.959584832
SSP5-8.5,58,yield,104160.041240291
SSP5-8.5,59,yield,104562.310374312
SSP5-8.5,60,yield,103576.004797804
SSP5-8.5,61,yield,104134.416507769
SSP5-8.5,62,yield,103740.111219136
SSP5-8.5,63,yield,104303.374792928
SSP5-8.5,64,yield,103689.156378739
SSP5-8.5,65,yield,104815.236235794
SSP5-8.5,66,yield,103960.993737372
SSP5-8.5,67,yield,103254.603410529
SSP5-8.5,68,yield,104748.240450203
SSP5-8.5,69,yield,104352.552475732
SSP5-8.5,70,yield,103631.602898148
SSP5-8.5,71,yield,104198.423504568
SSP5-8.5,72,yield,106124.268187892
SSP5-8.5,73,yield,103714.528754727
SSP5-8.5,74,yield,104456.258253042
SSP5-8.5,75,yield,103874.156925168
SSP5-8.5,76,yield,104913.40144557
