scenario,run,group,age_mature
SSP1-2.6,30,Prey,0.681406981975309
SSP1-2.6,31,Prey,0.669944409012346
SSP1-2.6,32,Prey,0.682882028024691
SSP1-2.6,33,Prey,0.689846810246914
SSP1-2.6,34,Prey,0.670147279382716
SSP1-2.6,35,Prey,0.689581794320988
SSP1-2.6,36,Prey,0.687143464444444
SSP1-2.6,37,Prey,0.682185316666667
SSP1-2.6,38,Prey,0.68046183345679
SSP1-2.6,39,Prey,0.688244452839506
SSP1-2.6,40,Prey,0.668409167407407
SSP1-2.6,41,Prey,0.671924178641975
SSP1-2.6,42,Prey,0.68099810691358
SSP1-2.6,43,Prey,0.659240517654321
SSP1-2.6,44,Prey,0.671622735308642
SSP1-2.6,45,Prey,0.667833949012346
SSP1-2.6,46,Prey,0.683863088765432
SSP1-2.6,47,Prey,0.667377799382716
SSP1-2.6,48,Prey,0.673899567901235
SSP1-2.6,49,Prey,0.677695816049383
SSP1-2.6,50,Prey,0.691019651234568
SSP1-2.6,51,Prey,0.68389685617284
SSP1-2.6,52,Prey,0.667909241481481
SSP1-2.6,53,Prey,0.678083579876543
SSP1-2.6,54,Prey,0.681765272469136
SSP1-2.6,55,Prey,0.688077245308642
SSP1-2.6,56,Prey,0.676913844320988
SSP1-2.6,57,Prey,0.676094173827161
SSP1-2.6,58,Prey,0.677816210246914
SSP1-2.6,59,Prey,0.662716854320988
SSP1-2.6,60,Prey,0.678735395061728
SSP1-2.6,61,Prey,0.665548438395062
SSP1-2.6,62,Prey,0.666439425061728
SSP1-2.6,63,Prey,0.676466057160494
SSP1-2.6,64,Prey,0.671221901975309
SSP1-2.6,65,Prey,0.683520022839506
SSP1-2.6,66,Prey,0.671376738888889
SSP1-2.6,67,Prey,0.684365178888889
SSP1-2.6,68,Prey,0.686354936790124
SSP1-2.6,69,Prey,0.685766265802469
SSP1-2.6,70,Prey,0.67731407691358
SSP1-2.6,71,Prey,0.667005832098765
SSP1-2.6,72,Prey,0.674969012839506
SSP1-2.6,73,Prey,0.685813657901235
SSP1-2.6,74,Prey,0.684689960617284
SSP1-2.6,75,Prey,0.68443742962963
SSP1-2.6,76,Prey,0.681746807777778
SSP1-2.6,77,Prey,0.686492031234568
SSP1-2.6,78,Prey,0.675570363950617
SSP1-2.6,79,Prey,0.673407011728395
SSP1-2.6,80,Prey,0.670911598888889
SSP1-2.6,81,Prey,0.669826249382716
SSP1-2.6,82,Prey,0.674035635432099
SSP1-2.6,83,Prey,0.673842128395062
SSP1-2.6,84,Prey,0.663999278271605
SSP1-2.6,85,Prey,0.668711613950617
SSP1-2.6,86,Prey,0.674235936666667
SSP1-2.6,87,Prey,0.669680612098765
SSP1-2.6,88,Prey,0.682779854938272
SSP1-2.6,89,Prey,0.666902746049383
SSP1-2.6,90,Prey,0.665230497654321
SSP1-2.6,91,Prey,0.67115182
SSP1-2.6,92,Prey,0.667429710740741
SSP1-2.6,93,Prey,0.682087596790123
SSP1-2.6,94,Prey,0.67670736037037
SSP1-2.6,95,Prey,0.663669452962963
SSP1-2.6,96,Prey,0.692612196296296
SSP1-2.6,97,Prey,0.664207057407407
SSP1-2.6,98,Prey,0.683445028765432
SSP1-2.6,99,Prey,0.683433890864198
SSP1-2.6,100,Prey,0.679604321358025
SSP1-2.6,1,Predator,0.739496289314723
SSP1-2.6,2,Predator,0.751165512634145
SSP1-2.6,3,Predator,0.759793883445651
SSP1-2.6,4,Predator,0.752229550406443
SSP1-2.6,5,Predator,0.749616842785365
SSP1-2.6,6,Predator,0.753524155090837
SSP1-2.6,7,Predator,0.752388201765218
SSP1-2.6,8,Predator,0.745099583300917
SSP1-2.6,9,Predator,0.757483160506332
SSP1-2.6,10,Predator,0.738184085804839
SSP1-2.6,11,Predator,0.750973581822358
SSP1-2.6,12,Predator,0.752536478934182
SSP1-2.6,13,Predator,0.75487500579142
SSP1-2.6,14,Predator,0.752173509267506
SSP1-2.6,15,Predator,0.744812182318562
SSP1-2.6,16,Predator,0.752543691995706
SSP1-2.6,17,Predator,0.753329948143043
SSP1-2.6,18,Predator,0.747977982514688
SSP1-2.6,19,Predator,0.741667843081514
SSP1-2.6,20,Predator,0.755266251821515
SSP1-2.6,21,Predator,0.751168275854391
SSP1-2.6,22,Predator,0.754547781923366
SSP1-2.6,23,Predator,0.746777260487751
SSP1-2.6,24,Predator,0.751043742236416
SSP1-2.6,25,Predator,0.755032422874601
SSP1-2.6,26,Predator,0.753357845972043
SSP1-2.6,27,Predator,0.749970187221071
SSP1-2.6,28,Predator,0.756369638976172
SSP1-2.6,29,Predator,0.753960623248968
SSP1-2.6,30,Predator,0.751680673191757
SSP1-2.6,31,Predator,0.762410377063498
