run,species,scenario,age_future,latin,group,species_order,age_base,log2_response,paired_change_years
54,DecapterusMaruadsi,SSP5-8.5,0.532922819012346,Decapterus maruadsi,Mid-trophic species,10,0.536883650666667,-0.0106828635970414,-0.00396083165432104
54,EngraulisJaponicus,SSP1-2.6,0.681765272469136,Engraulis japonicus,Prey,1,0.692127992,-0.0217637395621856,-0.010362719530864
54,EngraulisJaponicus,SSP5-8.5,0.647581583703704,Engraulis japonicus,Prey,1,0.692127992,-0.0959768953600639,-0.044546408296296
54,LarimichthysPolyactis,SSP1-2.6,0.85848879962963,Larimichthys polyactis,Mid-trophic species,13,0.865066110333333,-0.0110110789540077,-0.00657731070370304
54,LarimichthysPolyactis,SSP5-8.5,0.849863395061728,Larimichthys polyactis,Mid-trophic species,13,0.865066110333333,-0.0255794263655904,-0.015202715271605
54,MiichthysMiiuy,SSP1-2.6,0.587601177283951,Miichthys miiuy,Predator,5,0.581860718666667,0.0141634331557488,0.00574045861728401
54,MiichthysMiiuy,SSP5-8.5,0.573928941481482,Miichthys miiuy,Predator,5,0.581860718666667,-0.0198017263034294,-0.00793177718518501
54,MuraenesoxCinereus,SSP1-2.6,0.698457670740741,Muraenesox cinereus,Predator,4,0.683551422333333,0.0311228120928611,0.0149062484074081
54,MuraenesoxCinereus,SSP5-8.5,0.697182675802469,Muraenesox cinereus,Predator,4,0.683551422333333,0.0284868473317693,0.013631253469136
54,PampusArgenteus,SSP1-2.6,0.435416130864198,Pampus argenteus,Mid-trophic species,12,0.436546001,-0.00373882969114389,-0.00112987013580201
54,PampusArgenteus,SSP5-8.5,0.434993469506173,Pampus argenteus,Mid-trophic species,12,0.436546001,-0.00513994358709817,-0.001552531493827
54,PennahiaArgentata,SSP1-2.6,0.601569236419753,Pennahia argentata,Mid-trophic species,11,0.581975121,0.0477733107649061,0.019594115419753
54,PennahiaArgentata,SSP5-8.5,0.61344312308642,Pennahia argentata,Mid-trophic species,11,0.581975121,0.0759721066888542,0.03146800208642
54,PortunusTrituberculatus,SSP1-2.6,1.00258707444444,Portunus trituberculatus,Invertebrate,8,0.991170582333333,0.0165222653964179,0.0114164921111071
54,PortunusTrituberculatus,SSP5-8.5,0.977873707777778,Portunus trituberculatus,Invertebrate,8,0.991170582333333,-0.0194852159367879,-0.013296874555555
54,ScomberJaponicus,SSP1-2.6,0.787750247654321,Scomber japonicus,Mid-trophic species,9,0.7938642,-0.0111539353710161,-0.00611395234567902
54,ScomberJaponicus,SSP5-8.5,0.789212258395062,Scomber japonicus,Mid-trophic species,9,0.7938642,-0.00847887335576074,-0.00465194160493798
54,ScomberomorusNiphonius,SSP1-2.6,0.665972669876543,Scomberomorus niphonius,Predator,2,0.661096932666667,0.0106011523903372,0.004875737209876
54,ScomberomorusNiphonius,SSP5-8.5,0.670344650987654,Scomberomorus niphonius,Predator,2,0.661096932666667,0.0200412125826308,0.00924771832098692
54,TodarodesPacificus,SSP1-2.6,1.03162793296296,Todarodes pacificus,Invertebrate,6,0.991125345,0.0577833141384406,0.04050258796296
54,TodarodesPacificus,SSP5-8.5,1.01925689382716,Todarodes pacificus,Invertebrate,6,0.991125345,0.0403782867578265,0.02813154882716
54,TrachurusJaponicus,SSP1-2.6,0.464684363209877,Trachurus japonicus,Mid-trophic species,14,0.476233181333333,-0.0354170447636698,-0.011548818123456
54,TrachurusJaponicus,SSP5-8.5,0.463974769135803,Trachurus japonicus,Mid-trophic species,14,0.476233181333333,-0.0376217892501905,-0.01225841219753
54,TrachysalambriaCurvirostris,SSP1-2.6,0.841091031481481,Trachysalambria curvirostris,Invertebrate,7,0.871738617,-0.0516336685260594,-0.030647585518519
54,TrachysalambriaCurvirostris,SSP5-8.5,0.855853659135802,Trachysalambria curvirostris,Invertebrate,7,0.871738617,-0.02653148677585,-0.015884957864198
54,TrichiurusJaponicus,SSP1-2.6,1.14438835506173,Trichiurus japonicus,Predator,3,1.187733055,-0.0536339020015623,-0.0433446999382701
54,TrichiurusJaponicus,SSP5-8.5,1.16457160938272,Trichiurus japonicus,Predator,3,1.187733055,-0.0284112709972528,-0.02316144561728
55,DecapterusMaruadsi,SSP1-2.6,0.534389719506173,Decapterus maruadsi,Mid-trophic species,10,0.533595798,0.00214494824512656,0.000793921506172968
55,DecapterusMaruadsi,SSP5-8.5,0.533704391234568,Decapterus maruadsi,Mid-trophic species,10,0.533595798,0.000293576114960249,0.000108593234568022
55,EngraulisJaponicus,SSP1-2.6,0.688077245308642,Engraulis japonicus,Prey,1,0.706781287,-0.0386933084248427,-0.018704041691358
55,EngraulisJaponicus,SSP5-8.5,0.663882736666667,Engraulis japonicus,Prey,1,0.706781287,-0.0903354059733107,-0.042898550333333
55,LarimichthysPolyactis,SSP1-2.6,0.884170961234568,Larimichthys polyactis,Mid-trophic species,13,0.863281181,0.034494813769451,0.020889780234568
55,LarimichthysPolyactis,SSP5-8.5,0.862069622098766,Larimichthys polyactis,Mid-trophic species,13,0.863281181,-0.00202615062712294,-0.00121155890123392
