run,group,scenario,age_future,age_base,log2_response,paired_change_years
22,Invertebrate,SSP5-8.5,0.950908858814042,0.918878802046878,0.0494324846142637,0.0320300567671641
22,Mid-trophic species,SSP1-2.6,0.596440755194319,0.595940252941849,0.00121114334272644,0.000500502252469448
22,Mid-trophic species,SSP5-8.5,0.597931772440633,0.595940252941849,0.0048131757987662,0.0019915194987834
23,Prey,SSP1-2.6,0.671792187407407,0.693678654,-0.0462524725232749,-0.021886466592593
23,Prey,SSP5-8.5,0.653491422222222,0.693678654,-0.0860991911818364,-0.0401872317777779
23,Predator,SSP1-2.6,0.746777260487751,0.758705684834278,-0.0228623497069596,-0.0119284243465271
23,Predator,SSP5-8.5,0.752013632059589,0.758705684834278,-0.0127815331316665,-0.00669205277468887
23,Invertebrate,SSP1-2.6,0.96854537742268,0.934259869205151,0.0519957434422488,0.0342855082175289
23,Invertebrate,SSP5-8.5,0.951928926605105,0.934259869205151,0.02702996350474,0.0176690573999538
23,Mid-trophic species,SSP1-2.6,0.598268712774755,0.598628034343831,-0.000866225867203539,-0.000359321569075255
23,Mid-trophic species,SSP5-8.5,0.598610344936551,0.598628034343831,-4.26321451132609e-05,-1.76894072795308e-05
24,Prey,SSP1-2.6,0.685402069753086,0.722670903333333,-0.0763882602359646,-0.0372688335802469
24,Prey,SSP5-8.5,0.648844110493827,0.722670903333333,-0.155466906796069,-0.073826792839506
24,Predator,SSP1-2.6,0.751043742236416,0.740658719868064,0.020088003755977,0.0103850223683518
24,Predator,SSP5-8.5,0.747154029538182,0.740658719868064,0.0125967606976604,0.00649530967011813
24,Invertebrate,SSP1-2.6,0.940056807013134,0.968007065054617,-0.0422696365953184,-0.0279502580414832
24,Invertebrate,SSP5-8.5,0.944235621382923,0.968007065054617,-0.0358706673473565,-0.0237714436716939
24,Mid-trophic species,SSP1-2.6,0.595838441227967,0.593959462160215,0.0045567335912134,0.00187897906775214
24,Mid-trophic species,SSP5-8.5,0.595671706554639,0.593959462160215,0.00415296483041537,0.00171224439442441
25,Prey,SSP1-2.6,0.671999055679012,0.762331546,-0.181959371761783,-0.090332490320988
25,Prey,SSP5-8.5,0.668027013703704,0.762331546,-0.190512133792237,-0.094304532296296
25,Predator,SSP1-2.6,0.755032422874601,0.738789386794853,0.0313754573115553,0.0162430360797483
25,Predator,SSP5-8.5,0.750807390951285,0.738789386794853,0.0232797109479248,0.0120180041564323
25,Invertebrate,SSP1-2.6,0.96257520519772,0.956860146776468,0.00859118365147021,0.00571505842125164
25,Invertebrate,SSP5-8.5,0.947960685490868,0.956860146776468,-0.0134808501316793,-0.00889946128559982
25,Mid-trophic species,SSP1-2.6,0.596418231579824,0.598763870215983,-0.00566281166328834,-0.00234563863615944
25,Mid-trophic species,SSP5-8.5,0.595388073247745,0.598763870215983,-0.00815684895966785,-0.00337579696823809
26,Prey,SSP1-2.6,0.678275472469136,0.703331996333333,-0.0523345270247887,-0.025056523864197
26,Prey,SSP5-8.5,0.665848146296296,0.703331996333333,-0.079012657643245,-0.037483850037037
26,Predator,SSP1-2.6,0.753357845972043,0.746486710168076,0.0132187337146842,0.00687113580396714
26,Predator,SSP5-8.5,0.755837827771811,0.746486710168076,0.0179601476037582,0.00935111760373541
26,Invertebrate,SSP1-2.6,0.966266967066444,0.982872759801251,-0.0245828189198489,-0.0166057927348074
26,Invertebrate,SSP5-8.5,0.941776502854357,0.982872759801251,-0.0616199329184278,-0.0410962569468947
26,Mid-trophic species,SSP1-2.6,0.595280501345121,0.600063685896854,-0.0115459857301212,-0.00478318455173266
26,Mid-trophic species,SSP5-8.5,0.595348640321034,0.600063685896854,-0.0113808566243252,-0.00471504557581914
27,Prey,SSP1-2.6,0.686910165061728,0.705451172666667,-0.0384247971152582,-0.018541007604939
27,Prey,SSP5-8.5,0.659156926419753,0.705451172666667,-0.0979242605323227,-0.046294246246914
27,Predator,SSP1-2.6,0.749970187221071,0.761618280508184,-0.0222348601005033,-0.011648093287113
27,Predator,SSP5-8.5,0.74819052657257,0.761618280508184,-0.0256624079945155,-0.0134277539356137
27,Invertebrate,SSP1-2.6,0.972752344058429,0.962867650566579,0.014735043333892,0.00988469349185051
27,Invertebrate,SSP5-8.5,0.93672836930535,0.962867650566579,-0.0397067497661056,-0.0261392812612282
27,Mid-trophic species,SSP1-2.6,0.597794180065172,0.601120790744076,-0.00800606742378527,-0.00332661067890405
27,Mid-trophic species,SSP5-8.5,0.596140785099168,0.601120790744076,-0.0120018399114269,-0.00498000564490864
28,Prey,SSP1-2.6,0.68477062691358,0.689821165,-0.0106015750748944,-0.00505053808641998
28,Prey,SSP5-8.5,0.660869953703704,0.689821165,-0.0618559885908085,-0.028951211296296
28,Predator,SSP1-2.6,0.756369638976172,0.756571880313098,-0.000385702384216349,-0.000202241336926812
28,Predator,SSP5-8.5,0.739266359755865,0.756571880313098,-0.0333828912613595,-0.0173055205572332
28,Invertebrate,SSP1-2.6,0.951973614113145,0.951667539977747,0.000463923192812753,0.000306074135397849
28,Invertebrate,SSP5-8.5,0.957588959883141,0.951667539977747,0.00894885577077964,0.00592141990539419
28,Mid-trophic species,SSP1-2.6,0.596660204724948,0.596283787648371,0.000910445203093093,0.000376417076577873
28,Mid-trophic species,SSP5-8.5,0.597629132753997,0.596283787648371,0.00325136532238915,0.00134534510562589
29,Prey,SSP1-2.6,0.681672135432099,0.721511368333333,-0.0819441148909778,-0.0398392329012339
29,Prey,SSP5-8.5,0.663474895925926,0.721511368333333,-0.120980247402358,-0.058036472407407
29,Predator,SSP1-2.6,0.753960623248968,0.778040654771777,-0.0453563634810273,-0.024080031522809
29,Predator,SSP5-8.5,0.748827642492455,0.778040654771777,-0.055211849912087,-0.0292130122793223
29,Invertebrate,SSP1-2.6,0.948201254821985,0.935666388480167,0.0191990732026538,0.0125348663418178
29,Invertebrate,SSP5-8.5,0.953173813905934,0.935666388480167,0.0267450885094305,0.0175074254257672
29,Mid-trophic species,SSP1-2.6,0.596441837755011,0.600426930947618,-0.00960722776441726,-0.0039850931926072
29,Mid-trophic species,SSP5-8.5,0.593844239569613,0.600426930947618,-0.0159041139349147,-0.0065826913780046
30,Prey,SSP1-2.6,0.681406981975309,0.701561912333333,-0.0420536963064254,-0.020154930358024
30,Prey,SSP5-8.5,0.668158526296296,0.701561912333333,-0.0703799912741675,-0.033403386037037
30,Predator,SSP1-2.6,0.751680673191757,0.773556386557896,-0.0413865468249596,-0.021875713366139
30,Predator,SSP5-8.5,0.746061074908861,0.773556386557896,-0.0522127184662558,-0.0274953116490347
30,Invertebrate,SSP1-2.6,0.968272480420257,0.969616993062957,-0.00200189129443514,-0.00134451264269986
30,Invertebrate,SSP5-8.5,0.963138708065864,0.969616993062957,-0.00967139782278041,-0.00647828499709346
30,Mid-trophic species,SSP1-2.6,0.597342893616194,0.599134221547082,-0.00431991856876089,-0.00179132793088843
30,Mid-trophic species,SSP5-8.5,0.600041842562677,0.599134221547082,0.00218386711915047,0.00090762101559505
31,Prey,SSP1-2.6,0.669944409012346,0.697257506,-0.0576501721421712,-0.0273130969876541
31,Prey,SSP5-8.5,0.656181789135803,0.697257506,-0.0875960043727446,-0.041075716864197
31,Predator,SSP1-2.6,0.762410377063498,0.74400105563843,0.035263087379703,0.0184093214250683
31,Predator,SSP5-8.5,0.749995475924445,0.74400105563843,0.0115772247735298,0.0059944202860156
31,Invertebrate,SSP1-2.6,0.945009632245641,0.970192278556932,-0.0379416632038227,-0.0251826463112907
31,Invertebrate,SSP5-8.5,0.935392928355981,0.970192278556932,-0.052698175730146,-0.0347993502009503
31,Mid-trophic species,SSP1-2.6,0.596535404993823,0.596292135279019,0.000588457265050669,0.000243269714804595
31,Mid-trophic species,SSP5-8.5,0.595918268306183,0.596292135279019,-0.000904833649699015,-0.000373866972835479
32,Prey,SSP1-2.6,0.682882028024691,0.704840714666667,-0.0456608972080007,-0.021958686641976
32,Prey,SSP5-8.5,0.652908518395062,0.704840714666667,-0.110416398807236,-0.051932196271605
32,Predator,SSP1-2.6,0.743540124375142,0.76262647760486,-0.0365660228908567,-0.0190863532297183
32,Predator,SSP5-8.5,0.74547715521335,0.76262647760486,-0.0328124783228644,-0.0171493223915098
32,Invertebrate,SSP1-2.6,0.9629774295633,0.998821990024353,-0.0527255996097896,-0.0358445604610536
32,Invertebrate,SSP5-8.5,0.956825142677575,0.998821990024353,-0.0619722839230971,-0.0419968473467782
32,Mid-trophic species,SSP1-2.6,0.598602848315126,0.597447717674562,0.00278667443041075,0.00115513064056372
32,Mid-trophic species,SSP5-8.5,0.595979899245359,0.597447717674562,-0.00354879576521584,-0.00146781842920296
33,Prey,SSP1-2.6,0.689846810246914,0.714033769666667,-0.0497162793587462,-0.024186959419753
33,Prey,SSP5-8.5,0.660509478888889,0.714033769666667,-0.112413041440746,-0.053524290777778
33,Predator,SSP1-2.6,0.746123125323002,0.771100829070059,-0.0475057953136509,-0.0249777037470562
33,Predator,SSP5-8.5,0.744547354042564,0.771100829070059,-0.0505559103995959,-0.0265534750274951
33,Invertebrate,SSP1-2.6,0.957563160515574,0.962077749262749,-0.00678583871805192,-0.00451458874717514
33,Invertebrate,SSP5-8.5,0.933044978299039,0.962077749262749,-0.044206859324342,-0.0290327709637099
33,Mid-trophic species,SSP1-2.6,0.597535197285324,0.597498434766401,8.87625290785789e-05,3.67625189229281e-05
33,Mid-trophic species,SSP5-8.5,0.591185230699793,0.597498434766401,-0.015324705981579,-0.00631320406660851
34,Prey,SSP1-2.6,0.670147279382716,0.691628267,-0.0455186395439666,-0.021480987617284
