analysis_level,entity_id,display_name,functional_group,scenario,comparison,n_paired_runs,base_mean_years,future_mean_years,mean_change_years,mean_log2_response,pct_change,pct_ci_low,pct_ci_high,t_statistic,df,p_value_raw,p_value_bh,paired_effect_dz,response_detected,direction
Species,PennahiaArgentata,Pennahia argentata,Mid-trophic species,SSP1-2.6,SSP1-2.6 vs Base,100,0.5900092357,0.603769531922222,0.0137602962222223,0.0334462198220193,2.34539710168498,1.87884759598584,2.83784755418945,9.68270912679415,99,5.38616934834688e-16,9.42579635960703e-16,0.968270912679415,TRUE,Delayed maturation
Species,PampusArgenteus,Pampus argenteus,Mid-trophic species,SSP1-2.6,SSP1-2.6 vs Base,100,0.437893587123333,0.436170466923457,-0.00172312019987658,-0.0056766659924719,-0.392703398302297,-0.49324326760436,-0.293080240736054,-7.44669514100038,99,3.60226918606235e-11,5.60352984498587e-11,-0.744669514100038,TRUE,Earlier maturation
Species,LarimichthysPolyactis,Larimichthys polyactis,Mid-trophic species,SSP1-2.6,SSP1-2.6 vs Base,100,0.862823574603333,0.872503648259259,0.0096800736559259,0.016284247421702,1.13513230195312,0.712736023705629,1.56475266103797,5.1152637128048,99,1.53563219752715e-06,2.14988507653801e-06,0.51152637128048,TRUE,Delayed maturation
Species,TrachurusJaponicus,Trachurus japonicus,Mid-trophic species,SSP1-2.6,SSP1-2.6 vs Base,100,0.47400041339,0.46426177,-0.0097386433899999,-0.0299038928428546,-2.05144547805998,-2.26863709527605,-1.82444741488216,-17.6471348070519,99,2.4584929124032e-32,8.60472519341121e-32,-1.76471348070519,TRUE,Earlier maturation
Species,EngraulisJaponicus,Engraulis japonicus,Prey,SSP5-8.5,SSP5-8.5 vs Base,100,0.709716360073333,0.662162532030864,-0.0475538280424691,-0.0998902438090511,-6.68960232308579,-7.10559834941622,-6.28776746951701,-30.7462525878407,99,1.88640467128362e-52,1.32048326989853e-51,-3.07462525878407,TRUE,Earlier maturation
Species,ScomberomorusNiphonius,Scomberomorus niphonius,Predator,SSP5-8.5,SSP5-8.5 vs Base,100,0.65874994576,0.668210960598766,0.00946101483876548,0.0205774139664283,1.43653809175019,1.36647387901268,1.50473721211923,41.2140952180748,99,3.90564259615148e-64,5.46789963461207e-63,4.12140952180748,TRUE,Delayed maturation
Species,TrichiurusJaponicus,Trichiurus japonicus,Predator,SSP5-8.5,SSP5-8.5 vs Base,100,1.24388645940667,1.14419662502099,-0.099689834385679,-0.119673480280879,-7.96040632105568,-8.93477757261889,-6.98752282040253,-15.5309739829936,99,2.74373900872882e-28,5.48747801745763e-28,-1.55309739829936,TRUE,Earlier maturation
Species,MuraenesoxCinereus,Muraenesox cinereus,Predator,SSP5-8.5,SSP5-8.5 vs Base,100,0.68802243502,0.700287359222222,0.0122649242022223,0.0255116964190264,1.78406367525992,1.64657243097675,1.92185909097555,25.1182373409,99,9.67493807894335e-45,4.5149711035069e-44,2.51182373409,TRUE,Delayed maturation
Species,MiichthysMiiuy,Miichthys miiuy,Predator,SSP5-8.5,SSP5-8.5 vs Base,100,0.583335379216667,0.582886543461728,-0.000448835754938232,-0.000979533173056077,-0.0678730215538326,-0.427502235889143,0.28226664512383,-0.373793162967958,99,0.709357515047964,0.709357515047964,-0.0373793162967958,FALSE,No detectable change
Species,TodarodesPacificus,Todarodes pacificus,Invertebrate,SSP5-8.5,SSP5-8.5 vs Base,100,1.00903498482333,1.00590842103086,-0.00312656379246926,-0.00423539277696089,-0.293144546016555,-0.770810281066237,0.192906133921911,-1.16966947933127,99,0.244942330364739,0.282042907642325,-0.116966947933127,FALSE,No detectable change
Species,TrachysalambriaCurvirostris,Trachysalambria curvirostris,Invertebrate,SSP5-8.5,SSP5-8.5 vs Base,100,0.877772768236667,0.85868490368642,-0.0190878645502469,-0.0304453742479943,-2.08820124939432,-3.20715503660306,-0.93717474967927,-3.5734208004834,99,0.000546318117021926,0.000695313967118815,-0.35734208004834,TRUE,Earlier maturation
Species,PortunusTrituberculatus,Portunus trituberculatus,Invertebrate,SSP5-8.5,SSP5-8.5 vs Base,100,0.998669497586667,0.994922924444445,-0.00374657314222205,-0.00506187140612185,-0.350247387217717,-0.943785444784773,0.231219084684264,-1.12835511092909,99,0.261896985667873,0.282042907642325,-0.112835511092909,FALSE,No detectable change
Species,ScomberJaponicus,Scomber japonicus,Mid-trophic species,SSP5-8.5,SSP5-8.5 vs Base,100,0.79838711804,0.788570212862963,-0.00981690517703696,-0.0178380936946287,-1.22882989282509,-1.34218753941909,-1.11616365716591,-21.2440453470442,99,1.17233126574726e-38,3.28252754409233e-38,-2.12440453470442,TRUE,Earlier maturation
Species,DecapterusMaruadsi,Decapterus maruadsi,Mid-trophic species,SSP5-8.5,SSP5-8.5 vs Base,100,0.54233692213,0.533913964532099,-0.00842295759790121,-0.0225572434390998,-1.55138900038588,-1.69986000175181,-1.40613947663246,-20.2151182305779,99,6.42034971771663e-37,1.49808160080055e-36,-2.02151182305779,TRUE,Earlier maturation
Species,PennahiaArgentata,Pennahia argentata,Mid-trophic species,SSP5-8.5,SSP5-8.5 vs Base,100,0.5900092357,0.607783074754321,0.017773839054321,0.0429719469766604,3.02339206564932,2.56749941926762,3.49897239661829,12.9476390750769,99,5.03298014284686e-23,8.80771524998201e-23,1.29476390750769,TRUE,Delayed maturation
Species,PampusArgenteus,Pampus argenteus,Mid-trophic species,SSP5-8.5,SSP5-8.5 vs Base,100,0.437893587123333,0.435523906441975,-0.0023696806813581,-0.00781673049319435,-0.540349303011622,-0.644908908086828,-0.435660700407092,-10.0409234430297,99,8.90725279666104e-17,1.38557265725838e-16,-1.00409234430297,TRUE,Earlier maturation
Species,LarimichthysPolyactis,Larimichthys polyactis,Mid-trophic species,SSP5-8.5,SSP5-8.5 vs Base,100,0.862823574603333,0.870308728104938,0.00748515350160495,0.0126292910191191,0.87923853983245,0.412982781740667,1.34005575033094,3.69588067319774,99,0.000359446393431146,0.000503224950803605,0.369588067319774,TRUE,Delayed maturation
Species,TrachurusJaponicus,Trachurus japonicus,Mid-trophic species,SSP5-8.5,SSP5-8.5 vs Base,100,0.47400041339,0.462421820717284,-0.011578592672716,-0.0356287210320593,-2.43934974969721,-2.65144590974652,-2.22333458403527,-21.6691085337812,99,2.32568240733512e-39,8.1398884256729e-39,-2.16691085337812,TRUE,Earlier maturation
