run,species,scenario,gonad_future,somatic_future,enet_future,mbi_future,latin,short_label,group,species_order,gonad_base,somatic_base,enet_base,mbi_base,gonad_response,somatic_response,enet_response,mbi_response,joint_tissue_response,allocation_bias
1,TrachysalambriaCurvirostris,SSP5-8.5,0.359962889960432,0.000107445362248963,7.79298410216049,0.0141209231150968,Trachysalambria curvirostris,T. curvirostris,Invertebrate,7,0.352199385395,0.000126123551719667,8.501833932,0.00597302180934788,0.0314557893183378,-0.231234491021359,-0.125598205586996,1.24130150914068,-0.0998893508515103,0.262690280339696
1,TrichiurusJaponicus,SSP1-2.6,0.0308795372075256,0.0002882561104903,1.47578761662663,0.170249316905257,Trichiurus japonicus,Trich. japonicus,Predator,3,0.0254826905929167,0.000209818565683333,1.4268679593381,0.135562796081319,0.277133518293733,0.458208850976415,0.0486332796685977,0.328687710818259,0.367671184635074,-0.181075332682682
1,TrichiurusJaponicus,SSP5-8.5,0.0364842566431753,0.000307616282080908,1.50786823414286,0.184765400282247,Trichiurus japonicus,Trich. japonicus,Predator,3,0.0254826905929167,0.000209818565683333,1.4268679593381,0.135562796081319,0.517756446775583,0.55198952727909,0.0796585277418698,0.446733319810832,0.534872987027336,-0.0342330805035073
2,DecapterusMaruadsi,SSP1-2.6,0.652653449423868,0.0526927595251029,38.3655879465021,0.0114882181093878,Decapterus maruadsi,D. maruadsi,Mid-trophic species,10,0.648446270555556,0.0475659238244444,36.2091635,0.0105851603700326,0.00933010306740593,0.147676337343934,0.083458015919461,0.118111917795687,0.0785032202056698,-0.138346234276528
2,DecapterusMaruadsi,SSP5-8.5,0.650303085596708,0.0556272478497942,39.9376221316872,0.0128310129302312,Decapterus maruadsi,D. maruadsi,Mid-trophic species,10,0.648446270555556,0.0475659238244444,36.2091635,0.0105851603700326,0.00412522965146785,0.225863331794467,0.141393589694512,0.277591939897347,0.114994280722968,-0.221738102143
2,EngraulisJaponicus,SSP1-2.6,0.730634320740741,0.000470656333290535,17.2883378641975,0.0506096143956764,Engraulis japonicus,E. japonicus,Prey,1,0.705574583,0.000455551975521111,16.6844178466667,0.0412567368266267,0.0503509328482169,0.0470583428464077,0.0512978231964832,0.294781765459681,0.0487046378473123,0.00329259000180921
2,EngraulisJaponicus,SSP5-8.5,0.751894670781893,0.000514246465750617,18.1196520654321,0.0642477794744005,Engraulis japonicus,E. japonicus,Prey,1,0.705574583,0.000455551975521111,16.6844178466667,0.0412567368266267,0.0917319845698575,0.174844308058207,0.119053904110671,0.639016876120752,0.133288146314032,-0.0831123234883493
2,LarimichthysPolyactis,SSP1-2.6,0.254153612997222,0.16487516048877,37.9467507893827,0.0063901074214119,Larimichthys polyactis,L. polyactis,Mid-trophic species,13,0.242153993886667,0.139533764322707,35.4534822986667,0.00580964512621845,0.0697759422495229,0.240759796740873,0.098049021126146,0.137390142538169,0.155267869495198,-0.17098385449135
2,LarimichthysPolyactis,SSP5-8.5,0.258422970918519,0.185918538974617,39.3116110716049,0.00736723091958877,Larimichthys polyactis,L. polyactis,Mid-trophic species,13,0.242153993886667,0.139533764322707,35.4534822986667,0.00580964512621845,0.0938095174742006,0.414056369550819,0.149028151341012,0.342672422004323,0.25393294351251,-0.320246852076618
2,MiichthysMiiuy,SSP1-2.6,0.558718578753086,0.139942881280864,118.28338962963,0.00582279697230072,Miichthys miiuy,M. miiuy,Predator,5,0.5995360955,0.14222103435,122.41664945,0.00373952262350818,-0.101724820530158,-0.0232967532170224,-0.049552294897896,0.638858204502791,-0.0625107868735899,-0.0784280673131352
2,MiichthysMiiuy,SSP5-8.5,0.566889853537037,0.174548910601852,119.379601271605,0.00751319671940766,Miichthys miiuy,M. miiuy,Predator,5,0.5995360955,0.14222103435,122.41664945,0.00373952262350818,-0.0807781673928321,0.295496498837491,-0.0362434468593127,1.00657276545962,0.10735916572233,-0.376274666230324
2,MuraenesoxCinereus,SSP1-2.6,0.225131963,0.313914812149136,33.705341654321,0.000651105772681862,Muraenesox cinereus,M. cinereus,Predator,4,0.220952120866667,0.265022575504,30.70988992,0.000451188136723074,0.0270371180074291,0.244257845983499,0.13427390823283,0.529162794599622,0.135647481995464,-0.21722072797607
2,MuraenesoxCinereus,SSP5-8.5,0.228396715918519,0.359859650333827,35.3719273654321,0.000812353022943045,Muraenesox cinereus,M. cinereus,Predator,4,0.220952120866667,0.265022575504,30.70988992,0.000451188136723074,0.0478081273116256,0.441319089064382,0.203901490593837,0.848377678477416,0.244563608188004,-0.393510961752757
2,PampusArgenteus,SSP1-2.6,1.67419079102881,0.372365101084362,88.4897900262552,0.00146895878476086,Pampus argenteus,P. argenteus,Mid-trophic species,12,1.71948472877778,0.414329975815556,85.76140705,0.00125505463000569,-0.0385123559494796,-0.154062333215104,0.0451824306309873,0.227043754958131,-0.096287344582292,0.115549977265625
2,PampusArgenteus,SSP5-8.5,1.72090640359053,0.427936479502161,91.4008310658436,0.00171515678374443,Pampus argenteus,P. argenteus,Mid-trophic species,12,1.71948472877778,0.414329975815556,85.76140705,0.00125505463000569,0.00119233147624364,0.0466164671915975,0.0918787074492685,0.45059029708341,0.0239043993339206,-0.0454241357153539
2,PennahiaArgentata,SSP1-2.6,0.218566505346781,1.00406098513079,37.0200390523222,0.00372655787971024,Pennahia argentata,P. argentata,Mid-trophic species,11,0.235798075761905,0.871536562872524,33.8536836864762,0.00284836323332667,-0.109479615889797,0.204213804085379,0.128993592252829,0.38771053171678,0.047367094097791,-0.313693419975177
2,PennahiaArgentata,SSP5-8.5,0.217578388652557,1.24158089550019,39.1182214867725,0.00439174704099138,Pennahia argentata,P. argentata,Mid-trophic species,11,0.235798075761905,0.871536562872524,33.8536836864762,0.00284836323332667,-0.11601667966481,0.510545168759571,0.208527954678998,0.624661823751766,0.19726424454738,-0.626561848424381
2,PortunusTrituberculatus,SSP1-2.6,0.000741668628283951,1.98816588617284e-07,0.738207901358025,0.023924294761712,Portunus trituberculatus,P. trituberculatus,Invertebrate,8,0.000359228655366667,1.05027078166667e-07,0.540054843,0.0172638985331685,1.0458723087563,0.920676803103668,0.45092125790683,0.470718107030561,0.983274555929984,0.125195505652631
2,PortunusTrituberculatus,SSP5-8.5,0.000552343405259259,1.68789897111111e-07,0.791698158271605,0.0270374487163597,Portunus trituberculatus,P. trituberculatus,Invertebrate,8,0.000359228655366667,1.05027078166667e-07,0.540054843,0.0172638985331685,0.62066306712788,0.684467221720562,0.551844573698498,0.647200733070719,0.652565144424221,-0.0638041545926813
2,ScomberJaponicus,SSP1-2.6,0.0830063309542505,0.000437004149234568,3.92591188876543,0.17476709703923,Scomber japonicus,S. japonicus,Mid-trophic species,9,0.0777190919716667,0.000428095952091667,3.67094009276667,0.150211918256169,0.0949523307298335,0.0297127837469407,0.0968782231973107,0.218434312776176,0.0623325572383871,0.0652395469828928
2,ScomberJaponicus,SSP5-8.5,0.0689655061663048,0.000468636970854558,3.91816412317901,0.205537925895044,Scomber japonicus,S. japonicus,Mid-trophic species,9,0.0777190919716667,0.000428095952091667,3.67094009276667,0.150211918256169,-0.172394082377134,0.130536579123071,0.0940282593245909,0.452405339749825,-0.0209287516270317,-0.302930661500205
2,ScomberomorusNiphonius,SSP1-2.6,1.64472721135802,0.0260385752549383,79.9240596419753,0.0119750360255487,Scomberomorus niphonius,S. niphonius,Predator,2,1.65762090683333,0.0250735971266667,74.0627208,0.0101726116381871,-0.011265780819932,0.0544815271557747,0.10988231492028,0.235339882960066,0.0216078731679214,-0.0657473079757067
2,ScomberomorusNiphonius,SSP5-8.5,1.65244957160494,0.0264088452197531,82.8129979012346,0.0141643587664525,Scomberomorus niphonius,S. niphonius,Predator,2,1.65762090683333,0.0250735971266667,74.0627208,0.0101726116381871,-0.00450785915729272,0.0748522341342205,0.161109673523727,0.477575177869426,0.0351721874884639,-0.0793600932915132
2,TodarodesPacificus,SSP1-2.6,0.0166610995320988,4.47541015185185e-05,3.30098176061728,0.0779508107896773,Todarodes pacificus,T. pacificus,Invertebrate,6,0.0185045973866667,4.75272318833333e-05,3.237582968,0.0294956678159945,-0.151400133558771,-0.0867344724071153,0.0279780025218689,1.40206095508464,-0.119067302982943,-0.0646656611516554
