scenario,species,latin,short_label,group,species_order,n_paired_runs,gonad_log2,gonad_ci_low_log2,gonad_ci_high_log2,somatic_log2,somatic_ci_low_log2,somatic_ci_high_log2,joint_log2,joint_ci_low_log2,joint_ci_high_log2,bias_log2,bias_ci_low_log2,bias_ci_high_log2,joint_t,joint_p,joint_dz,bias_t,bias_p,bias_dz,joint_p_fdr,bias_p_fdr,gonad_change_pct,somatic_change_pct,joint_change_pct,joint_ci_low_pct,joint_ci_high_pct,allocation_bias_pct,bias_ci_low_pct,bias_ci_high_pct,strategy
SSP1-2.6,PampusArgenteus,Pampus argenteus,P. argenteus,Mid-trophic species,12,100,-0.0629594677947462,-0.108256532853951,-0.020682088728383,0.655618832952578,0.48079682852316,0.837331915478185,0.296329682578916,0.222109998241941,0.371306895353059,-0.718578300747324,-0.939765836627144,-0.504708841100488,7.61721556410684,1.5705606282291e-11,0.761721556410685,-6.54018422276408,2.71453620375579e-09,-0.654018422276408,1.83232073293395e-11,3.80035068525811e-09,-4.2701647092254,57.5291517431354,22.8016276352467,16.6438301452909,29.3524065781661,-39.2304000678743,-47.8682511570371,-29.5197396359901,Somatic prioritization
SSP1-2.6,LarimichthysPolyactis,Larimichthys polyactis,L. polyactis,Mid-trophic species,13,100,0.0729845615836566,0.0642817706984854,0.0819090136530323,0.192149710813479,0.16530973586591,0.219615250511588,0.132567136198568,0.117960177402215,0.147596115668157,-0.119165149229823,-0.147971485785618,-0.0918889987201143,17.3878181233885,7.47164781274149e-32,1.73878181233885,-8.39737166488628,3.35486352454626e-13,-0.839737166488628,2.09206138756762e-31,5.87101116795596e-13,5.18905227634823,14.246479612954,9.62426244402181,8.51994167942043,10.7722196200038,-7.92797061869273,-9.74814348429729,-6.17066137730178,Somatic prioritization
SSP1-2.6,TrachurusJaponicus,Trachurus japonicus,Trach. japonicus,Mid-trophic species,14,100,0.0236745484379373,0.0118106139094508,0.0363492719549362,0.0935213674966923,0.0865697259327417,0.100896220126557,0.0585979579673148,0.0511941490432025,0.065807551514293,-0.069846819058755,-0.0837178655839311,-0.056387496687433,15.5440734839768,2.58542796050033e-28,1.55440734839768,-9.96124163591499,1.32909809490723e-16,-0.996124163591499,5.17085592100067e-28,3.10122888811686e-16,1.65453292000233,6.69712979610218,4.14531623326913,3.61221891426862,4.66706518990698,-4.72608484008542,-5.63772316418473,-3.83308768870222,Balanced allocation
SSP5-8.5,EngraulisJaponicus,Engraulis japonicus,E. japonicus,Prey,1,100,0.0713866740121715,0.0600801862911736,0.0819332186249164,0.480124260713496,0.442394879050154,0.516801704038775,0.275755467362834,0.255821393826522,0.295808451696858,-0.408737586701324,-0.448226339811353,-0.369609451339727,27.453904372833,4.34873559028058e-48,2.7453904372833,-20.1067492361728,9.85933448886371e-37,-2.01067492361728,1.01470497106547e-47,2.30051138073487e-36,5.07261239928574,39.4863802139456,21.0627868636738,19.4015358386283,22.7572686837339,-24.6717763855336,-26.7056619569074,-22.6008005991706,Somatic prioritization
SSP5-8.5,ScomberomorusNiphonius,Scomberomorus niphonius,S. niphonius,Predator,2,100,0.0105634733959274,0.00727639925556136,0.0138870138572663,0.0841314079983179,0.0812517214592205,0.0869867045883714,0.0473474406971226,0.0451379694167098,0.0495974711402806,-0.0735679346023905,-0.0777059330257413,-0.0695523192556786,40.5190092611512,1.91635535195421e-63,4.05190092611512,-35.3000594528397,6.7603510105454e-58,-3.53000594528397,8.94299164245296e-63,2.36612285369089e-57,0.734891349455991,6.00493336821815,3.33632200419065,3.17818470924744,3.49761130619319,-4.97150637362902,-5.24368056725997,-4.70663442788364,Somatic prioritization
SSP5-8.5,TrichiurusJaponicus,Trichiurus japonicus,Trich. japonicus,Predator,3,100,0.172105686009085,0.139270151583381,0.202283275953089,0.208502211817913,0.186916800739345,0.230561028364218,0.190303948913499,0.166988270779352,0.214021386935802,-0.0363965258088283,-0.0642394568538151,-0.00873708638871134,15.7763545413413,9.04494741699104e-29,1.57763545413413,-2.52933399403286,0.0130063253572251,-0.252933399403286,1.40699182042083e-28,0.0130063253572251,12.6701763092579,15.5487947654541,14.1004078807169,12.2712294299975,15.9916849326666,-2.49125788117417,-4.35506054474353,-0.603778566604885,Balanced allocation
SSP5-8.5,MuraenesoxCinereus,Muraenesox cinereus,M. cinereus,Predator,4,100,0.00586581530708209,-0.000638564812351684,0.0122163978698704,0.483458818399552,0.472199891267024,0.494025568211876,0.244662316853317,0.238369538491432,0.250525753209464,-0.47759300309247,-0.49007108496991,-0.464499662540346,76.8042022607554,4.78189987126653e-90,7.68042022607554,-71.1939869120335,7.64454933871691e-87,-7.11939869120335,6.69465981977315e-89,1.07023690742037e-85,0.407415021858082,39.8091534360751,18.4815415704515,17.9658716732805,18.9640570014326,-28.1825169853651,-28.800998448448,-27.5277627146722,Somatic prioritization
SSP5-8.5,MiichthysMiiuy,Miichthys miiuy,M. miiuy,Predator,5,100,0.0860684635016848,0.054592633194584,0.117074856641403,0.384235739272078,0.366465141381852,0.402397626906601,0.235152101386882,0.216031072527922,0.254924730219512,-0.298167275770393,-0.328958666828214,-0.268192567667069,23.2803237611357,6.08182713534108e-42,2.32803237611357,-18.9296456970205,1.14109353144177e-34,-1.89296456970205,1.21636542706822e-41,2.28218706288354e-34,6.14735802839157,30.5168197374942,17.7030823445284,16.1533748578684,19.3273484707006,-18.671510505785,-20.3889092993163,-16.9640817769694,Somatic prioritization
SSP5-8.5,TodarodesPacificus,Todarodes pacificus,T. pacificus,Invertebrate,6,100,0.31016293276643,0.248656379545827,0.370483711696038,0.170536317675015,0.127880006592879,0.213081341351593,0.240349625220722,0.191117406340433,0.291442282490861,0.139626615091415,0.104107722949215,0.174051325103998,9.32575146702635,3.23487001539865e-15,0.932575146702635,7.75139116580115,8.14814095853093e-12,0.775139116580115,3.77401501796509e-15,8.77492103226408e-12,23.9847715954689,12.5476799649049,18.1278899923666,14.1647610485014,22.3863179520343,10.1619967947188,7.48294250707884,12.8222274210225,Gonadal prioritization
SSP5-8.5,TrachysalambriaCurvirostris,Trachysalambria curvirostris,T. curvirostris,Invertebrate,7,100,0.136137256864611,0.0900817427621674,0.181614127941601,0.541956241425326,0.452227933771518,0.63400231325831,0.339046749144968,0.288994740093485,0.389420816236005,-0.405818984560716,-0.503657331766395,-0.300797789748507,13.1818117302695,1.6267089645066e-23,1.31818117302695,-7.78975491340717,6.75107839072407e-12,-0.778975491340717,2.07035686391749e-23,7.87625812251142e-12,9.89587666709157,45.5945387856656,26.4920530222811,22.1788647159138,30.9867439439524,-24.5192315703044,-29.4683513218247,-18.8196643448067,Somatic prioritization
SSP5-8.5,PortunusTrituberculatus,Portunus trituberculatus,P. trituberculatus,Invertebrate,8,100,0.925348946354456,0.816532006751338,1.03132131821183,0.628693319067281,0.551152887738413,0.709735852097003,0.777021132710868,0.68757031774775,0.870835505829167,0.296655627287175,0.243195518696988,0.351338188679131,16.4879086367322,3.77980321465451e-30,1.64879086367322,10.6127274847111,5.06006021589618e-18,1.06127274847111,6.61465562564539e-30,7.87120478028295e-18,89.9143534444988,54.6163964132476,71.358901014042,61.0568830044547,82.8721658699762,22.8293750534124,18.3611417730249,27.5743409421125,Gonadal prioritization
SSP5-8.5,ScomberJaponicus,Scomber japonicus,S. japonicus,Mid-trophic species,9,100,-0.103745292490392,-0.127589227838199,-0.0794299074908132,0.101860635201767,0.0859089566721546,0.117564332374187,-0.000942328644312572,-0.0145823252109561,0.0124073579765162,-0.205605927692159,-0.235877742940093,-0.174543537726313,-0.136283079879908,0.891874246622986,-0.0136283079879908,-13.1353309722695,2.03459275800007e-23,-1.31353309722695,0.891874246622986,3.56053732650013e-23,-6.93860571014772,7.31566141170703,-0.0652959172282697,-1.00567865062539,0.863721251863403,-13.2825600050765,-15.0831796274382,-11.3952183666798,Somatic prioritization
SSP5-8.5,DecapterusMaruadsi,Decapterus maruadsi,D. maruadsi,Mid-trophic species,10,100,-0.0073097729052318,-0.0136407528004294,-0.000889261169312479,0.242722718678949,0.235918418196458,0.249232192707892,0.117706472886859,0.113259328951942,0.12230778511326,-0.250032491584181,-0.259198860274619,-0.241073922026859,49.579234043492,1.0276694753455e-71,4.9579234043492,-52.4515671205187,4.76881614751816e-74,-5.24515671205187,7.19368632741847e-71,3.33817130326271e-73,-0.505393416116085,18.3223588150281,8.50085962967466,8.16691794323134,8.8474632497582,-15.9122522739572,-16.4448221004335,-15.3884758477721,Somatic prioritization
SSP5-8.5,PennahiaArgentata,Pennahia argentata,P. argentata,Mid-trophic species,11,100,-0.0629695467777368,-0.0770196732091277,-0.0482310505803027,0.532610929621567,0.50939288371114,0.555360889365737,0.234820691421915,0.220292685539222,0.24846931518517,-0.595580476399304,-0.621341685531234,-0.569028836365181,31.7316375362393,1.10417467371454e-53,3.17316375362393,-45.050973688862,9.04780165741605e-68,-4.5050973688862,3.8646113580009e-53,4.22230744012749e-67,-4.27083349644922,44.6544724690117,17.6760471823783,16.4969904782757,18.7946047416095,-33.822186850076,-34.9933905548486,-32.5929607480798,Somatic prioritization
SSP5-8.5,PampusArgenteus,Pampus argenteus,P. argenteus,Mid-trophic species,12,100,-0.0705597052062719,-0.113876649512492,-0.0309615586601494,0.761630954378441,0.59578412892873,0.934663863707969,0.345535624586085,0.27585199153066,0.416420574291731,-0.832190659584713,-1.04759730942864,-0.629570585278532,9.23420508680003,5.12117045973665e-15,0.923420508680003,-7.94872691646556,3.0903453409642e-12,-0.794872691646556,5.51510664894717e-15,3.9331667975908e-12,-4.77315138879168,69.540618391908,27.062263481558,21.0708868954516,33.4612178961346,-43.8324281730039,-51.6226821412213,-35.3631223193263,Somatic prioritization
SSP5-8.5,LarimichthysPolyactis,Larimichthys polyactis,L. polyactis,Mid-trophic species,13,100,0.0705430968855717,0.0616058522980925,0.0789675300546551,0.41190029167733,0.383650557850482,0.43996481706525,0.241221694281451,0.225408891827485,0.257412817545405,-0.341357194791758,-0.369924513692517,-0.313772586883658,29.6088891640768,5.4810153999636e-51,2.96088891640768,-23.6572843936369,1.57620564110921e-42,-2.36572843936369,1.53468431198981e-50,4.4133757951058e-42,5.01119197363587,33.0437088013063,18.1993166047016,16.9108552947945,19.5333192531153,-21.0701558760178,-22.6177015454228,-19.5464819560612,Somatic prioritization
SSP5-8.5,TrachurusJaponicus,Trachurus japonicus,Trach. japonicus,Mid-trophic species,14,100,0.0186429437454683,0.00524420425447394,0.0318825859322618,0.0983587563276195,0.0904357875606057,0.106316849270105,0.0585008500365439,0.0507168903469628,0.066252185074894,-0.0797158125821512,-0.0950795845802619,-0.0645305921212716,14.4973132525645,3.1905355639516e-26,1.44973132525645,-10.3169608085096,2.22828520016751e-17,-1.03169608085096,4.46674978953223e-26,3.11959928023452e-17,1.30061576688414,7.05548812147097,4.13830643874211,3.57794857109026,4.69932818436558,-5.37559769757627,-6.37793995016532,-4.37435970694495,Somatic prioritization
