species,scenario,metric,estimate,lo,hi,latin,group,species_order,pct,pct_lo,pct_hi
EngraulisJaponicus,SSP1-2.6,eggs_per_biomass,0.0496972349151408,0.0432189157853063,0.0564604572819752,Engraulis japonicus,Prey,1,5.09528563717316,4.41664543514033,5.8084774425109
EngraulisJaponicus,SSP1-2.6,mean_size,0.0175002542858916,0.0144519417035108,0.0209240701540079,Engraulis japonicus,Prey,1,1.76542809258551,1.45568759046222,2.11445133481964
EngraulisJaponicus,SSP1-2.6,biomass,-0.206741500004591,-0.215684599383129,-0.198245699097229,Engraulis japonicus,Prey,1,-18.6770157270399,-19.4010528634774,-17.9831686234444
EngraulisJaponicus,SSP1-2.6,abundance,-0.233777203641021,-0.245364933935532,-0.22153184784922,Engraulis japonicus,Prey,1,-20.8461851930846,-21.7581045092936,-19.8709597634354
EngraulisJaponicus,SSP1-2.6,yield,-0.207498940663376,-0.216953053597277,-0.198172403179459,Engraulis japonicus,Prey,1,-18.7385897395478,-19.5032241241463,-17.9771569042015
EngraulisJaponicus,SSP1-2.6,mean_tl,-0.00361786505147713,-0.00403021519069857,-0.00319805025307448,Engraulis japonicus,Prey,1,-0.361132846291956,-0.402210477269183,-0.319294193736497
EngraulisJaponicus,SSP5-8.5,ingestion,-0.142760804142448,-0.147422076436554,-0.138101252977713,Engraulis japonicus,Prey,1,-13.3038582324219,-13.7070321742913,-12.898950512545
EngraulisJaponicus,SSP5-8.5,maintenance,0.415099497214169,0.412082975802712,0.418330451755645,Engraulis japonicus,Prey,1,51.4521423858119,50.9959721250798,51.9422687346743
EngraulisJaponicus,SSP5-8.5,enet,-0.192983959544308,-0.197866165263571,-0.188222149134853,Engraulis japonicus,Prey,1,-17.5504800688248,-17.9520345531648,-17.1569348363005
EngraulisJaponicus,SSP5-8.5,mbi,0.557511720201127,0.551675436670943,0.563733852559952,Engraulis japonicus,Prey,1,74.632175246296,73.615940758964,75.7221472131973
EngraulisJaponicus,SSP5-8.5,age_mature,-0.0693543548967107,-0.0740072649296344,-0.0648514296655744,Engraulis japonicus,Prey,1,-6.70039902103364,-7.13350528687148,-6.27933058536584
EngraulisJaponicus,SSP5-8.5,ingestion_age_standardized,0.0867385499915222,0.080829523275275,0.0924621230579845,Engraulis japonicus,Prey,1,9.06115020535929,8.41860523241946,9.68715946316852
EngraulisJaponicus,SSP5-8.5,maintenance_age_standardized,0.449243878901282,0.442519496906592,0.456062579958058,Engraulis japonicus,Prey,1,56.7126799761399,55.662419187432,57.7849083406377
EngraulisJaponicus,SSP5-8.5,enet_age_standardized,0.119839262506959,0.113648097894324,0.126494537632883,Engraulis japonicus,Prey,1,12.731563512657,12.0357799237547,13.4843252228678
EngraulisJaponicus,SSP5-8.5,mbi_age_standardized,0.362233313475306,0.351992181170713,0.372076873375593,Engraulis japonicus,Prey,1,43.6534065619644,42.1897406102033,45.0744500633556
EngraulisJaponicus,SSP5-8.5,length_age1,0.0525800446474998,0.0481708779469588,0.0569817110597399,Engraulis japonicus,Prey,1,5.39869247139617,4.93499507704445,5.86364488796791
EngraulisJaponicus,SSP5-8.5,age_standardized_size,0.111249851375574,0.104166375555685,0.118437127152303,Engraulis japonicus,Prey,1,11.7674124388985,10.9785080666038,12.5736093642962
EngraulisJaponicus,SSP5-8.5,max_realized_size,-0.0137094833876204,-0.0144608783163013,-0.0129664318610787,Engraulis japonicus,Prey,1,-1.36159364018048,-1.43568220012248,-1.28827298462019
EngraulisJaponicus,SSP5-8.5,reproductive_allocation,0.0478188459815943,0.0365687921073834,0.0587141221033828,Engraulis japonicus,Prey,1,4.89806110584261,3.72456558780412,6.04720318879721
EngraulisJaponicus,SSP5-8.5,egg_production,-0.208697697530461,-0.217807043100779,-0.199244975898735,Engraulis japonicus,Prey,1,-18.8359440493945,-19.5719381810923,-18.0650852048858
