scenario,run,species,latin,group,species_order,ingestion,maintenance,enet,mbi,ingestion_age_standardized,maintenance_age_standardized,enet_age_standardized,mbi_age_standardized,abundance,age_mature,biomass,max_realized_size,mean_size,mean_tl,yield,length_age1,age_standardized_size,reproductive_allocation,egg_production,eggs_per_biomass
SSP1-2.6,36,ScomberJaponicus,Scomber japonicus,Mid-trophic species,9,5.37176642766069,0.889240952862851,2.32894253349739,0.165539765147626,7.39408675345679,1.29034291251235,3.91531030848765,0.174510112680123,25423188467.9012,0.788491276419753,1084168.4517284,49.2762018024691,13.9432905493827,2.53851586049383,196937.766419753,26.0596132839506,31.3649739790293,0.00572995293969547,901146310916974,836346932.323591
SSP1-2.6,36,DecapterusMaruadsi,Decapterus maruadsi,Mid-trophic species,10,3.96931243228097,0.374999944754521,3.53165999319398,0.0944747865410601,39.066525744856,0.441264877037037,38.5585471399177,0.0112952167776307,195458865.654321,0.534077227160494,45502.6973333333,243.809466666667,29.2961700123457,2.72293306419753,10437.4189814815,53.6217532839506,112.946167863392,0.0433258559892776,97059546843654,2190870154.35484
SSP1-2.6,36,PennahiaArgentata,Pennahia argentata,Mid-trophic species,11,10.546732721536,0.0886610699233694,5.3820897999797,0.00840649633059607,34.6169626049383,0.128457788104056,37.2834890299824,0.00371083360403582,2385626346.41975,0.601109268888889,714707.75,749.155299382716,18.720497537037,2.90088133209877,122490.470901235,30.6621959382716,201.780777167695,0.0803060741031159,5166190263648840,7289189718.82295
SSP1-2.6,36,PampusArgenteus,Pampus argenteus,Mid-trophic species,12,16.7127264132951,0.121216165902737,6.50499124707115,0.00725292587846757,104.22255449177,0.14884511263786,91.8843033440329,0.0014281468475196,10006971.7740741,0.435714351111111,12113.1075716049,315.549285925926,33.5895107777778,2.82213888765432,7279.7527345679,52.0585810493827,94.1651656966238,0.115473941464638,19680096599870.9,1725995430.25816
SSP1-2.6,36,LarimichthysPolyactis,Larimichthys polyactis,Mid-trophic species,13,10.1721393002219,0.216875587589521,1.7062473294211,0.0213205483319316,38.6573321950617,0.243887635683951,36.976187091358,0.00630896189248947,117389163827.161,0.871803074444444,644728.709506173,447.392442716049,5.01082932469136,2.59480365308642,204276.026666667,15.0730225864198,94.9240882134282,0.00240865127557134,1078985128668750,1687671296.82053
SSP1-2.6,36,TrachurusJaponicus,Trachurus japonicus,Mid-trophic species,14,3.27863858985203,0.478361893932708,1.51635503037467,0.14590259975995,120.50919867284,0.610790356481482,85.5754192962963,0.00506841272872178,71504211.7901235,0.461242962592593,10705.9649061728,94.8329384814815,26.9161323209877,2.68234052716049,2173.04632950617,30.5793860493827,50.1998779776079,0.0290456115569661,123339045390461,12354161230.418
SSP1-2.6,37,EngraulisJaponicus,Engraulis japonicus,Prey,1,4.65569749086281,1.14224469222683,1.5748787313051,0.245343408687651,27.9711800699589,1.47668499283951,17.2069698176955,0.0527930887844618,382398304950.617,0.682185316666667,794480.305679012,93.0662284691358,5.66203927530864,2.31891530123457,124463.685580247,9.72601787037037,21.149242894103,0.0576451740886111,13858060495502500,17574841765.952
SSP1-2.6,37,ScomberomorusNiphonius,Scomberomorus niphonius,Predator,2,3.87816324880346,1.31084497572428,1.65617088053076,0.338006652022375,102.222359401235,1.1883292108642,79.897471962963,0.0116249440711877,498506408.395062,0.665843225925926,93540.1295802469,239.177711728395,34.2949354691358,3.07505951234568,35546.8688271605,78.0887135061728,126.405574642336,0.0100403621810219,556436635330231,5958248552.51913
SSP1-2.6,37,TrichiurusJaponicus,Trichiurus japonicus,Predator,3,11.5700915613544,0.646957644414118,1.4135711925042,0.0559163806944313,5.09061058130512,0.867707833121693,1.51650937754497,0.170452604704883,162259352172.84,1.11733595814815,1405489.60481482,46.5001771481482,6.3068571962963,2.7785495962963,208843.866296296,9.62547738518519,22.1604610260528,0.00055706608889434,454506858781621,328218117.746398
SSP1-2.6,37,MuraenesoxCinereus,Muraenesox cinereus,Predator,4,37.0656881498807,0.0337218482214989,6.7069032575576,0.000909786109599249,56.6342882592593,0.0355434137382716,33.8873494716049,0.000627595310734051,1329357528.39506,0.70215772617284,857583.018518519,907.704212716049,53.4529258395062,3.10756565061728,154163.444901235,98.3268725925926,293.111900550822,0.0676442127660324,5204823471571050,6101041857.03705
SSP1-2.6,37,MiichthysMiiuy,Miichthys miiuy,Predator,5,13.6170101764564,0.706522919803265,1.45397632101049,0.0518853192182255,103.651054950617,0.593156024197531,117.718141709877,0.00572262409176761,115784975.358025,0.579749095308642,70791.6917654321,392.041774567901,28.4927846296296,3.00629308641975,26272.8901604938,94.8373632962963,144.963952610291,0.00486769366043359,1039808852755230,14857918049.657
SSP1-2.6,37,TodarodesPacificus,Todarodes pacificus,Invertebrate,6,25.9164204806308,0.730136925247698,0.663250471699147,0.028172753478567,13.0880722345679,0.82482478945679,3.17546763938272,0.0630211061395492,463425938296.296,1.02281023493827,933714.787530864,75.5795432098766,2.10309768765432,2.42267882222222,160437.607259259,6.81872337654321,6.81872337654321,0.000765861826232582,49788754556790100,54483230760.4115
SSP1-2.6,37,TrachysalambriaCurvirostris,Trachysalambria curvirostris,Invertebrate,7,7.04352670769775,0.280848475706538,0.266262499599064,0.039873274761577,27.8951951376543,0.237609747888889,6.88772923382716,0.0085179453564084,5391769341740.74,0.873412047654321,256433.91808642,121.668124493827,0.88290478345679,2.26676846666667,87057.0292345679,5.03453207,9.53077933291305,0.00103938288354087,7566427043543210,31085146711.9428
SSP1-2.6,37,PortunusTrituberculatus,Portunus trituberculatus,Invertebrate,8,7.76696136568635,0.172136358697321,0.507464367716385,0.0221626387196674,6.42565946419753,0.176376005382716,0.730178707283951,0.0274487010034452,30762241467901.2,1.03910812716049,407805.123703704,19.6014740246914,0.421802011481481,2.15342688395062,89816.8892345679,0.791760892345679,0.791760892345679,3.42389258801039e-05,1909771244324690,4903989622.2997
SSP1-2.6,37,ScomberJaponicus,Scomber japonicus,Mid-trophic species,9,5.46475424069461,0.882342919495253,2.3836390168883,0.161460677028195,7.37785540450617,1.29020496927572,3.88330606446502,0.174875339585498,26709545344.4444,0.793946312098765,1123397.43160494,49.2824439259259,13.8948134876543,2.53590482345679,203654.773827161,26.219645,30.9764218445975,0.00551047501564403,895034047272083,800809350.103696
SSP1-2.6,37,DecapterusMaruadsi,Decapterus maruadsi,Mid-trophic species,10,3.88711622752344,0.380139389538794,3.48276358645082,0.0977947062264685,39.022328600823,0.457375217078189,39.2197434609054,0.0117208591459748,144588871.827161,0.531706334938272,36017.9472592593,242.41121037037,29.7653332839506,2.73344046666667,8302.40600246914,55.2952959382716,115.126478787161,0.0434418022263038,81988977295481.6,2317247358.13668
SSP1-2.6,37,PennahiaArgentata,Pennahia argentata,Mid-trophic species,11,10.4362722217305,0.0887843891125169,5.17771511747768,0.00850728950205506,34.6561266525573,0.126996281035273,37.0543206014109,0.00366446840145946,2406832212.71605,0.599561075432099,693896.820246914,729.037562469136,18.5367758950617,2.89322595925926,118355.341345679,30.138327037037,197.770992625094,0.0802720324980695,5020811475375570,7324585119.90547
SSP1-2.6,37,PampusArgenteus,Pampus argenteus,Mid-trophic species,12,15.8097853508719,0.12097216608027,6.30564371615931,0.00765172729391916,103.200567088477,0.144750623730453,86.4078184958848,0.00140261461554134,12401035.4283951,0.437755420246914,14436.6980259259,324.395902592593,33.9831529753086,2.81889674197531,8650.4802345679,51.9226955185185,97.0296223678531,0.113068586099627,24238918981297.2,1765337824.06426
SSP1-2.6,37,LarimichthysPolyactis,Larimichthys polyactis,Mid-trophic species,13,9.80976333187273,0.222188133093458,1.74833936881393,0.0226496935325188,38.5032734814815,0.253253038133333,38.2239559951852,0.00657744174024938,112106584693.827,0.885455249876543,648702.98962963,459.38417962963,5.15032980740741,2.59333131481481,204286.674691358,15.4955668271605,94.2138535226222,0.00284187934939806,1038293328797890,1613423630.23141
SSP1-2.6,37,TrachurusJaponicus,Trachurus japonicus,Mid-trophic species,14,3.28864743608447,0.470382125547938,1.51637397802394,0.143032092886182,119.340746975309,0.611941760123457,85.5855492716049,0.00512768501650209,70046225.7283951,0.46462772654321,10619.2223925926,94.8749843209877,27.0612008148148,2.67946677901235,2168.32132530864,30.7353181358025,50.009427375603,0.028313954078725,119238203509517,11882214189.6259
SSP1-2.6,38,EngraulisJaponicus,Engraulis japonicus,Prey,1,4.54718140229645,1.15490555048886,1.52726337999619,0.253982730907899,28.2006933987654,1.514806748107,17.1579783613169,0.0537152305685261,400117406111.111,0.68046183345679,819697.428024692,92.8973311604938,5.58260985308642,2.32505790740741,129042.388506173,9.73360443703704,20.9759841688283,0.0533813727680244,14307351960851900,17558331078.0615
SSP1-2.6,38,ScomberomorusNiphonius,Scomberomorus niphonius,Predator,2,3.93280975457724,1.30527191737851,1.64441964493484,0.331892971903702,102.180365833333,1.17388213179012,79.3791297962963,0.011488333616899,502245121.728395,0.66612420617284,93788.2387654321,238.506655308642,34.2308837530864,3.08102509012346,35862.1069753086,78.1663127160494,126.372137129702,0.0100363911074459,562211854111965,6001105942.18062
SSP1-2.6,38,TrichiurusJaponicus,Trichiurus japonicus,Predator,3,11.0327402876143,0.665845033435879,1.42423462704619,0.0603517363844212,5.12468581763668,0.888432523492064,1.54615723348501,0.173363315353794,166252578333.333,1.21065784259259,1469165.09135802,46.9348260123457,6.44523979876543,2.78199672839506,217547.139382716,9.60739932716049,22.0431686246081,0.000546257538608259,444075308288785,306949262.441442
SSP1-2.6,38,MuraenesoxCinereus,Muraenesox cinereus,Predator,4,36.885419185309,0.0338905934258516,6.69103745906319,0.000918807327513028,56.4776682567901,0.0366928844518519,33.9313713308642,0.000649688373907689,1265445588.64198,0.703854051111111,823234.795061729,916.664661851852,53.4189204567901,3.10614512469136,147722.68691358,98.1757515432099,293.529300090002,0.0676957266845406,5125726615862980,6247545577.06235
