analysis_level,entity_id,display_name,functional_group,scenario,comparison,n_paired_runs,base_mean,future_mean,mean_change,ci_low,ci_high,t_statistic,df,p_value_raw,p_value_bh,paired_effect_dz,response_detected,direction
Species,MuraenesoxCinereus,Muraenesox cinereus,Predator,SSP5-8.5,SSP5-8.5 vs Base,100,3.11356910333333,3.11265529476543,-0.000913808567901291,-0.0020131317793218,0.000176411773179033,-1.65570751780396,99,0.100947659714044,0.108712864307432,-0.165570751780396,FALSE,No detectable change
Species,MiichthysMiiuy,Miichthys miiuy,Predator,SSP5-8.5,SSP5-8.5 vs Base,100,3.0251973754,3.01117631261728,-0.0140210627827157,-0.0155920722662036,-0.0124521081436415,-17.0003360655096,99,3.99639345860867e-31,1.39873771051304e-30,-1.70003360655096,TRUE,Lower trophic position
Species,TodarodesPacificus,Todarodes pacificus,Invertebrate,SSP5-8.5,SSP5-8.5 vs Base,100,2.43184867786667,2.42530579641975,-0.00654288144691323,-0.00763902475777792,-0.00548101132472207,-11.6404104091482,99,3.02683570424563e-20,8.47513997188778e-20,-1.16404104091482,TRUE,Lower trophic position
Species,TrachysalambriaCurvirostris,Trachysalambria curvirostris,Invertebrate,SSP5-8.5,SSP5-8.5 vs Base,100,2.2742195104,2.27536603228395,0.00114652188395082,-0.000561524782283358,0.00281298746040095,1.32328435600763,99,0.18878885582097,0.18878885582097,0.132328435600763,FALSE,No detectable change
Species,PortunusTrituberculatus,Portunus trituberculatus,Invertebrate,SSP5-8.5,SSP5-8.5 vs Base,100,2.1413435907,2.15328752532099,0.0119439346209872,0.0111647444520058,0.0127254458618207,29.9792275504911,99,1.8093512142488e-51,2.53309169994832e-50,2.99792275504911,TRUE,Higher trophic position
Species,ScomberJaponicus,Scomber japonicus,Mid-trophic species,SSP5-8.5,SSP5-8.5 vs Base,100,2.53868698233333,2.53775996506173,-0.000927017271604931,-0.00146395929487715,-0.000418106890740942,-3.42847623039012,99,0.000885941430709186,0.00124031800299286,-0.342847623039012,TRUE,Lower trophic position
Species,DecapterusMaruadsi,Decapterus maruadsi,Mid-trophic species,SSP5-8.5,SSP5-8.5 vs Base,100,2.7148232517,2.72327473844444,0.00845148674444467,0.00669489091317983,0.0102544455518211,9.10901488556627,99,9.59468776512959e-15,1.91893755302592e-14,0.910901488556627,TRUE,Higher trophic position
Species,PennahiaArgentata,Pennahia argentata,Mid-trophic species,SSP5-8.5,SSP5-8.5 vs Base,100,2.89192399516667,2.90068190039506,0.00875790522839521,0.007058857147315,0.0104125055775309,10.3622124007425,99,1.77579346563069e-17,4.14351808647162e-17,1.03622124007425,TRUE,Higher trophic position
Species,PampusArgenteus,Pampus argenteus,Mid-trophic species,SSP5-8.5,SSP5-8.5 vs Base,100,2.82814235153333,2.81916934609877,-0.0089730054345677,-0.0112962019913577,-0.00665349892268511,-7.42616288287052,99,3.97971294070332e-11,6.96449764623081e-11,-0.742616288287052,TRUE,Lower trophic position
Species,LarimichthysPolyactis,Larimichthys polyactis,Mid-trophic species,SSP5-8.5,SSP5-8.5 vs Base,100,2.60773167376667,2.60493048511111,-0.00280118865555512,-0.0046817794924068,-0.000883968738949944,-2.88396089989279,99,0.00481856233957348,0.00562165606283573,-0.288396089989279,TRUE,Lower trophic position
