scenario,run,n_years,start_time,end_time,total_biomass,biomass_temporal_sd,biomass_stability,community_mean_tl,predator_biomass_proportion,total_yield,biomass_yield_ratio,mean_ingestion,mean_maintenance,mean_net_energy,mean_metabolic_burden,mean_species_length,mean_maturation_age,gonadal_allocation_bias,log_total_biomass,log_biomass_stability,predator_share_logit,log_biomass_yield_ratio,log_mean_ingestion,log_mean_maintenance,log_mean_net_energy,log_mean_metabolic_burden,log_mean_species_length,log_mean_maturation_age
Base,31,30,21,50,7608816.332892,278331.332176323,27.3372612181219,2.61309753400657,0.327193296612806,1442034.612234,5.27800958213233,49.2136272902165,0.473723733340817,37.2829960464588,0.0306647910067509,17.544372854119,0.741883420761905,5.69044212687958,6.88131710091298,3.30825065137386,-0.720906954632403,0.722470174338639,3.89617056259052,-0.747130968258063,3.61853735264129,-3.48464015529507,2.86473326340452,-0.298563163034731
Base,32,30,21,50,7736025.21715,374276.346165271,20.6692870025346,2.62221782259231,0.33904487490902,1469275.349816,5.26598503848267,49.7714620035386,0.467422668865589,36.6278733316233,0.0294432666380879,17.7800873030714,0.758171343404762,5.78235010436349,6.88851787674858,3.02864887878498,-0.667553475140837,0.721479620870762,3.9074417676357,-0.760521358127084,3.60080951700054,-3.52529003210279,2.8780791402577,-0.276845872176344
Base,33,30,21,50,7618233.55567667,308916.093274054,24.6611740907851,2.61959272064916,0.339881463265598,1454219.38267333,5.23915447678652,49.2565129151864,0.47393085605708,36.9664307107285,0.0295836049815398,17.893492961119,0.755139779071429,5.82776074255695,6.88185428289394,3.20523010774577,-0.663822500638935,0.719261203835788,3.89704160080762,-0.746693841224905,3.61001022272993,-3.5205349568623,2.88443712503148,-0.280852409026056
Base,34,30,21,50,7719483.54536667,385961.975672041,20.0006322693458,2.61416821007811,0.330508825463748,1474919.83723867,5.23401796033029,48.5445213141298,0.485855722415873,36.9958917220949,0.0329119597713139,17.9592535754286,0.747568927666667,5.7940713140286,6.88758824581499,2.99576388652159,-0.705884620567849,0.718835208571145,3.8824813421108,-0.721843566612562,3.61080687194146,-3.41391916838287,2.88810550162223,-0.290928767043155
Base,35,30,21,50,7895794.31641,342319.778060249,23.0655510503992,2.62080129477462,0.343748101048544,1489749.17622,5.2996113714182,48.9778291841764,0.476358873109433,36.9844686135199,0.0310367758500757,18.0759999053333,0.756974282047619,5.88611331073014,6.89739582653954,3.13834020791881,-0.646635582798857,0.724244023291949,3.89136773008811,-0.741583773713167,3.61049805731515,-3.47258245987148,2.89458508631189,-0.278425999638817
Base,36,30,21,50,7622414.95522,302240.420877138,25.219707321406,2.6158695558641,0.32687477655735,1454872.69339333,5.23934479388178,49.1960282392869,0.466577332917937,37.158563010609,0.0300022568960205,17.7264269556667,0.746047164666667,5.75225742965852,6.88209258755566,3.22762572544985,-0.722354228612032,0.719276979694937,3.89581289339591,-0.762331499833418,3.61519424286985,-3.50648267028226,2.87505657443405,-0.29296645736313
Base,37,30,21,50,7612370.05794,338202.192530148,22.5083403540071,2.61716084417584,0.333841788893129,1449062.75396667,5.25301157021719,49.4159178051299,0.468482289249173,37.0408467344129,0.0290934836246741,17.8042326217857,0.756383761547619,5.7619286957155,6.88151989235998,3.11388592292494,-0.690860001740021,0.720408357375723,3.90027259506718,-0.758256981114966,3.61202126951704,-3.53724106030442,2.87943621677179,-0.279206410503873
Base,38,30,21,50,7615057.09981333,278615.81746533,27.3317472392282,2.62257343203933,0.339491226100123,1455172.47099667,5.23328241799762,48.7495035545618,0.485484175868073,36.7839988656945,0.0305721173967517,17.7445082767381,0.75057504447619,5.73680922232598,6.88167316414493,3.30804892907935,-0.665562304526774,0.718774172398442,3.88669501389584,-0.722608585256555,3.6050629371839,-3.48766688159999,2.87607607518975,-0.286915640267724
Base,39,30,21,50,7800423.67733,380879.186650853,20.4800470876886,2.61931051635088,0.33665883985824,1467091.664922,5.31717360449565,49.6621663588956,0.476325931634739,37.260937455572,0.0303285320223536,17.8382622867619,0.739893105809523,5.78037589205797,6.89211819188657,3.01945109937221,-0.678219355238366,0.725680840160645,3.90524340294842,-0.741652928746486,3.61794552469516,-3.49566635863914,2.88134571695708,-0.301249554826812
Base,40,30,21,50,7497277.09051,327015.917634461,22.9263368729668,2.61658203881474,0.330155441620175,1426616.726182,5.25433055401393,49.1241838830505,0.477110771712505,37.204991291331,0.0315425197291106,17.9547504159762,0.734478036952381,5.89075023087968,6.87490356215406,3.13228633151171,-0.707482104279202,0.720517391112491,3.89435145698375,-0.740006589241656,3.61644292677665,-3.4564188106855,2.88785472705101,-0.308595185854244
Base,41,30,21,50,7654366.66805333,343393.56171636,22.290361618299,2.61276410615893,0.322012958917899,1465026.17893333,5.2249181521668,48.8935842738855,0.465324641303776,36.8618971739373,0.0308105605790602,17.7416728279524,0.747909694333333,5.76424324468417,6.88390926244794,3.10415437060844,-0.744536384488262,0.71807949165568,3.88964618693019,-0.765019963649,3.60717842063873,-3.47989777182762,2.8759162693891,-0.290473037796944
Base,42,30,21,50,7456272.50616667,353060.999678409,21.1189355747543,2.61063737867378,0.326954480191349,1426239.27710333,5.22735111582488,49.9601826362857,0.470581107697426,36.9856681901641,0.0293468487042111,17.7691328106667,0.746036230571428,5.69711682512723,6.87252177189981,3.05017005864538,-0.721992007617761,0.718281672193392,3.91122634090093,-0.753786948634053,3.61053049139452,-3.5285701080054,2.87746284022544,-0.292981113508053
Base,43,30,21,50,7493464.95008333,371787.933574915,20.1552128871697,2.62049420896991,0.332005612120405,1434648.66158667,5.22289232388181,49.7185580108674,0.462248679240545,37.1701672246517,0.0296027062768101,17.8882524644048,0.738278457309524,5.74933743472303,6.8746826802814,3.00346295901246,-0.699127899372763,0.717911072433586,3.906378264027,-0.771652265959559,3.61550648321354,-3.51988949356082,2.88414421049143,-0.303434212118937
Base,44,30,21,50,7596529.07608667,333571.97497866,22.7732832668951,2.6204980953109,0.333678674961476,1445620.62428,5.25490193858161,49.7475238699592,0.466045675514059,37.725636509272,0.0295636628147624,18.012497418619,0.743159222142857,5.66249531662894,6.88061520446192,3.12558806234207,-0.691593545321901,0.720564616095897,3.90696069090785,-0.763471633535168,3.63033987685809,-3.52120927938897,2.8910658180151,-0.296844960933373
Base,45,30,21,50,7579271.11032667,347687.92247253,21.7990635292357,2.61873801333267,0.332008273115555,1448257.31314667,5.23287390445036,48.989667208614,0.473920702437539,36.921098410626,0.0303177167649469,17.8451509204048,0.744644686690476,5.77132229031127,6.8796274420458,3.08186701149784,-0.699115900927657,0.718740269755679,3.89160940258013,-0.746715265717907,3.60878316029247,-3.49602302562968,2.88173181419999,-0.294848104986969
Base,46,30,21,50,7704838.08023333,368966.372568214,20.8822230237496,2.61470293484809,0.324491174200724,1472088.872277,5.23336623586796,49.3704306164117,0.473756203685601,37.1222962070667,0.0298567715148974,17.7498487498572,0.746394415857143,5.71280214696576,6.88676351630556,3.03889822400194,-0.733207885269379,0.718781128137528,3.89935167446104,-0.747062427820364,3.61421776503139,-3.51134361345007,2.87637699475031,-0.292501110911685
Base,47,30,21,50,7486721.42889667,271475.103914279,27.5779300604326,2.62034207060328,0.331572942757986,1419643.96455267,5.27520352895464,49.8693996902631,0.474261274112699,37.8002272552205,0.0304934138352395,17.7916661102857,0.731452180476191,5.66460164436051,6.87429167389954,3.31701581735254,-0.701079452608717,0.722239220329298,3.90940758199336,-0.745996897939931,3.63231511465034,-3.49024455851535,2.87873015160868,-0.312723432530028
