scenario,run,mean_ingestion,mean_maintenance,mean_net_energy,mean_metabolic_burden,mean_species_length,mean_maturation_age,gonadal_allocation_bias
Base,82,49.3589177200607,0.489892734790952,36.8713144828441,0.0312621724330516,18.0094214954286,0.750319560690476,5.74502235029161
Base,83,49.1762674963056,0.465746289812869,36.9018802591135,0.0304274581189814,17.9283411402381,0.755336929523809,5.89304567364047
Base,84,49.5389414698316,0.466485854779428,37.1025075133374,0.0299132611339353,17.7482093986905,0.739315608238095,5.73448464545051
Base,85,49.3573897625278,0.477429167194695,37.6187296218131,0.0305996664714869,17.9366182768571,0.759046338333334,5.73955609935323
Base,86,49.3352590837325,0.467499787335555,36.6625524067906,0.0301795646899841,17.9069876313095,0.761103285547619,5.9333797085889
Base,87,49.2928070584122,0.47854489441627,37.50947026066,0.031154397560844,17.9148664620476,0.747447457,5.63554994694527
Base,88,49.6650530149071,0.472534634365862,37.5735331131671,0.0302427003886114,17.7703255657143,0.750763594833334,5.8882532460658
Base,89,49.6072585639094,0.490223723396497,37.7472146411158,0.0318395588797313,17.8872223219286,0.748395305761905,5.70375277887674
Base,90,49.7769436164428,0.471692461644513,37.9176134096041,0.0303240176768551,17.8234461897857,0.739758807785714,5.74378725226763
Base,91,49.3680151629422,0.465367070180375,36.9722436786906,0.0290631803000199,17.9828332536667,0.750613976809524,5.75364949680141
Base,92,48.9954304965126,0.464275072157948,36.1163852518277,0.0298042906208613,17.7125008554762,0.739562485333333,5.78985342849056
Base,93,49.1528371660482,0.472961662365204,36.7594356764678,0.0292981388939971,17.9018797246429,0.758197680047619,5.87132952964543
Base,94,49.5987316002659,0.472412065125567,36.074679814612,0.030933519195731,17.8355354431667,0.742988956785715,5.72436459832826
Base,95,49.3404792988045,0.469905522071632,37.3236971768057,0.0300916440460279,17.9628648069524,0.748150507785715,5.77449363228235
Base,96,49.2389778106332,0.480091281752007,37.1067421294789,0.0308227396325806,17.7892717570952,0.750473161428571,5.71594761171718
Base,97,49.1413257189495,0.470480248897823,37.5590915549524,0.0304441409631736,17.6601913205,0.753777297500001,5.66050449900729
Base,98,49.5465141330323,0.475540412520782,37.3925210050876,0.0302227573905288,17.8131596571429,0.749912304095238,5.75423207024588
Base,99,49.6263896979348,0.484097792012472,37.1298744734866,0.0313672904806522,17.7989973311667,0.749750292428571,5.70012958464543
Base,100,48.8081348638826,0.469116847156133,36.8391840980579,0.0303823293624864,17.7723016057143,0.756009584761905,5.78503462626236
SSP1-2.6,1,48.892717867899,0.598382141228789,39.4440006681905,0.0392669258708764,18.4826217439065,0.74186795925926,5.66434844394528
SSP1-2.6,2,49.3405513594064,0.609430820377362,39.8247208480658,0.0401742417999122,18.3412546877425,0.741729699347442,5.64342253380276
SSP1-2.6,3,48.9381799732263,0.596375901697359,39.5873934299906,0.0388825887357373,18.3527292925573,0.744167229770723,5.62751907745611
SSP1-2.6,4,49.0181560467898,0.588052537618482,39.8537963779261,0.0383049714888853,18.4152735306967,0.741445306772487,5.63293904479944
SSP1-2.6,5,49.2142343807204,0.586835608987532,39.4914907393022,0.037945654717649,18.5109827896384,0.741829307107584,5.62765481789495
SSP1-2.6,6,49.1334776152265,0.584906183600281,39.0845699421735,0.0384854790193,18.5432756496032,0.742171478677249,5.63752119583786
SSP1-2.6,7,48.9754980714139,0.590934874151075,39.7213789399533,0.0385406043931361,18.4300375930688,0.743730128139329,5.66676799902892
SSP1-2.6,8,48.6260756446017,0.598157420164286,39.5434729726889,0.0384862563115002,18.4937577355644,0.74069432468254,5.6129331006807
