scenario,run,n_years,start_time,end_time,total_biomass,biomass_temporal_sd,biomass_stability,community_mean_tl,predator_biomass_proportion,total_yield,biomass_yield_ratio
Base,89,30,21,50,7706738.67025,329631.407755832,23.379867600355,2.61894611421409,0.328625983990617,1466204.77794733,5.25727931095887
Base,90,30,21,50,7711161.40528,381539.29814302,20.2106609799064,2.61991733228433,0.34915789354291,1468976.176045,5.25009509635512
Base,91,30,21,50,7605404.44739667,316767.290971422,24.0094374140504,2.62263409182804,0.331552302353074,1460153.78281,5.20875361809518
Base,92,30,21,50,7526152.08325,438001.419351827,17.1829399420384,2.61966933180315,0.333875840483206,1437864.70920667,5.23290213756088
Base,93,30,21,50,7788310.49220667,403574.745440903,19.298309867477,2.62303164647044,0.336957646453204,1483381.20876867,5.24969521943348
Base,94,30,21,50,7587407.53872333,300772.204008914,25.2264253065701,2.61158118490152,0.315194021914064,1454815.299661,5.2149622440984
Base,95,30,21,50,7549001.07355667,419483.031778036,17.9959628916555,2.61292142908033,0.331840786521302,1452691.92102533,5.19675360694219
Base,96,30,21,50,7519551.92984,407633.598089689,18.4468404103077,2.61645009149349,0.328503765097338,1440989.02433433,5.21912808116481
Base,97,30,21,50,7652315.95231667,360608.05547456,21.220590711004,2.61148590984526,0.322451383377141,1472284.55308133,5.19823520922127
Base,98,30,21,50,7551945.08095333,324731.43950945,23.2559714339996,2.61263779955047,0.326760174348318,1452429.6858,5.19869895626104
Base,99,30,21,50,7774441.407791,340837.889355269,22.8097921346045,2.62134100994573,0.334036044143336,1473776.84077667,5.27543662222147
Base,100,30,21,50,7645646.43401667,412312.03899298,18.5433499654538,2.61620783892682,0.340846158685681,1462573.66563533,5.22605121602955
SSP1-2.6,1,81,21,101,7455623.32773086,381284.720764786,19.5539525233959,2.63340928360261,0.328633588289708,1452902.63438395,5.13157998195862
SSP1-2.6,2,81,21,101,7363407.55986667,385782.103802975,19.0869599374347,2.63625377304031,0.335967180812373,1429917.53103617,5.150076373712
SSP1-2.6,3,81,21,101,7331285.15752346,304489.480245387,24.0773019534704,2.63734291455632,0.338608937395802,1428587.77219938,5.13294945558312
SSP1-2.6,4,81,21,101,7416496.35154691,323540.022040929,22.922964227927,2.63561030819762,0.331888318410552,1446118.93051765,5.1293875485003
SSP1-2.6,5,81,21,101,7386589.47937654,365527.848008983,20.2080074599269,2.63624851427682,0.331702858361634,1435320.68577963,5.14639891145031
SSP1-2.6,6,81,21,101,7420459.37645679,347172.185501027,21.3740031210963,2.63403628710206,0.333480971785373,1444994.15982914,5.13591128312253
SSP1-2.6,7,81,21,101,7326232.10837284,341030.892221669,21.4826054632341,2.63376315912054,0.33954375105545,1428652.50452951,5.12813694474685
SSP1-2.6,8,81,21,101,7369574.12651482,389029.246096287,18.9434964092412,2.63579011418136,0.333663620003525,1438517.75789593,5.12280247321569
SSP1-2.6,9,81,21,101,7497554.61952963,367668.383157235,20.3921657748942,2.63436016159413,0.333390194873433,1458338.72636728,5.14088655412822
SSP1-2.6,10,81,21,101,7429020.43187284,308643.29679303,24.0699231412584,2.63694060281754,0.331927383450003,1443099.74484481,5.14902694290636
SSP1-2.6,11,81,21,101,7398796.60530247,337546.22833633,21.9193579551134,2.63427474727099,0.334919237434286,1440639.81319975,5.13561447816528
SSP1-2.6,12,81,21,101,7435652.43632469,309095.393757559,24.0561735519,2.63397051778521,0.332833020053304,1449124.79954198,5.13158531069109
SSP1-2.6,13,81,21,101,7357804.77377407,342478.363683146,21.4839988565857,2.63869671475191,0.337271804300391,1428324.64770704,5.1522234769459
