scenario,run,PC1,PC2,PC3,PC4,PC5
SSP1-2.6,39,-0.601518002919598,1.03240535269967,-0.508015595324559,-0.0367935838703785,-0.214228536049175
SSP1-2.6,40,-0.452239463028724,0.69228216303031,0.558530479081921,-0.563550991723474,0.166043473755726
SSP1-2.6,41,-0.722935139742346,-1.81333070737124,0.271114109300797,-0.106727889164841,-0.132918848215446
SSP1-2.6,42,-0.806490659781231,0.00479876656400247,-1.86211892628958,-0.131802964439092,0.293622816995414
SSP1-2.6,43,-1.5289763257634,0.452576306806578,-0.109031183016305,-1.26877121321492,-0.323079733150361
SSP1-2.6,44,-0.531670723227629,1.95556565951718,0.803700007613816,-0.336397706186482,-0.303358682416942
SSP1-2.6,45,0.312284500103613,1.9972156217651,0.105179802548669,0.681038244009929,-0.303933124238356
SSP1-2.6,46,-1.05120973434032,-0.251345558937942,-1.0918333204176,-0.775949593529089,-0.129694480319772
SSP1-2.6,47,-0.983200938352219,0.48225648604844,0.0123884690506292,-0.616706100205585,0.192916706972441
SSP1-2.6,48,-0.549135159540101,0.674064052915347,-0.0623336783825919,-0.0448689517814797,0.0824402985876553
SSP1-2.6,49,-0.188073162717674,0.320511279204147,0.556839742008264,0.268475755412173,-0.0265908960652216
SSP1-2.6,50,-1.00262128729629,-0.879637075938481,0.0980256968115006,-0.479631103025516,-0.305811286675756
SSP1-2.6,51,-0.927021623669755,0.268745889358462,-0.461828889011103,-0.762662110821718,0.056052559826417
SSP1-2.6,52,-0.565604370327767,0.530580093598395,0.685844961618022,-0.316277175571905,-0.119346363487224
SSP1-2.6,53,-0.87203285560127,-0.0576809964341658,-0.589028053070125,0.00546203367821221,-0.184134404908194
SSP1-2.6,54,-0.963606538120158,0.611319400812145,0.487187621570118,-0.730317244217635,0.246080677228149
SSP1-2.6,55,-1.56425544264103,-1.00541683329702,1.1091914942252,-1.02938588962735,-0.369959215776672
SSP1-2.6,56,-1.41326248298676,-0.617301758804469,0.429369063911802,-0.797516089760096,-0.0897014338822993
SSP1-2.6,57,-1.3933547354211,1.11571793728711,0.172045721210869,-1.25588067623052,0.108759349949602
SSP1-2.6,58,-0.693878700907275,1.06391657865559,-0.80387307484235,-0.829647360845146,-0.390729997250379
SSP1-2.6,59,-0.345640492026259,0.7616774095387,1.42094145619815,-0.0548723624994775,-0.322199115810093
SSP1-2.6,60,-0.706754979522567,0.641361508556736,0.584562494107931,-0.28272541595775,0.0808659513608808
SSP1-2.6,61,-0.732753103123978,0.382254434424505,0.301093815207827,-0.271745347069865,0.161369342116227
SSP1-2.6,62,-1.65296975406375,-1.31904276429883,0.122606356303892,-1.09264627488366,0.145664566497059
SSP1-2.6,63,-0.643966086307185,0.451517662374241,-0.483872762311257,-0.318710511551754,-0.0359103579394251
SSP1-2.6,64,-0.758001411154192,0.439642397628362,0.622942767895578,-0.584800110301763,-0.0819514467638563
SSP1-2.6,65,-1.23189843322632,0.0358042523094232,-0.322000365522912,-0.721338177325771,0.113934137183561
SSP1-2.6,66,-0.831361602621965,-0.183244666818775,-1.29976583350095,-0.142006395889852,0.0546671519848888
SSP1-2.6,67,-0.302266035529023,1.84269705021678,-0.733314056454909,-0.0602972858936386,0.0635367406863789
SSP1-2.6,68,-0.793176925145863,-0.438736947499562,0.736441534403017,-0.0835637410123738,-0.324387769271197
SSP1-2.6,69,-0.840038998382009,-0.549800579342153,-0.594345930357789,-0.432058198125783,-0.114883600930865
SSP1-2.6,70,-1.09336529605845,-1.52034913994215,-1.68786927498326,-0.50935696549034,-0.354471265385186
SSP1-2.6,71,-0.904370774334816,0.248738528408403,0.231819325751573,0.149448119211431,-0.137499287994523
SSP1-2.6,72,-0.0876912339332457,0.637886016597842,0.478275178841678,0.345213237160982,-0.152147727641301
SSP1-2.6,73,-0.138421520711169,0.261100457541281,-1.22835246013079,0.00228810453216652,0.0176510542300927
SSP1-2.6,74,-0.371668680788218,-0.231136181955294,0.183651274064499,0.0679564222515552,0.0288926804388792
SSP1-2.6,75,-1.24813674989553,0.997371940774435,0.350473948226682,-1.19041705955654,-0.0907923027108533
SSP1-2.6,76,-0.671724126261991,0.641024567816661,1.41302675787467,-0.656817299858887,-0.123938076215916
SSP1-2.6,77,0.276723937418311,0.171296135068527,-1.22184147009848,0.161658022240658,0.10907136813201
SSP1-2.6,78,-0.486867755475811,0.274617777148456,-0.609175217106818,-0.0790495614054036,-0.06604535333613
SSP1-2.6,79,-0.670543863431191,0.568873094570094,-0.810759339371571,-0.19749959049923,-0.114929249026982
SSP1-2.6,80,-0.252302822306073,0.451672913444118,0.233026918132628,0.0155935481926627,-0.00790720482428739
SSP1-2.6,81,-0.615587260914042,1.71180223903139,0.589815181269975,-0.758815970889024,0.22424353361483
