scenario,run,group,mean_tl
Base,30,Mid-trophic species,2.70746130666667
Base,31,Mid-trophic species,2.70560991944444
Base,32,Mid-trophic species,2.70700145277778
Base,33,Mid-trophic species,2.70828547166667
Base,34,Mid-trophic species,2.71115879166667
Base,35,Mid-trophic species,2.71100286222222
Base,36,Mid-trophic species,2.70726119833333
Base,37,Mid-trophic species,2.70914208944444
Base,38,Mid-trophic species,2.70502183
Base,39,Mid-trophic species,2.71092878611111
Base,40,Mid-trophic species,2.70680526555556
Base,41,Mid-trophic species,2.71576672888889
Base,42,Mid-trophic species,2.71295065166667
Base,43,Mid-trophic species,2.70955911833333
Base,44,Mid-trophic species,2.71029398111111
Base,45,Mid-trophic species,2.71061829777778
Base,46,Mid-trophic species,2.71546621777778
Base,47,Mid-trophic species,2.71368984555556
Base,48,Mid-trophic species,2.71480272444444
Base,49,Mid-trophic species,2.71031488722222
Base,50,Mid-trophic species,2.71191302111111
Base,51,Mid-trophic species,2.71753384888889
Base,52,Mid-trophic species,2.71173220944445
Base,53,Mid-trophic species,2.70617554944445
Base,54,Mid-trophic species,2.70955989722223
Base,55,Mid-trophic species,2.71548621833333
Base,56,Mid-trophic species,2.70782580166667
Base,57,Mid-trophic species,2.70522838111111
Base,58,Mid-trophic species,2.71348177222222
Base,59,Mid-trophic species,2.70690493388889
Base,60,Mid-trophic species,2.70884124944444
Base,61,Mid-trophic species,2.70867179277778
Base,62,Mid-trophic species,2.70193967555556
Base,63,Mid-trophic species,2.70901552777778
Base,64,Mid-trophic species,2.70424558166667
Base,65,Mid-trophic species,2.70674329388889
Base,66,Mid-trophic species,2.71259631333333
Base,67,Mid-trophic species,2.71084265444445
Base,68,Mid-trophic species,2.71546633611111
Base,69,Mid-trophic species,2.70932334722222
Base,70,Mid-trophic species,2.71266276166667
Base,71,Mid-trophic species,2.709321585
Base,72,Mid-trophic species,2.707352025
Base,73,Mid-trophic species,2.70343657666667
Base,74,Mid-trophic species,2.71266887111111
Base,75,Mid-trophic species,2.70968892555555
Base,76,Mid-trophic species,2.70954262055556
Base,77,Mid-trophic species,2.70824743166667
Base,78,Mid-trophic species,2.71444382055556
Base,79,Mid-trophic species,2.70962667666667
Base,80,Mid-trophic species,2.70724029222222
Base,81,Mid-trophic species,2.704864085
Base,82,Mid-trophic species,2.71254087611111
Base,83,Mid-trophic species,2.71464366833333
Base,84,Mid-trophic species,2.70704720166667
Base,85,Mid-trophic species,2.71276097944445
Base,86,Mid-trophic species,2.71271959555556
Base,87,Mid-trophic species,2.70853580833333
Base,88,Mid-trophic species,2.70822411611111
Base,89,Mid-trophic species,2.71108067833333
Base,90,Mid-trophic species,2.71577277111111
Base,91,Mid-trophic species,2.70945930277778
Base,92,Mid-trophic species,2.70455679722222
Base,93,Mid-trophic species,2.71290049833334
Base,94,Mid-trophic species,2.70876034222223
Base,95,Mid-trophic species,2.714558755
Base,96,Mid-trophic species,2.70169187055556
Base,97,Mid-trophic species,2.70834663944444
Base,98,Mid-trophic species,2.70531397555556
Base,99,Mid-trophic species,2.71181074888889
Base,100,Mid-trophic species,2.71566069666667
SSP1-2.6,1,Prey,2.32705258395062
SSP1-2.6,2,Prey,2.3241646962963
SSP1-2.6,3,Prey,2.32796379506173
SSP1-2.6,4,Prey,2.33098234814815
SSP1-2.6,5,Prey,2.32568157777778
SSP1-2.6,6,Prey,2.32897116049383
SSP1-2.6,7,Prey,2.31910845061728
SSP1-2.6,8,Prey,2.32520509135802
SSP1-2.6,9,Prey,2.3313138691358
SSP1-2.6,10,Prey,2.32821308148148
SSP1-2.6,11,Prey,2.32422577160494
SSP1-2.6,12,Prey,2.32528696419753
SSP1-2.6,13,Prey,2.32891041728395
SSP1-2.6,14,Prey,2.32763399135802
SSP1-2.6,15,Prey,2.32534649259259
SSP1-2.6,16,Prey,2.32393916049383
SSP1-2.6,17,Prey,2.32608829259259
SSP1-2.6,18,Prey,2.32658737283951
SSP1-2.6,19,Prey,2.32675546790123
SSP1-2.6,20,Prey,2.32316737037037
SSP1-2.6,21,Prey,2.32428829753086
SSP1-2.6,22,Prey,2.32677164691358
SSP1-2.6,23,Prey,2.32972165802469
SSP1-2.6,24,Prey,2.32446955679012
