run,species,scenario,tl_future,latin,group,species_order,tl_base,response_tl
3,MiichthysMiiuy,SSP5-8.5,3.01230385432099,Miichthys miiuy,Predator,5,3.01338845,-0.00108459567900976
3,MuraenesoxCinereus,SSP1-2.6,3.11220683333333,Muraenesox cinereus,Predator,4,3.12117033,-0.00896349666667007
3,MuraenesoxCinereus,SSP5-8.5,3.11587692839506,Muraenesox cinereus,Predator,4,3.12117033,-0.00529340160493996
3,PampusArgenteus,SSP1-2.6,2.82005685308642,Pampus argenteus,Mid-trophic species,12,2.83811499,-0.0180581369135799
3,PampusArgenteus,SSP5-8.5,2.82352450617284,Pampus argenteus,Mid-trophic species,12,2.83811499,-0.0145904838271598
3,PennahiaArgentata,SSP1-2.6,2.89775075185185,Pennahia argentata,Mid-trophic species,11,2.89754393333333,0.000206818518520002
3,PennahiaArgentata,SSP5-8.5,2.90389631604938,Pennahia argentata,Mid-trophic species,11,2.89754393333333,0.0063523827160501
3,PortunusTrituberculatus,SSP1-2.6,2.15332227037037,Portunus trituberculatus,Invertebrate,8,2.14604427666667,0.00727799370369997
3,PortunusTrituberculatus,SSP5-8.5,2.15192228271605,Portunus trituberculatus,Invertebrate,8,2.14604427666667,0.00587800604938016
3,ScomberJaponicus,SSP1-2.6,2.53901016790123,Scomber japonicus,Mid-trophic species,9,2.53944506,-0.00043489209876979
3,ScomberJaponicus,SSP5-8.5,2.54017428765432,Scomber japonicus,Mid-trophic species,9,2.53944506,0.000729227654320042
3,ScomberomorusNiphonius,SSP1-2.6,3.07910718888889,Scomberomorus niphonius,Predator,2,3.09044139333333,-0.0113342044444402
3,ScomberomorusNiphonius,SSP5-8.5,3.07750511234568,Scomberomorus niphonius,Predator,2,3.09044139333333,-0.0129362809876503
3,TodarodesPacificus,SSP1-2.6,2.42637477530864,Todarodes pacificus,Invertebrate,6,2.43551098333333,-0.00913620802469017
3,TodarodesPacificus,SSP5-8.5,2.42626915802469,Todarodes pacificus,Invertebrate,6,2.43551098333333,-0.00924182530864037
3,TrachurusJaponicus,SSP1-2.6,2.67996016049383,Trachurus japonicus,Mid-trophic species,14,2.67645471,0.00350545049383033
3,TrachurusJaponicus,SSP5-8.5,2.67807896049383,Trachurus japonicus,Mid-trophic species,14,2.67645471,0.00162425049383019
3,TrachysalambriaCurvirostris,SSP1-2.6,2.27186330123457,Trachysalambria curvirostris,Invertebrate,7,2.28196793,-0.0101046287654301
3,TrachysalambriaCurvirostris,SSP5-8.5,2.28040717407407,Trachysalambria curvirostris,Invertebrate,7,2.28196793,-0.00156075592592986
3,TrichiurusJaponicus,SSP1-2.6,2.77848484320988,Trichiurus japonicus,Predator,3,2.79084622,-0.0123613767901203
3,TrichiurusJaponicus,SSP5-8.5,2.78357098888889,Trichiurus japonicus,Predator,3,2.79084622,-0.00727523111111017
4,DecapterusMaruadsi,SSP1-2.6,2.70985328395062,Decapterus maruadsi,Mid-trophic species,10,2.71523956333333,-0.00538627938270997
4,DecapterusMaruadsi,SSP5-8.5,2.72294592222222,Decapterus maruadsi,Mid-trophic species,10,2.71523956333333,0.00770635888888993
4,EngraulisJaponicus,SSP1-2.6,2.33098234814815,Engraulis japonicus,Prey,1,2.32917078333333,0.00181156481481981
4,EngraulisJaponicus,SSP5-8.5,2.32408721728395,Engraulis japonicus,Prey,1,2.32917078333333,-0.00508356604938021
4,LarimichthysPolyactis,SSP1-2.6,2.59985363950617,Larimichthys polyactis,Mid-trophic species,13,2.61589470666667,-0.0160410671604998
4,LarimichthysPolyactis,SSP5-8.5,2.60682031604938,Larimichthys polyactis,Mid-trophic species,13,2.61589470666667,-0.0090743906172901
4,MiichthysMiiuy,SSP1-2.6,3.01101698518519,Miichthys miiuy,Predator,5,3.01611273333333,-0.00509574814814018
4,MiichthysMiiuy,SSP5-8.5,3.01154950493827,Miichthys miiuy,Predator,5,3.01611273333333,-0.00456322839506029
4,MuraenesoxCinereus,SSP1-2.6,3.1108062037037,Muraenesox cinereus,Predator,4,3.11472524666667,-0.0039190429629703
4,MuraenesoxCinereus,SSP5-8.5,3.1127981308642,Muraenesox cinereus,Predator,4,3.11472524666667,-0.00192711580247007
4,PampusArgenteus,SSP1-2.6,2.81614105432099,Pampus argenteus,Mid-trophic species,12,2.82944261,-0.0133015556790101
4,PampusArgenteus,SSP5-8.5,2.81694533827161,Pampus argenteus,Mid-trophic species,12,2.82944261,-0.0124972717283902
4,PennahiaArgentata,SSP1-2.6,2.88589174074074,Pennahia argentata,Mid-trophic species,11,2.88090930333333,0.00498243740740989
4,PennahiaArgentata,SSP5-8.5,2.89636392716049,Pennahia argentata,Mid-trophic species,11,2.88090930333333,0.0154546238271602
4,PortunusTrituberculatus,SSP1-2.6,2.1494920345679,Portunus trituberculatus,Invertebrate,8,2.13785454333333,0.0116374912345703
4,PortunusTrituberculatus,SSP5-8.5,2.15448090740741,Portunus trituberculatus,Invertebrate,8,2.13785454333333,0.0166263640740802
4,ScomberJaponicus,SSP1-2.6,2.53832124567901,Scomber japonicus,Mid-trophic species,9,2.53692088333333,0.00140036234567997
4,ScomberJaponicus,SSP5-8.5,2.5392820691358,Scomber japonicus,Mid-trophic species,9,2.53692088333333,0.00236118580246991
4,ScomberomorusNiphonius,SSP1-2.6,3.08702370493827,Scomberomorus niphonius,Predator,2,3.08761304,-0.00058933506173009
4,ScomberomorusNiphonius,SSP5-8.5,3.07577509753086,Scomberomorus niphonius,Predator,2,3.08761304,-0.0118379424691399
4,TodarodesPacificus,SSP1-2.6,2.42379430246914,Todarodes pacificus,Invertebrate,6,2.43204101,-0.00824670753085988
4,TodarodesPacificus,SSP5-8.5,2.42363712469136,Todarodes pacificus,Invertebrate,6,2.43204101,-0.00840388530863967
4,TrachurusJaponicus,SSP1-2.6,2.67100589382716,Trachurus japonicus,Mid-trophic species,14,2.66668286666667,0.00432302716048971
4,TrachurusJaponicus,SSP5-8.5,2.67947974444444,Trachurus japonicus,Mid-trophic species,14,2.66668286666667,0.0127968777777698
4,TrachysalambriaCurvirostris,SSP1-2.6,2.27321384444444,Trachysalambria curvirostris,Invertebrate,7,2.27267312666667,0.00054071777776965
4,TrachysalambriaCurvirostris,SSP5-8.5,2.27149698024691,Trachysalambria curvirostris,Invertebrate,7,2.27267312666667,-0.00117614641976038
4,TrichiurusJaponicus,SSP1-2.6,2.78768150123457,Trichiurus japonicus,Predator,3,2.78916273333333,-0.00148123209876028
4,TrichiurusJaponicus,SSP5-8.5,2.78142973950617,Trichiurus japonicus,Predator,3,2.78916273333333,-0.00773299382716042
5,DecapterusMaruadsi,SSP1-2.6,2.72124417530864,Decapterus maruadsi,Mid-trophic species,10,2.71346104333333,0.00778313197531011
