run,group,scenario,tl_future,tl_base,response_tl
34,Invertebrate,SSP5-8.5,2.28405221234568,2.27982787888889,0.00422433345678996
34,Mid-trophic species,SSP1-2.6,2.70802800761317,2.71115879166667,-0.00313078405349732
34,Mid-trophic species,SSP5-8.5,2.7104264218107,2.71115879166667,-0.000732369855966919
35,Prey,SSP1-2.6,2.32296234320988,2.34254041666667,-0.0195780734567901
35,Prey,SSP5-8.5,2.32091565061728,2.34254041666667,-0.0216247660493902
35,Predator,SSP1-2.6,3.00009331203704,3.00643026833333,-0.00633695629629694
35,Predator,SSP5-8.5,2.99227109259259,3.00643026833333,-0.0141591757407422
35,Invertebrate,SSP1-2.6,2.2843307037037,2.28377781222222,0.000552891481480522
35,Invertebrate,SSP5-8.5,2.28649145720165,2.28377781222222,0.00271364497942361
35,Mid-trophic species,SSP1-2.6,2.70732016872428,2.71100286222222,-0.00368269349793993
35,Mid-trophic species,SSP5-8.5,2.70972054279836,2.71100286222222,-0.0012823194238667
36,Prey,SSP1-2.6,2.32578004938272,2.33299236666667,-0.00721231728394978
36,Prey,SSP5-8.5,2.32341237530864,2.33299236666667,-0.00957999135802989
36,Predator,SSP1-2.6,2.99499262037037,3.00436901833333,-0.00937639796296263
36,Predator,SSP5-8.5,2.99281989012346,3.00436901833333,-0.0115491282098779
36,Invertebrate,SSP1-2.6,2.28324960288066,2.28071785666667,0.00253174621399355
36,Invertebrate,SSP5-8.5,2.28737909506173,2.28071785666667,0.00666123839505994
36,Mid-trophic species,SSP1-2.6,2.71026888744856,2.70726119833333,0.00300768911522775
36,Mid-trophic species,SSP5-8.5,2.70859635,2.70726119833333,0.00133515166666642
37,Prey,SSP1-2.6,2.31891530123457,2.33409331333333,-0.0151780120987604
37,Prey,SSP5-8.5,2.32445497283951,2.33409331333333,-0.00963834049382006
37,Predator,SSP1-2.6,2.99186696141975,3.004261325,-0.0123943635802473
37,Predator,SSP5-8.5,2.99684988302469,3.004261325,-0.00741144197530774
37,Invertebrate,SSP1-2.6,2.28095805761317,2.28069505111111,0.000263006502059682
37,Invertebrate,SSP5-8.5,2.28338518765432,2.28069505111111,0.00269013654320993
37,Mid-trophic species,SSP1-2.6,2.70904434753087,2.70914208944444,-9.77419135765878e-05
37,Mid-trophic species,SSP5-8.5,2.71217825884774,2.70914208944444,0.00303616940329388
38,Prey,SSP1-2.6,2.32505790740741,2.34117781666667,-0.0161199092592601
38,Prey,SSP5-8.5,2.32428450617284,2.34117781666667,-0.0168933104938298
38,Predator,SSP1-2.6,2.99512411481482,3.00483851083333,-0.00971439601851731
38,Predator,SSP5-8.5,2.99457471759259,3.00483851083333,-0.0102637932407399
38,Invertebrate,SSP1-2.6,2.2823856127572,2.28737329555556,-0.00498768279835371
38,Invertebrate,SSP5-8.5,2.28069693045267,2.28737329555556,-0.00667636510288316
38,Mid-trophic species,SSP1-2.6,2.70480515493827,2.70502183,-0.000216675061726512
38,Mid-trophic species,SSP5-8.5,2.71077509465021,2.70502183,0.00575326465020698
39,Prey,SSP1-2.6,2.32209402592593,2.33612385,-0.0140298240740697
39,Prey,SSP5-8.5,2.32112822469136,2.33612385,-0.0149956253086398
39,Predator,SSP1-2.6,2.99814436604938,3.01024140416667,-0.0120970381172856
39,Predator,SSP5-8.5,2.99443446296296,3.01024140416667,-0.0158069412037056
39,Invertebrate,SSP1-2.6,2.28501451028807,2.28059130444444,0.00442320584362355
39,Invertebrate,SSP5-8.5,2.28377657901235,2.28059130444444,0.00318527456790374
39,Mid-trophic species,SSP1-2.6,2.70781176255144,2.71092878611111,-0.00311702355966981
39,Mid-trophic species,SSP5-8.5,2.71464485349794,2.71092878611111,0.00371606738683283
40,Prey,SSP1-2.6,2.32582570246914,2.32730762666667,-0.00148192419752968
40,Prey,SSP5-8.5,2.32027737777778,2.32730762666667,-0.00703024888888981
40,Predator,SSP1-2.6,2.99431973549383,3.00760287416667,-0.0132831386728349
40,Predator,SSP5-8.5,2.99491696697531,3.00760287416667,-0.0126859071913552
40,Invertebrate,SSP1-2.6,2.28567068024691,2.28057508,0.0050956002469098
40,Invertebrate,SSP5-8.5,2.28815090452675,2.28057508,0.00757582452674344
40,Mid-trophic species,SSP1-2.6,2.70361312160494,2.70680526555556,-0.00319214395061662
40,Mid-trophic species,SSP5-8.5,2.70850146563786,2.70680526555556,0.00169620008230265
41,Prey,SSP1-2.6,2.32829183333333,2.33376345333333,-0.00547161999999979
41,Prey,SSP5-8.5,2.32209556790123,2.33376345333333,-0.0116678854320997
41,Predator,SSP1-2.6,3.00114870555556,3.00032659833334,0.000822107222222535
41,Predator,SSP5-8.5,2.9925987771605,3.00032659833334,-0.00772782117283999
41,Invertebrate,SSP1-2.6,2.28292649218107,2.2814603,0.00146619218107036
41,Invertebrate,SSP5-8.5,2.28476735144033,2.2814603,0.00330705144033061
41,Mid-trophic species,SSP1-2.6,2.70844535452675,2.71576672888889,-0.00732137436213698
